# event_ticker=KXATPCHALLENGERMATCH-26MAR10EFSSAM
# final_score=7-6(2) 6-1
# score_resolution=6-7 1-6
# match_winner=Toby Samuel
# fav_player=Menelaos Efstathiou
# dog_player=Toby Samuel
# kalshi_date=2026-03-10
timestamp,Menelaos Efstathiou,Toby Samuel
2026-03-10T02:58:00Z,7.00,
2026-03-10T03:48:00Z,8.00,93.00
2026-03-10T04:00:00Z,8.00,93.00
2026-03-10T04:10:00Z,8.00,93.00
2026-03-10T04:12:00Z,8.00,93.00
2026-03-10T04:14:00Z,8.00,93.03
2026-03-10T04:19:00Z,8.00,93.00
2026-03-10T04:48:00Z,7.00,93.00
2026-03-10T04:50:00Z,8.00,93.00
2026-03-10T04:53:00Z,8.00,92.00
2026-03-10T04:58:00Z,8.00,91.00
2026-03-10T04:59:00Z,8.00,91.00
2026-03-10T05:00:00Z,8.00,91.00
2026-03-10T05:03:00Z,8.00,90.51
2026-03-10T05:06:00Z,8.00,92.00
2026-03-10T05:09:00Z,8.00,91.05
2026-03-10T05:10:00Z,8.00,94.00
2026-03-10T05:11:00Z,8.00,92.00
2026-03-10T05:14:00Z,8.00,92.00
2026-03-10T05:17:00Z,8.00,91.00
2026-03-10T05:18:00Z,8.00,91.00
2026-03-10T05:34:00Z,8.00,93.00
2026-03-10T05:47:00Z,8.70,93.00
2026-03-10T05:48:00Z,8.00,92.50
2026-03-10T06:07:00Z,9.00,92.50
2026-03-10T06:16:00Z,9.00,92.00
2026-03-10T06:23:00Z,9.00,92.00
2026-03-10T06:33:00Z,8.00,92.00
2026-03-10T06:39:00Z,9.00,92.00
2026-03-10T06:45:00Z,9.32,92.00
2026-03-10T06:48:00Z,9.32,92.00
2026-03-10T07:34:00Z,9.32,93.00
2026-03-10T07:44:00Z,9.32,93.00
2026-03-10T08:05:00Z,9.00,93.00
2026-03-10T09:51:00Z,9.00,93.00
2026-03-10T10:25:00Z,9.00,93.00
2026-03-10T10:27:00Z,6.00,93.00
2026-03-10T10:51:00Z,9.00,93.00
2026-03-10T10:58:00Z,6.00,93.00
2026-03-10T11:10:00Z,9.00,93.00
2026-03-10T11:20:00Z,13.40,93.00
2026-03-10T11:39:00Z,13.40,93.00
2026-03-10T12:00:00Z,9.00,93.00
2026-03-10T12:10:00Z,12.41,92.00
2026-03-10T12:11:00Z,11.99,92.00
2026-03-10T12:14:00Z,12.27,89.00
2026-03-10T12:31:00Z,12.27,92.00
2026-03-10T12:51:00Z,9.00,92.00
2026-03-10T12:52:00Z,9.00,93.00
2026-03-10T12:57:00Z,9.00,93.00
2026-03-10T13:01:00Z,9.00,93.00
2026-03-10T13:05:00Z,10.92,91.01
2026-03-10T13:08:00Z,9.55,91.01
2026-03-10T13:16:00Z,9.01,91.01
2026-03-10T13:33:00Z,9.58,91.01
2026-03-10T13:44:00Z,10.34,91.01
2026-03-10T13:56:00Z,10.34,91.00
2026-03-10T14:13:00Z,10.34,93.75
2026-03-10T14:14:00Z,7.00,93.75
2026-03-10T14:21:00Z,9.00,93.75
2026-03-10T14:26:00Z,7.00,93.75
2026-03-10T14:36:00Z,10.23,93.75
2026-03-10T14:39:00Z,10.23,92.00
2026-03-10T14:40:00Z,10.23,93.00
2026-03-10T14:41:00Z,9.00,92.00
2026-03-10T14:42:00Z,9.00,93.00
2026-03-10T14:43:00Z,10.22,92.00
2026-03-10T14:44:00Z,8.84,92.00
2026-03-10T14:45:00Z,7.44,93.90
2026-03-10T14:46:00Z,5.83,94.02
2026-03-10T14:47:00Z,5.87,95.38
2026-03-10T14:48:00Z,4.21,95.38
2026-03-10T14:49:00Z,4.08,95.38
2026-03-10T14:50:00Z,4.26,96.37
2026-03-10T14:51:00Z,4.00,96.37
2026-03-10T14:52:00Z,3.78,97.50
2026-03-10T14:53:00Z,4.22,97.50
2026-03-10T14:54:00Z,5.00,97.50
2026-03-10T14:55:00Z,4.16,94.00
2026-03-10T14:56:00Z,5.02,94.38
2026-03-10T14:57:00Z,6.13,95.10
2026-03-10T14:58:00Z,4.29,95.10
2026-03-10T14:59:00Z,4.90,97.00
2026-03-10T15:00:00Z,5.69,96.00
2026-03-10T15:01:00Z,5.42,95.00
2026-03-10T15:02:00Z,5.00,95.00
2026-03-10T15:03:00Z,7.00,94.00
2026-03-10T15:04:00Z,6.13,94.03
2026-03-10T15:05:00Z,6.16,95.32
2026-03-10T15:06:00Z,4.32,96.70
2026-03-10T15:07:00Z,6.94,96.70
2026-03-10T15:08:00Z,6.19,96.00
2026-03-10T15:09:00Z,6.73,95.00
2026-03-10T15:10:00Z,9.42,94.00
2026-03-10T15:11:00Z,7.81,95.00
2026-03-10T15:12:00Z,7.37,95.00
2026-03-10T15:13:00Z,7.35,95.00
2026-03-10T15:14:00Z,8.60,94.00
2026-03-10T15:15:00Z,16.18,86.50
2026-03-10T15:16:00Z,15.75,84.08
2026-03-10T15:17:00Z,22.23,80.94
2026-03-10T15:18:00Z,25.31,77.00
2026-03-10T15:19:00Z,23.75,77.45
2026-03-10T15:20:00Z,16.49,82.00
2026-03-10T15:21:00Z,15.10,85.66
2026-03-10T15:22:00Z,10.98,88.83
2026-03-10T15:23:00Z,14.33,86.05
2026-03-10T15:24:00Z,18.79,82.55
2026-03-10T15:25:00Z,17.42,86.66
2026-03-10T15:26:00Z,15.68,82.49
2026-03-10T15:27:00Z,8.78,91.07
2026-03-10T15:28:00Z,6.90,95.00
2026-03-10T15:29:00Z,8.32,93.00
2026-03-10T15:30:00Z,11.35,91.23
2026-03-10T15:31:00Z,13.07,89.95
2026-03-10T15:32:00Z,12.72,86.05
2026-03-10T15:33:00Z,15.89,85.97
2026-03-10T15:34:00Z,14.14,88.33
2026-03-10T15:35:00Z,12.01,91.16
2026-03-10T15:36:00Z,16.47,84.37
2026-03-10T15:37:00Z,12.92,86.39
2026-03-10T15:38:00Z,9.39,90.00
2026-03-10T15:39:00Z,7.37,94.06
2026-03-10T15:40:00Z,5.19,94.99
2026-03-10T15:41:00Z,6.21,93.93
2026-03-10T15:42:00Z,7.32,93.49
2026-03-10T15:43:00Z,6.81,93.30
2026-03-10T15:44:00Z,6.33,93.91
2026-03-10T15:45:00Z,5.41,95.63
2026-03-10T15:46:00Z,5.17,95.63
2026-03-10T15:47:00Z,6.26,96.00
2026-03-10T15:48:00Z,4.05,96.00
2026-03-10T15:49:00Z,3.83,97.00
2026-03-10T15:50:00Z,3.15,97.49
2026-03-10T15:51:00Z,3.48,97.76
2026-03-10T15:52:00Z,2.16,98.00
2026-03-10T15:53:00Z,2.44,97.06
2026-03-10T15:54:00Z,1.00,98.00
2026-03-10T15:55:00Z,1.71,99.00
2026-03-10T15:56:00Z,1.88,99.00
2026-03-10T15:57:00Z,1.54,99.00
2026-03-10T15:58:00Z,2.98,99.00
2026-03-10T15:59:00Z,1.84,99.00
2026-03-10T16:00:00Z,3.00,99.00
2026-03-10T16:01:00Z,2.07,99.00
2026-03-10T16:02:00Z,1.31,99.00
2026-03-10T16:03:00Z,1.65,98.00
2026-03-10T16:04:00Z,1.01,99.00
2026-03-10T16:05:00Z,1.00,99.00
2026-03-10T16:06:00Z,1.00,99.00
2026-03-10T16:07:00Z,1.00,99.00
2026-03-10T16:08:00Z,1.00,99.00
2026-03-10T16:09:00Z,1.00,99.00
