# event_ticker=KXATPCHALLENGERMATCH-26JUN04BERHUS
# final_score=5-7 6-3 6-3
# match_winner=Giles Hussey
# fav_player=Giles Hussey
# dog_player=Robin Bertrand
# kalshi_date=2026-06-04
timestamp,Robin Bertrand,Giles Hussey
2026-06-04T01:40:00Z,,61.00
2026-06-04T02:54:00Z,,61.00
2026-06-04T03:14:00Z,,61.00
2026-06-04T03:25:00Z,,61.00
2026-06-04T03:26:00Z,40.00,61.00
2026-06-04T03:32:00Z,40.00,61.00
2026-06-04T03:35:00Z,40.00,61.00
2026-06-04T03:38:00Z,40.00,61.00
2026-06-04T03:40:00Z,40.30,61.00
2026-06-04T03:54:00Z,41.00,61.00
2026-06-04T03:56:00Z,41.00,61.00
2026-06-04T04:07:00Z,41.00,61.00
2026-06-04T04:11:00Z,41.00,61.00
2026-06-04T04:25:00Z,41.00,61.00
2026-06-04T04:48:00Z,41.00,61.00
2026-06-04T04:49:00Z,41.00,61.00
2026-06-04T04:50:00Z,41.00,61.00
2026-06-04T04:51:00Z,41.00,61.00
2026-06-04T05:02:00Z,40.00,61.00
2026-06-04T05:05:00Z,40.00,61.00
2026-06-04T05:26:00Z,40.00,61.00
2026-06-04T05:35:00Z,40.00,61.00
2026-06-04T05:44:00Z,40.00,61.00
2026-06-04T05:49:00Z,41.00,61.00
2026-06-04T06:00:00Z,41.00,61.00
2026-06-04T06:11:00Z,41.00,61.00
2026-06-04T06:12:00Z,41.00,61.00
2026-06-04T06:13:00Z,41.00,61.00
2026-06-04T06:19:00Z,41.00,61.00
2026-06-04T06:20:00Z,41.00,61.00
2026-06-04T06:31:00Z,41.00,61.00
2026-06-04T06:34:00Z,40.00,61.00
2026-06-04T06:35:00Z,40.00,60.00
2026-06-04T06:40:00Z,41.00,60.00
2026-06-04T06:51:00Z,41.00,61.00
2026-06-04T09:05:00Z,41.00,61.00
2026-06-04T09:06:00Z,40.00,61.00
2026-06-04T09:07:00Z,41.00,61.00
2026-06-04T09:12:00Z,42.00,59.43
2026-06-04T09:20:00Z,42.00,60.00
2026-06-04T09:21:00Z,42.00,60.00
2026-06-04T09:22:00Z,42.00,58.16
2026-06-04T09:30:00Z,43.00,58.16
2026-06-04T09:32:00Z,43.00,58.16
2026-06-04T09:34:00Z,43.00,60.00
2026-06-04T09:35:00Z,43.00,60.00
2026-06-04T09:45:00Z,43.00,60.00
2026-06-04T09:59:00Z,43.00,60.00
2026-06-04T10:02:00Z,43.00,60.00
2026-06-04T10:15:00Z,43.00,59.00
2026-06-04T10:16:00Z,44.00,59.00
2026-06-04T10:17:00Z,44.00,56.00
2026-06-04T10:19:00Z,40.00,56.00
2026-06-04T10:21:00Z,40.00,60.00
2026-06-04T10:23:00Z,44.00,60.00
2026-06-04T10:27:00Z,44.00,60.00
2026-06-04T10:28:00Z,44.00,60.00
2026-06-04T10:30:00Z,44.00,60.00
2026-06-04T10:34:00Z,44.00,58.00
2026-06-04T10:47:00Z,44.00,58.00
2026-06-04T10:51:00Z,44.00,58.00
2026-06-04T10:52:00Z,44.00,58.00
2026-06-04T10:57:00Z,44.00,56.00
2026-06-04T10:59:00Z,44.00,58.00
2026-06-04T11:12:00Z,44.00,58.00
2026-06-04T11:13:00Z,44.00,56.00
2026-06-04T11:15:00Z,42.00,56.00
2026-06-04T11:16:00Z,44.00,57.68
2026-06-04T11:22:00Z,44.00,58.00
2026-06-04T11:28:00Z,44.00,59.00
2026-06-04T11:33:00Z,44.00,58.00
2026-06-04T11:44:00Z,42.00,58.00
2026-06-04T11:47:00Z,44.00,58.00
2026-06-04T11:48:00Z,44.00,58.00
2026-06-04T11:51:00Z,44.00,56.00
2026-06-04T11:52:00Z,44.00,55.00
2026-06-04T11:54:00Z,45.00,55.00
2026-06-04T11:55:00Z,45.00,55.00
2026-06-04T12:00:00Z,45.00,58.00
2026-06-04T12:01:00Z,44.00,57.00
2026-06-04T12:02:00Z,44.00,58.00
2026-06-04T12:04:00Z,44.00,58.05
2026-06-04T12:07:00Z,44.00,58.00
2026-06-04T12:15:00Z,44.00,58.00
2026-06-04T12:16:00Z,42.00,58.00
2026-06-04T12:22:00Z,42.00,58.39
2026-06-04T12:24:00Z,45.00,58.39
2026-06-04T12:25:00Z,45.00,58.39
2026-06-04T12:26:00Z,45.00,59.00
2026-06-04T12:35:00Z,45.00,59.00
2026-06-04T12:36:00Z,44.00,59.00
2026-06-04T12:38:00Z,44.81,59.00
2026-06-04T12:43:00Z,44.00,59.00
2026-06-04T12:59:00Z,44.00,59.00
2026-06-04T13:01:00Z,42.00,59.00
2026-06-04T13:04:00Z,42.00,59.00
2026-06-04T13:10:00Z,42.00,57.00
2026-06-04T13:17:00Z,44.00,57.00
2026-06-04T13:18:00Z,44.00,57.00
2026-06-04T13:19:00Z,44.00,58.00
2026-06-04T13:21:00Z,44.00,58.98
2026-06-04T13:23:00Z,41.93,58.98
2026-06-04T13:24:00Z,41.93,58.00
2026-06-04T13:25:00Z,41.00,58.00
2026-06-04T13:26:00Z,41.00,59.00
2026-06-04T13:27:00Z,43.00,59.00
2026-06-04T13:28:00Z,43.77,59.00
2026-06-04T13:29:00Z,43.77,59.00
2026-06-04T13:31:00Z,43.77,59.66
2026-06-04T13:32:00Z,43.00,59.68
2026-06-04T13:33:00Z,43.57,61.97
2026-06-04T13:34:00Z,37.03,63.05
2026-06-04T13:35:00Z,37.00,64.01
2026-06-04T13:36:00Z,35.00,66.00
2026-06-04T13:37:00Z,38.02,63.83
2026-06-04T13:38:00Z,36.13,65.59
2026-06-04T13:39:00Z,36.33,65.20
2026-06-04T13:40:00Z,38.51,62.13
2026-06-04T13:41:00Z,38.87,62.23
2026-06-04T13:42:00Z,37.78,63.94
2026-06-04T13:43:00Z,36.39,64.73
2026-06-04T13:44:00Z,36.72,64.78
2026-06-04T13:45:00Z,36.00,65.37
2026-06-04T13:46:00Z,33.06,68.99
2026-06-04T13:47:00Z,29.11,70.75
2026-06-04T13:48:00Z,33.65,66.17
2026-06-04T13:49:00Z,37.00,65.78
2026-06-04T13:50:00Z,36.01,64.84
2026-06-04T13:51:00Z,40.60,60.34
2026-06-04T13:52:00Z,42.17,59.75
2026-06-04T13:53:00Z,43.63,58.12
2026-06-04T13:54:00Z,41.62,60.48
2026-06-04T13:55:00Z,38.60,59.95
2026-06-04T13:56:00Z,41.28,60.67
2026-06-04T13:57:00Z,39.16,59.73
2026-06-04T13:58:00Z,36.12,65.00
2026-06-04T13:59:00Z,36.46,64.91
2026-06-04T14:00:00Z,36.62,66.44
2026-06-04T14:01:00Z,31.40,70.00
2026-06-04T14:02:00Z,28.10,73.18
2026-06-04T14:03:00Z,35.29,63.02
2026-06-04T14:04:00Z,40.22,59.98
2026-06-04T14:05:00Z,40.36,62.09
2026-06-04T14:06:00Z,38.86,62.77
2026-06-04T14:07:00Z,39.86,62.87
2026-06-04T14:08:00Z,37.00,64.00
2026-06-04T14:09:00Z,37.00,64.00
2026-06-04T14:10:00Z,37.79,61.87
2026-06-04T14:11:00Z,38.68,62.40
2026-06-04T14:12:00Z,36.06,63.71
2026-06-04T14:13:00Z,31.87,68.25
2026-06-04T14:14:00Z,24.62,75.20
2026-06-04T14:15:00Z,30.87,69.62
2026-06-04T14:16:00Z,26.45,74.94
2026-06-04T14:17:00Z,24.00,77.00
2026-06-04T14:18:00Z,27.97,73.20
2026-06-04T14:19:00Z,34.67,67.98
2026-06-04T14:20:00Z,35.91,65.00
2026-06-04T14:21:00Z,38.92,62.03
2026-06-04T14:22:00Z,41.72,60.00
2026-06-04T14:23:00Z,40.66,61.08
2026-06-04T14:24:00Z,42.01,58.07
2026-06-04T14:25:00Z,45.43,53.99
2026-06-04T14:26:00Z,43.40,57.45
2026-06-04T14:27:00Z,40.45,60.70
2026-06-04T14:28:00Z,46.25,55.00
2026-06-04T14:29:00Z,58.19,37.52
2026-06-04T14:30:00Z,63.54,35.74
2026-06-04T14:31:00Z,65.72,32.84
2026-06-04T14:32:00Z,63.65,37.22
2026-06-04T14:33:00Z,68.44,32.56
2026-06-04T14:34:00Z,70.95,29.74
2026-06-04T14:35:00Z,71.29,28.73
2026-06-04T14:36:00Z,72.44,29.13
2026-06-04T14:37:00Z,71.72,28.48
2026-06-04T14:38:00Z,71.67,29.29
2026-06-04T14:39:00Z,70.77,30.05
2026-06-04T14:40:00Z,75.58,24.12
2026-06-04T14:41:00Z,75.36,28.15
2026-06-04T14:42:00Z,76.15,26.05
2026-06-04T14:43:00Z,83.68,19.39
2026-06-04T14:44:00Z,83.88,17.05
2026-06-04T14:45:00Z,86.98,14.24
2026-06-04T14:46:00Z,87.18,13.35
2026-06-04T14:47:00Z,87.73,12.07
2026-06-04T14:48:00Z,88.99,11.97
2026-06-04T14:49:00Z,86.83,13.92
2026-06-04T14:50:00Z,84.52,15.97
2026-06-04T14:51:00Z,83.27,18.35
2026-06-04T14:52:00Z,82.93,19.23
2026-06-04T14:53:00Z,86.27,15.00
2026-06-04T14:54:00Z,85.05,15.55
2026-06-04T14:55:00Z,87.96,11.91
2026-06-04T14:56:00Z,88.22,11.58
2026-06-04T14:57:00Z,87.61,14.11
2026-06-04T14:58:00Z,85.91,14.88
2026-06-04T14:59:00Z,84.64,15.13
2026-06-04T15:00:00Z,83.45,17.23
2026-06-04T15:01:00Z,79.53,22.03
2026-06-04T15:02:00Z,72.28,28.61
2026-06-04T15:03:00Z,68.75,33.02
2026-06-04T15:04:00Z,64.22,36.08
2026-06-04T15:05:00Z,61.49,39.83
2026-06-04T15:06:00Z,60.62,40.43
2026-06-04T15:07:00Z,60.41,41.32
2026-06-04T15:08:00Z,51.33,47.18
2026-06-04T15:09:00Z,46.01,54.66
2026-06-04T15:10:00Z,42.92,57.99
2026-06-04T15:11:00Z,43.93,58.93
2026-06-04T15:12:00Z,42.11,58.77
2026-06-04T15:13:00Z,37.64,61.71
2026-06-04T15:14:00Z,39.17,62.47
2026-06-04T15:15:00Z,37.22,62.59
2026-06-04T15:16:00Z,36.34,63.94
2026-06-04T15:17:00Z,34.22,65.11
2026-06-04T15:18:00Z,26.15,77.31
2026-06-04T15:19:00Z,19.30,80.69
2026-06-04T15:20:00Z,17.85,81.11
2026-06-04T15:21:00Z,16.01,83.52
2026-06-04T15:22:00Z,22.86,77.60
2026-06-04T15:23:00Z,20.95,82.48
2026-06-04T15:24:00Z,17.31,82.41
2026-06-04T15:25:00Z,20.29,78.54
2026-06-04T15:26:00Z,20.91,79.43
2026-06-04T15:27:00Z,21.66,78.83
2026-06-04T15:28:00Z,22.45,78.22
2026-06-04T15:29:00Z,24.74,75.09
2026-06-04T15:30:00Z,19.65,82.94
2026-06-04T15:31:00Z,15.48,84.99
2026-06-04T15:32:00Z,15.59,84.98
2026-06-04T15:33:00Z,15.73,85.62
2026-06-04T15:34:00Z,16.69,83.43
2026-06-04T15:35:00Z,18.19,83.22
2026-06-04T15:36:00Z,19.98,81.71
2026-06-04T15:37:00Z,18.22,83.89
2026-06-04T15:38:00Z,20.27,81.48
2026-06-04T15:39:00Z,14.69,86.81
2026-06-04T15:40:00Z,12.24,89.31
2026-06-04T15:41:00Z,13.73,88.84
2026-06-04T15:42:00Z,13.39,85.97
2026-06-04T15:43:00Z,14.53,86.03
2026-06-04T15:44:00Z,14.23,85.39
2026-06-04T15:45:00Z,12.59,89.07
2026-06-04T15:46:00Z,11.79,90.09
2026-06-04T15:47:00Z,14.40,85.42
2026-06-04T15:48:00Z,14.97,84.60
2026-06-04T15:49:00Z,16.77,85.38
2026-06-04T15:50:00Z,22.68,78.13
2026-06-04T15:51:00Z,26.86,83.60
2026-06-04T15:52:00Z,13.43,87.30
2026-06-04T15:53:00Z,16.24,83.89
2026-06-04T15:54:00Z,7.43,92.55
2026-06-04T15:55:00Z,5.23,95.51
2026-06-04T15:56:00Z,2.78,97.32
2026-06-04T15:57:00Z,1.16,98.61
2026-06-04T15:58:00Z,1.00,99.00
2026-06-04T15:59:00Z,1.00,99.00
2026-06-04T16:00:00Z,1.00,99.00
2026-06-04T16:01:00Z,1.00,99.00
2026-06-04T16:02:00Z,1.00,99.00
2026-06-04T16:03:00Z,1.00,99.00
