# event_ticker=KXATPCHALLENGERMATCH-26APR27BROGAK
# final_score=7-6(4) 3-6 6-1
# score_resolution=6-7 6-3 1-6
# match_winner=Gijs Brouwer
# fav_player=Ivan Gakhov
# dog_player=Gijs Brouwer
# kalshi_date=2026-04-27
timestamp,Gijs Brouwer,Ivan Gakhov
2026-04-26T21:02:00Z,,84.00
2026-04-26T21:24:00Z,,52.00
2026-04-26T21:29:00Z,39.00,52.00
2026-04-26T22:07:00Z,39.00,60.00
2026-04-26T22:15:00Z,39.00,62.42
2026-04-26T22:25:00Z,39.00,61.00
2026-04-26T23:45:00Z,42.00,61.00
2026-04-27T00:34:00Z,42.00,64.00
2026-04-27T01:33:00Z,39.00,64.00
2026-04-27T01:48:00Z,40.00,64.00
2026-04-27T02:21:00Z,40.00,64.00
2026-04-27T02:28:00Z,40.00,64.00
2026-04-27T03:12:00Z,39.00,64.00
2026-04-27T03:51:00Z,39.00,58.00
2026-04-27T04:27:00Z,39.00,58.00
2026-04-27T04:36:00Z,39.00,66.23
2026-04-27T04:58:00Z,39.00,63.00
2026-04-27T05:11:00Z,39.00,63.00
2026-04-27T05:12:00Z,39.00,60.00
2026-04-27T05:16:00Z,39.00,63.92
2026-04-27T05:54:00Z,39.67,63.90
2026-04-27T05:59:00Z,39.67,64.00
2026-04-27T06:09:00Z,39.67,64.00
2026-04-27T06:11:00Z,39.67,64.00
2026-04-27T06:15:00Z,39.67,64.00
2026-04-27T06:30:00Z,39.67,64.59
2026-04-27T06:57:00Z,42.00,64.59
2026-04-27T07:02:00Z,42.00,63.00
2026-04-27T07:05:00Z,42.00,63.00
2026-04-27T07:34:00Z,38.00,63.98
2026-04-27T07:52:00Z,40.00,62.00
2026-04-27T07:55:00Z,39.00,60.31
2026-04-27T07:56:00Z,39.00,63.00
2026-04-27T07:58:00Z,38.00,64.45
2026-04-27T08:01:00Z,41.00,64.45
2026-04-27T08:17:00Z,38.27,63.67
2026-04-27T08:24:00Z,40.91,63.67
2026-04-27T08:36:00Z,40.00,63.67
2026-04-27T08:39:00Z,39.85,63.67
2026-04-27T08:41:00Z,41.72,63.67
2026-04-27T08:43:00Z,41.72,59.00
2026-04-27T08:44:00Z,43.78,57.83
2026-04-27T08:45:00Z,44.00,56.42
2026-04-27T08:46:00Z,44.00,56.98
2026-04-27T08:48:00Z,44.00,56.00
2026-04-27T08:49:00Z,47.72,56.00
2026-04-27T08:52:00Z,52.41,49.56
2026-04-27T08:53:00Z,56.89,41.40
2026-04-27T08:54:00Z,54.15,41.03
2026-04-27T08:55:00Z,54.15,47.00
2026-04-27T08:56:00Z,60.97,40.00
2026-04-27T08:57:00Z,51.15,48.80
2026-04-27T08:58:00Z,50.02,51.67
2026-04-27T08:59:00Z,43.99,57.00
2026-04-27T09:00:00Z,47.18,56.97
2026-04-27T09:01:00Z,48.16,54.59
2026-04-27T09:02:00Z,47.20,55.09
2026-04-27T09:03:00Z,46.37,55.72
2026-04-27T09:04:00Z,48.13,53.87
2026-04-27T09:05:00Z,45.89,57.87
2026-04-27T09:06:00Z,41.27,59.23
2026-04-27T09:07:00Z,34.70,64.80
2026-04-27T09:08:00Z,23.01,77.85
