# event_ticker=KXATPCHALLENGERMATCH-26JUN02SAIPAV
# final_score=6-3 4-6 6-3
# score_resolution=3-6 6-4 3-6
# match_winner=Nikolas Sanchez Izquierdo
# fav_player=Luka Pavlovic
# dog_player=Nikolas Sanchez Izquierdo
# kalshi_date=2026-06-02
timestamp,Nikolas Sanchez Izquierdo,Luka Pavlovic
2026-06-01T20:52:00Z,,52.00
2026-06-01T23:30:00Z,56.00,52.00
2026-06-01T23:41:00Z,56.00,48.00
2026-06-02T01:07:00Z,55.00,48.00
2026-06-02T01:28:00Z,55.00,48.00
2026-06-02T02:48:00Z,55.00,47.00
2026-06-02T02:55:00Z,56.00,47.00
2026-06-02T03:13:00Z,56.00,48.00
2026-06-02T03:21:00Z,56.00,49.65
2026-06-02T03:33:00Z,55.00,49.65
2026-06-02T03:39:00Z,54.00,49.65
2026-06-02T03:56:00Z,54.00,49.65
2026-06-02T04:22:00Z,55.00,49.65
2026-06-02T04:53:00Z,55.00,48.00
2026-06-02T05:00:00Z,56.00,48.00
2026-06-02T05:10:00Z,56.00,48.00
2026-06-02T05:13:00Z,56.00,48.00
2026-06-02T05:17:00Z,56.00,48.00
2026-06-02T05:32:00Z,56.00,48.00
2026-06-02T05:37:00Z,55.00,48.00
2026-06-02T05:39:00Z,55.00,48.00
2026-06-02T05:48:00Z,55.00,48.00
2026-06-02T05:49:00Z,55.00,48.00
2026-06-02T06:05:00Z,55.00,48.00
2026-06-02T06:07:00Z,55.00,48.00
2026-06-02T06:17:00Z,55.00,48.00
2026-06-02T06:39:00Z,55.80,48.00
2026-06-02T06:44:00Z,57.00,48.00
2026-06-02T06:54:00Z,57.00,47.00
2026-06-02T07:02:00Z,57.00,47.00
2026-06-02T07:11:00Z,57.00,46.00
2026-06-02T07:13:00Z,57.00,47.00
2026-06-02T07:24:00Z,56.00,46.00
2026-06-02T07:46:00Z,56.00,46.00
2026-06-02T08:07:00Z,56.00,47.00
2026-06-02T08:08:00Z,56.00,47.00
2026-06-02T08:15:00Z,56.00,47.00
2026-06-02T08:16:00Z,56.00,47.00
2026-06-02T08:21:00Z,56.00,46.00
