# event_ticker=KXATPCHALLENGERMATCH-26FEB20COLBUE
# final_score=7-6(11) 6-2
# score_resolution=6-7 2-6
# match_winner=Gonzalo Bueno
# fav_player=Andrea Collarini
# dog_player=Gonzalo Bueno
# kalshi_date=2026-02-20
timestamp,Andrea Collarini,Gonzalo Bueno
2026-02-20T04:13:00Z,,58.00
2026-02-20T04:19:00Z,,65.00
2026-02-20T04:31:00Z,,57.00
2026-02-20T04:59:00Z,,56.00
2026-02-20T05:03:00Z,,56.00
2026-02-20T05:04:00Z,,56.00
2026-02-20T05:20:00Z,,56.00
2026-02-20T06:19:00Z,,54.37
2026-02-20T06:20:00Z,,55.00
2026-02-20T06:23:00Z,51.00,55.00
2026-02-20T06:24:00Z,51.00,55.00
2026-02-20T06:29:00Z,51.00,55.00
2026-02-20T07:16:00Z,51.00,54.00
2026-02-20T07:35:00Z,51.00,54.00
2026-02-20T07:42:00Z,51.00,54.00
2026-02-20T07:46:00Z,51.00,54.00
2026-02-20T07:59:00Z,51.00,54.00
2026-02-20T08:23:00Z,50.00,54.00
2026-02-20T09:12:00Z,50.00,54.00
2026-02-20T09:46:00Z,48.00,54.00
2026-02-20T09:55:00Z,48.00,54.00
2026-02-20T10:30:00Z,48.00,54.00
2026-02-20T10:31:00Z,48.00,54.00
2026-02-20T10:32:00Z,48.00,54.00
2026-02-20T11:18:00Z,48.00,54.00
2026-02-20T11:38:00Z,48.00,54.00
2026-02-20T12:04:00Z,48.00,54.00
2026-02-20T12:13:00Z,48.00,54.00
2026-02-20T12:28:00Z,48.00,54.00
2026-02-20T12:39:00Z,48.00,55.00
2026-02-20T12:41:00Z,48.00,54.00
2026-02-20T12:48:00Z,47.00,54.00
2026-02-20T12:50:00Z,47.00,54.00
2026-02-20T13:00:00Z,47.00,55.00
2026-02-20T13:11:00Z,47.00,56.00
2026-02-20T13:14:00Z,48.00,56.00
2026-02-20T13:15:00Z,48.00,56.00
2026-02-20T13:16:00Z,48.00,56.00
2026-02-20T13:29:00Z,48.00,56.00
2026-02-20T13:34:00Z,48.00,56.00
2026-02-20T13:41:00Z,48.00,57.66
2026-02-20T13:42:00Z,48.00,57.00
2026-02-20T13:45:00Z,48.00,57.00
2026-02-20T13:48:00Z,48.00,58.00
2026-02-20T13:49:00Z,47.00,58.00
2026-02-20T13:50:00Z,47.00,58.00
2026-02-20T13:54:00Z,47.00,58.00
2026-02-20T13:55:00Z,43.38,61.00
2026-02-20T13:56:00Z,43.38,61.00
2026-02-20T13:58:00Z,43.38,61.00
2026-02-20T13:59:00Z,43.38,61.00
2026-02-20T14:00:00Z,43.38,60.00
2026-02-20T14:02:00Z,43.38,60.30
2026-02-20T14:06:00Z,46.00,60.30
2026-02-20T14:08:00Z,46.00,57.98
2026-02-20T14:09:00Z,46.00,56.37
2026-02-20T14:10:00Z,46.98,56.75
2026-02-20T14:11:00Z,46.98,56.00
2026-02-20T14:12:00Z,46.09,56.00
2026-02-20T14:13:00Z,41.00,59.86
2026-02-20T14:14:00Z,36.79,65.11
2026-02-20T14:15:00Z,34.44,67.99
2026-02-20T14:16:00Z,37.32,62.00
2026-02-20T14:17:00Z,43.15,59.50
2026-02-20T14:18:00Z,46.06,56.18
2026-02-20T14:19:00Z,51.31,52.57
2026-02-20T14:20:00Z,52.43,49.00
