# event_ticker=KXATPCHALLENGERMATCH-26MAY26DJESKA
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Timofey Skatov
# fav_player=Laslo Djere
# dog_player=Timofey Skatov
# kalshi_date=2026-05-26
timestamp,Laslo Djere,Timofey Skatov
2026-05-26T03:39:00Z,78.84,
2026-05-26T04:08:00Z,78.84,23.09
2026-05-26T04:14:00Z,78.84,24.00
2026-05-26T05:41:00Z,78.00,24.00
2026-05-26T06:56:00Z,78.00,24.00
2026-05-26T07:44:00Z,79.00,24.00
2026-05-26T07:49:00Z,79.65,24.00
2026-05-26T08:14:00Z,79.65,24.00
2026-05-26T08:57:00Z,79.00,23.00
2026-05-26T09:41:00Z,79.00,23.50
2026-05-26T10:08:00Z,78.86,23.50
2026-05-26T10:24:00Z,78.00,23.50
2026-05-26T10:40:00Z,78.00,24.24
2026-05-26T10:44:00Z,78.00,24.00
2026-05-26T10:45:00Z,79.00,22.95
2026-05-26T10:46:00Z,79.00,20.55
2026-05-26T10:47:00Z,79.18,22.00
2026-05-26T10:48:00Z,84.00,15.00
2026-05-26T10:49:00Z,86.00,15.00
2026-05-26T10:50:00Z,86.00,14.00
2026-05-26T10:51:00Z,87.81,14.00
2026-05-26T10:52:00Z,84.38,14.04
2026-05-26T10:53:00Z,84.38,21.91
2026-05-26T10:54:00Z,79.00,21.00
2026-05-26T10:55:00Z,76.00,24.57
2026-05-26T10:56:00Z,76.00,28.00
2026-05-26T10:57:00Z,73.00,26.00
2026-05-26T10:58:00Z,73.93,27.85
2026-05-26T10:59:00Z,74.64,27.85
2026-05-26T11:00:00Z,75.91,27.85
2026-05-26T11:01:00Z,78.75,22.00
2026-05-26T11:02:00Z,79.00,22.00
2026-05-26T11:03:00Z,79.15,21.16
2026-05-26T11:04:00Z,83.30,15.07
2026-05-26T11:05:00Z,85.00,15.07
2026-05-26T11:06:00Z,85.97,14.69
2026-05-26T11:08:00Z,87.29,13.00
2026-05-26T11:09:00Z,86.08,15.01
2026-05-26T11:10:00Z,80.00,19.00
2026-05-26T11:11:00Z,75.15,21.95
2026-05-26T11:12:00Z,75.15,27.24
2026-05-26T11:13:00Z,73.00,25.38
2026-05-26T11:14:00Z,73.40,26.00
2026-05-26T11:15:00Z,72.00,28.00
2026-05-26T11:16:00Z,76.79,26.14
2026-05-26T11:17:00Z,78.89,23.42
2026-05-26T11:18:00Z,73.37,26.04
2026-05-26T11:19:00Z,78.49,22.09
2026-05-26T11:20:00Z,77.16,22.21
2026-05-26T11:21:00Z,77.00,21.00
2026-05-26T11:22:00Z,84.70,20.00
2026-05-26T11:24:00Z,84.70,15.46
2026-05-26T11:25:00Z,84.70,20.83
2026-05-26T11:26:00Z,80.43,20.00
2026-05-26T11:27:00Z,78.98,25.15
2026-05-26T11:28:00Z,75.00,24.21
2026-05-26T11:29:00Z,72.00,27.00
2026-05-26T11:30:00Z,69.90,32.07
2026-05-26T11:31:00Z,66.59,32.98
2026-05-26T11:32:00Z,72.37,32.98
2026-05-26T11:33:00Z,73.26,26.63
2026-05-26T11:34:00Z,73.31,26.66
2026-05-26T11:35:00Z,69.31,29.69
2026-05-26T11:36:00Z,68.00,33.00
2026-05-26T11:37:00Z,68.00,33.00
2026-05-26T11:38:00Z,68.51,30.96
2026-05-26T11:39:00Z,70.81,31.09
