# event_ticker=KXATPMATCH-26FEB11BARDAR
# final_score=6-1 6-3
# score_resolution=1-6 3-6
# match_winner=Luciano Darderi
# fav_player=Marcelo Tomas Barrios Vera
# dog_player=Luciano Darderi
# kalshi_date=2026-02-11
timestamp,Marcelo Tomas Barrios Vera,Luciano Darderi
2026-02-12T04:24:00Z,29.00,
2026-02-12T04:39:00Z,29.00,73.96
2026-02-12T04:41:00Z,29.00,74.00
2026-02-12T04:42:00Z,29.00,73.00
2026-02-12T04:58:00Z,29.00,74.00
2026-02-12T05:00:00Z,28.00,74.00
2026-02-12T05:04:00Z,28.00,74.00
2026-02-12T05:15:00Z,28.00,74.00
2026-02-12T05:20:00Z,28.00,74.00
2026-02-12T05:30:00Z,28.00,74.00
2026-02-12T05:57:00Z,28.00,74.00
2026-02-12T05:58:00Z,28.00,74.00
2026-02-12T05:59:00Z,28.00,74.00
2026-02-12T06:03:00Z,28.08,74.00
2026-02-12T06:14:00Z,26.00,74.00
2026-02-12T06:16:00Z,26.00,74.00
2026-02-12T06:24:00Z,26.00,74.00
2026-02-12T06:43:00Z,28.00,74.00
2026-02-12T07:04:00Z,28.00,73.00
2026-02-12T07:05:00Z,28.00,71.00
2026-02-12T07:21:00Z,28.00,73.00
2026-02-12T07:25:00Z,28.00,73.00
2026-02-12T07:29:00Z,28.00,73.00
2026-02-12T07:33:00Z,28.00,73.00
2026-02-12T07:47:00Z,28.00,73.00
2026-02-12T10:07:00Z,28.00,73.00
2026-02-12T10:15:00Z,28.00,73.00
2026-02-12T11:21:00Z,28.00,73.00
2026-02-12T11:54:00Z,29.00,73.00
2026-02-12T11:57:00Z,29.00,72.00
2026-02-12T12:01:00Z,28.00,72.00
2026-02-12T12:05:00Z,28.00,72.00
2026-02-12T12:10:00Z,28.00,73.00
2026-02-12T12:14:00Z,28.00,73.00
2026-02-12T12:28:00Z,28.00,72.00
2026-02-12T12:36:00Z,28.00,72.00
2026-02-12T12:50:00Z,28.00,72.00
2026-02-12T12:57:00Z,28.00,72.00
2026-02-12T13:11:00Z,28.00,72.00
2026-02-12T13:26:00Z,28.00,72.00
2026-02-12T13:31:00Z,28.00,72.00
2026-02-12T13:33:00Z,28.00,72.00
2026-02-12T13:43:00Z,28.00,73.00
2026-02-12T13:47:00Z,28.00,73.30
2026-02-12T13:53:00Z,28.00,74.00
2026-02-12T13:55:00Z,28.00,74.00
2026-02-12T13:56:00Z,28.00,74.00
2026-02-12T13:57:00Z,28.00,74.00
2026-02-12T13:59:00Z,28.00,74.00
2026-02-12T14:01:00Z,28.00,74.00
2026-02-12T14:11:00Z,28.00,74.00
2026-02-12T14:13:00Z,28.00,74.00
2026-02-12T14:17:00Z,29.00,74.00
2026-02-12T14:25:00Z,29.00,74.00
2026-02-12T14:32:00Z,29.00,74.00
2026-02-12T14:36:00Z,29.00,74.45
