# event_ticker=KXATPCHALLENGERMATCH-26MAR27GENVAS
# final_score=6-0 6-2
# score_resolution=0-6 2-6
# match_winner=Tom Gentzsch
# fav_player=Alexander Vasilev
# dog_player=Tom Gentzsch
# kalshi_date=2026-03-27
timestamp,Alexander Vasilev,Tom Gentzsch
2026-03-27T15:01:00Z,34.00,
2026-03-27T15:05:00Z,34.00,85.60
2026-03-27T15:08:00Z,37.20,70.00
2026-03-27T15:18:00Z,37.20,66.21
2026-03-27T15:20:00Z,37.20,68.00
2026-03-27T15:21:00Z,35.51,68.54
2026-03-27T15:22:00Z,35.51,67.83
2026-03-27T15:23:00Z,35.00,69.03
2026-03-27T15:24:00Z,35.00,70.00
2026-03-27T15:25:00Z,34.76,69.63
2026-03-27T15:26:00Z,33.00,69.63
2026-03-27T15:27:00Z,34.11,70.09
2026-03-27T15:28:00Z,34.40,70.20
2026-03-27T15:29:00Z,34.00,70.20
2026-03-27T15:31:00Z,34.00,68.29
2026-03-27T15:32:00Z,34.61,70.00
2026-03-27T15:33:00Z,34.61,69.05
2026-03-27T15:34:00Z,35.00,69.05
2026-03-27T15:35:00Z,33.00,69.05
2026-03-27T15:36:00Z,33.00,69.45
2026-03-27T15:37:00Z,35.71,68.00
2026-03-27T15:38:00Z,35.71,69.57
2026-03-27T15:39:00Z,32.31,71.54
2026-03-27T15:40:00Z,30.00,71.87
2026-03-27T15:41:00Z,31.83,72.00
2026-03-27T15:42:00Z,32.95,70.31
2026-03-27T15:43:00Z,37.87,66.07
2026-03-27T15:44:00Z,44.24,61.38
2026-03-27T15:45:00Z,36.80,65.87
2026-03-27T15:46:00Z,40.44,63.23
2026-03-27T15:47:00Z,45.35,63.47
2026-03-27T15:48:00Z,34.90,66.79
2026-03-27T15:49:00Z,35.00,65.64
2026-03-27T15:50:00Z,28.36,71.35
2026-03-27T15:51:00Z,26.78,75.42
2026-03-27T15:52:00Z,23.70,75.00
2026-03-27T15:53:00Z,33.75,73.44
2026-03-27T15:54:00Z,19.16,82.23
2026-03-27T15:55:00Z,16.01,83.91
2026-03-27T15:56:00Z,11.67,84.77
2026-03-27T15:57:00Z,14.94,84.80
2026-03-27T15:58:00Z,13.38,86.01
2026-03-27T15:59:00Z,11.58,88.00
2026-03-27T16:00:00Z,13.49,86.55
2026-03-27T16:01:00Z,9.34,89.93
2026-03-27T16:02:00Z,8.25,91.69
2026-03-27T16:03:00Z,6.05,92.44
2026-03-27T16:04:00Z,7.48,93.00
2026-03-27T16:05:00Z,8.69,90.48
2026-03-27T16:06:00Z,7.31,93.00
2026-03-27T16:07:00Z,7.22,94.00
2026-03-27T16:08:00Z,7.05,93.63
2026-03-27T16:09:00Z,6.77,93.13
2026-03-27T16:10:00Z,6.29,93.76
2026-03-27T16:11:00Z,5.04,94.78
2026-03-27T16:12:00Z,5.04,95.98
2026-03-27T16:13:00Z,5.05,94.30
2026-03-27T16:14:00Z,7.11,94.24
2026-03-27T16:15:00Z,6.96,94.08
2026-03-27T16:16:00Z,9.37,93.98
2026-03-27T16:17:00Z,5.93,95.00
2026-03-27T16:18:00Z,5.93,95.00
2026-03-27T16:19:00Z,5.19,95.23
2026-03-27T16:20:00Z,2.73,97.76
2026-03-27T16:21:00Z,1.89,98.00
2026-03-27T16:22:00Z,1.06,98.38
2026-03-27T16:23:00Z,1.11,99.00
2026-03-27T16:24:00Z,1.05,99.00
2026-03-27T16:25:00Z,1.03,99.00
2026-03-27T16:26:00Z,1.00,99.00
2026-03-27T16:27:00Z,1.00,99.00
2026-03-27T16:28:00Z,1.00,99.00
2026-03-27T16:29:00Z,1.00,99.00
2026-03-27T16:30:00Z,1.00,99.00
2026-03-27T16:31:00Z,1.00,99.00
2026-03-27T16:32:00Z,1.00,99.00
2026-03-27T16:33:00Z,1.00,99.00
2026-03-27T16:34:00Z,1.00,99.00
2026-03-27T16:36:00Z,1.00,99.00
2026-03-27T16:41:00Z,1.00,99.00
