# event_ticker=KXATPCHALLENGERMATCH-26MAY25NEUTUL
# final_score=7-6(6) 6-4
# score_resolution=7-6 6-4
# match_winner=Lukas Neumayer
# fav_player=Lukas Neumayer
# dog_player=Li Tu
# kalshi_date=2026-05-25
timestamp,Lukas Neumayer,Li Tu
2026-05-25T09:26:00Z,89.00,
2026-05-25T11:51:00Z,89.00,13.00
2026-05-25T13:57:00Z,89.00,12.00
2026-05-25T13:59:00Z,89.00,12.00
2026-05-25T15:06:00Z,89.00,11.00
2026-05-25T15:30:00Z,88.00,11.00
2026-05-25T15:48:00Z,88.00,12.00
2026-05-25T15:53:00Z,88.00,12.00
2026-05-25T15:55:00Z,88.00,12.00
2026-05-25T16:16:00Z,88.00,12.00
2026-05-25T16:18:00Z,88.00,12.00
2026-05-25T16:19:00Z,88.00,12.00
2026-05-25T16:24:00Z,88.00,12.00
2026-05-25T16:30:00Z,88.00,12.00
2026-05-25T16:39:00Z,88.00,10.23
2026-05-25T16:40:00Z,88.00,12.00
2026-05-25T16:41:00Z,88.00,12.00
2026-05-25T16:45:00Z,89.08,11.00
2026-05-25T16:46:00Z,89.00,11.00
2026-05-25T16:47:00Z,89.12,10.78
2026-05-25T16:48:00Z,89.08,10.25
2026-05-25T16:49:00Z,88.00,12.74
2026-05-25T16:52:00Z,89.00,12.74
2026-05-25T16:53:00Z,89.00,11.00
2026-05-25T16:54:00Z,89.00,11.00
2026-05-25T16:55:00Z,88.00,12.00
2026-05-25T16:56:00Z,87.00,14.00
2026-05-25T16:57:00Z,85.77,15.10
2026-05-25T16:58:00Z,83.97,18.99
2026-05-25T16:59:00Z,86.91,13.00
2026-05-25T17:01:00Z,86.91,14.00
2026-05-25T17:02:00Z,85.96,15.00
2026-05-25T17:03:00Z,87.00,14.98
2026-05-25T17:04:00Z,84.28,15.17
2026-05-25T17:05:00Z,83.99,17.00
2026-05-25T17:06:00Z,85.00,15.00
2026-05-25T17:07:00Z,85.28,16.00
2026-05-25T17:08:00Z,86.00,16.00
2026-05-25T17:09:00Z,86.00,15.00
2026-05-25T17:10:00Z,85.09,14.69
2026-05-25T17:11:00Z,85.20,14.06
2026-05-25T17:12:00Z,83.00,15.95
2026-05-25T17:13:00Z,80.56,20.44
2026-05-25T17:14:00Z,78.62,20.92
2026-05-25T17:15:00Z,71.76,28.75
2026-05-25T17:16:00Z,76.03,24.17
2026-05-25T17:17:00Z,81.35,19.03
2026-05-25T17:18:00Z,81.66,17.11
2026-05-25T17:19:00Z,81.66,16.66
2026-05-25T17:20:00Z,83.89,17.58
2026-05-25T17:21:00Z,79.14,20.00
2026-05-25T17:22:00Z,76.56,22.73
2026-05-25T17:23:00Z,78.24,22.98
2026-05-25T17:24:00Z,79.50,22.98
2026-05-25T17:25:00Z,82.00,19.00
2026-05-25T17:26:00Z,82.40,19.77
2026-05-25T17:27:00Z,77.04,23.60
2026-05-25T17:28:00Z,78.00,22.99
2026-05-25T17:29:00Z,77.86,20.89
2026-05-25T17:30:00Z,83.86,17.05
2026-05-25T17:31:00Z,82.68,14.50
2026-05-25T17:32:00Z,79.78,22.78
2026-05-25T17:33:00Z,70.18,28.27
2026-05-25T17:34:00Z,76.00,25.00
2026-05-25T17:35:00Z,82.55,24.11
2026-05-25T17:36:00Z,77.78,22.19
2026-05-25T17:37:00Z,68.99,31.50
2026-05-25T17:38:00Z,72.51,27.13
2026-05-25T17:39:00Z,78.93,19.63
2026-05-25T17:40:00Z,90.98,8.78
2026-05-25T17:41:00Z,92.00,8.00
2026-05-25T17:42:00Z,93.00,8.00
2026-05-25T17:43:00Z,92.00,8.99
2026-05-25T17:44:00Z,93.51,7.71
2026-05-25T17:45:00Z,92.08,8.30
2026-05-25T17:46:00Z,92.97,8.14
2026-05-25T17:47:00Z,95.36,5.10
2026-05-25T17:48:00Z,97.00,3.54
2026-05-25T17:49:00Z,97.00,3.46
2026-05-25T17:50:00Z,96.00,4.91
2026-05-25T17:51:00Z,95.00,5.99
2026-05-25T17:52:00Z,92.94,8.05
2026-05-25T17:53:00Z,91.00,9.34
2026-05-25T17:54:00Z,91.61,9.41
2026-05-25T17:55:00Z,89.00,9.39
2026-05-25T17:56:00Z,87.00,12.08
2026-05-25T17:57:00Z,88.00,13.00
2026-05-25T17:58:00Z,88.04,12.07
2026-05-25T17:59:00Z,89.04,10.85
2026-05-25T18:00:00Z,86.00,13.05
2026-05-25T18:01:00Z,83.76,17.22
2026-05-25T18:02:00Z,85.08,13.93
2026-05-25T18:03:00Z,85.00,20.94
2026-05-25T18:04:00Z,74.82,25.84
2026-05-25T18:05:00Z,71.92,28.96
2026-05-25T18:06:00Z,72.33,27.99
2026-05-25T18:07:00Z,73.56,24.96
2026-05-25T18:08:00Z,80.80,19.66
2026-05-25T18:09:00Z,80.80,15.00
2026-05-25T18:10:00Z,84.00,17.35
2026-05-25T18:11:00Z,81.81,19.21
2026-05-25T18:12:00Z,84.86,14.61
2026-05-25T18:13:00Z,86.00,14.00
2026-05-25T18:14:00Z,84.89,14.98
2026-05-25T18:15:00Z,87.98,13.00
2026-05-25T18:16:00Z,90.55,10.44
2026-05-25T18:17:00Z,88.76,12.10
2026-05-25T18:18:00Z,86.01,15.43
2026-05-25T18:19:00Z,86.01,15.87
2026-05-25T18:20:00Z,85.00,15.91
2026-05-25T18:21:00Z,80.46,18.39
2026-05-25T18:22:00Z,85.05,16.14
2026-05-25T18:23:00Z,87.00,13.06
2026-05-25T18:24:00Z,88.33,12.87
2026-05-25T18:25:00Z,92.91,6.12
2026-05-25T18:26:00Z,96.06,3.55
2026-05-25T18:27:00Z,98.00,2.24
2026-05-25T18:28:00Z,97.04,2.46
2026-05-25T18:29:00Z,97.94,2.12
2026-05-25T18:30:00Z,99.00,1.01
