# event_ticker=KXATPCHALLENGERMATCH-26MAY13BUDKEC
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Miomir Kecmanovic
# fav_player=Nicolai Budkov Kjaer
# dog_player=Miomir Kecmanovic
# kalshi_date=2026-05-13
timestamp,Nicolai Budkov Kjaer,Miomir Kecmanovic
2026-05-12T20:53:00Z,46.00,
2026-05-12T21:40:00Z,46.00,63.66
2026-05-12T21:54:00Z,41.00,63.66
2026-05-12T22:08:00Z,40.00,63.66
2026-05-12T22:30:00Z,42.00,63.66
2026-05-12T23:16:00Z,42.00,58.00
2026-05-12T23:41:00Z,42.00,61.00
2026-05-12T23:48:00Z,42.00,61.00
2026-05-12T23:49:00Z,42.00,61.90
2026-05-12T23:50:00Z,42.00,62.41
2026-05-13T01:59:00Z,42.00,60.00
2026-05-13T02:09:00Z,42.00,60.00
2026-05-13T02:47:00Z,42.00,61.00
2026-05-13T02:51:00Z,42.00,62.00
2026-05-13T02:52:00Z,42.00,62.00
2026-05-13T02:56:00Z,41.00,62.00
2026-05-13T02:57:00Z,41.00,61.00
2026-05-13T03:04:00Z,41.00,62.00
2026-05-13T03:08:00Z,41.00,61.00
2026-05-13T03:13:00Z,41.00,62.00
2026-05-13T03:18:00Z,41.00,61.00
2026-05-13T03:24:00Z,41.00,61.00
2026-05-13T03:29:00Z,41.00,62.53
2026-05-13T03:30:00Z,41.00,62.87
2026-05-13T03:31:00Z,41.00,61.99
2026-05-13T03:40:00Z,41.00,61.99
2026-05-13T03:44:00Z,41.00,61.99
2026-05-13T03:53:00Z,41.00,62.00
2026-05-13T03:56:00Z,41.00,63.00
2026-05-13T04:19:00Z,41.00,62.00
2026-05-13T04:21:00Z,41.00,61.70
2026-05-13T04:22:00Z,41.00,61.00
2026-05-13T04:24:00Z,41.00,62.00
2026-05-13T04:25:00Z,41.00,62.00
2026-05-13T04:26:00Z,41.00,63.00
2026-05-13T04:28:00Z,41.00,62.00
2026-05-13T04:29:00Z,41.00,62.00
2026-05-13T04:30:00Z,41.00,63.00
2026-05-13T04:31:00Z,41.00,63.00
2026-05-13T04:37:00Z,41.00,62.25
2026-05-13T04:46:00Z,41.00,62.25
2026-05-13T04:51:00Z,41.00,62.25
2026-05-13T04:55:00Z,41.00,62.25
2026-05-13T05:04:00Z,41.00,59.60
2026-05-13T05:09:00Z,41.00,62.00
2026-05-13T05:10:00Z,39.63,62.00
2026-05-13T05:11:00Z,40.00,62.00
2026-05-13T05:21:00Z,40.00,62.00
2026-05-13T05:37:00Z,40.00,62.00
2026-05-13T05:38:00Z,40.80,60.10
2026-05-13T05:39:00Z,41.00,60.10
2026-05-13T05:42:00Z,41.00,61.00
2026-05-13T05:58:00Z,39.00,61.00
2026-05-13T06:32:00Z,39.00,61.00
2026-05-13T06:53:00Z,39.00,61.00
2026-05-13T06:59:00Z,39.00,61.00
2026-05-13T07:13:00Z,39.00,61.00
2026-05-13T07:33:00Z,39.00,61.00
2026-05-13T07:34:00Z,39.00,61.00
2026-05-13T07:37:00Z,40.00,61.00
2026-05-13T07:38:00Z,40.00,61.00
