# event_ticker=KXATPCHALLENGERMATCH-26JUN04REHMOE
# final_score=6-3 6-4
# match_winner=Marvin Moeller
# fav_player=Marvin Moeller
# dog_player=Max Hans Rehberg
# kalshi_date=2026-06-04
timestamp,Max Hans Rehberg,Marvin Moeller
2026-06-04T03:30:00Z,,36.00
2026-06-04T04:10:00Z,,36.00
2026-06-04T04:35:00Z,,36.00
2026-06-04T04:41:00Z,65.00,36.00
2026-06-04T04:47:00Z,65.00,36.00
2026-06-04T05:23:00Z,66.00,36.00
2026-06-04T05:47:00Z,66.00,36.00
2026-06-04T06:35:00Z,66.00,36.00
2026-06-04T06:42:00Z,66.00,36.00
2026-06-04T06:59:00Z,64.00,36.00
2026-06-04T09:06:00Z,66.00,36.00
2026-06-04T09:18:00Z,66.00,36.00
2026-06-04T10:19:00Z,66.00,36.00
2026-06-04T11:19:00Z,66.00,37.00
2026-06-04T11:27:00Z,66.00,37.00
2026-06-04T11:35:00Z,64.88,37.00
2026-06-04T11:52:00Z,64.00,37.00
2026-06-04T11:58:00Z,65.00,37.00
2026-06-04T12:16:00Z,64.00,37.00
2026-06-04T12:21:00Z,65.00,37.00
2026-06-04T12:27:00Z,65.00,34.00
2026-06-04T12:29:00Z,65.00,37.00
2026-06-04T12:38:00Z,65.00,37.00
2026-06-04T12:40:00Z,65.00,37.00
2026-06-04T12:45:00Z,65.00,37.00
2026-06-04T13:23:00Z,65.00,37.00
2026-06-04T13:24:00Z,65.00,34.02
2026-06-04T13:29:00Z,63.00,34.02
2026-06-04T13:33:00Z,65.00,34.02
2026-06-04T13:37:00Z,65.00,35.00
2026-06-04T13:47:00Z,65.00,37.00
2026-06-04T13:53:00Z,65.00,37.59
2026-06-04T13:54:00Z,65.00,37.95
2026-06-04T13:55:00Z,65.00,38.00
2026-06-04T13:59:00Z,65.00,38.00
2026-06-04T14:11:00Z,65.00,38.00
2026-06-04T14:12:00Z,65.00,38.00
2026-06-04T14:13:00Z,68.86,33.48
2026-06-04T14:14:00Z,64.03,36.89
2026-06-04T14:15:00Z,64.35,37.23
2026-06-04T14:16:00Z,64.67,38.06
2026-06-04T14:17:00Z,67.00,36.23
2026-06-04T14:18:00Z,65.11,39.00
2026-06-04T14:19:00Z,70.08,30.36
2026-06-04T14:20:00Z,68.74,29.43
2026-06-04T14:21:00Z,68.04,33.78
2026-06-04T14:23:00Z,62.00,36.17
2026-06-04T14:24:00Z,63.09,38.23
2026-06-04T14:25:00Z,57.30,44.78
2026-06-04T14:26:00Z,53.11,51.55
2026-06-04T14:27:00Z,48.77,53.53
2026-06-04T14:28:00Z,49.60,52.07
2026-06-04T14:29:00Z,48.00,54.92
2026-06-04T14:30:00Z,48.77,50.80
2026-06-04T14:31:00Z,45.00,56.74
2026-06-04T14:32:00Z,45.00,56.74
2026-06-04T14:33:00Z,46.56,53.89
2026-06-04T14:34:00Z,47.93,52.30
2026-06-04T14:35:00Z,48.28,49.98
2026-06-04T14:36:00Z,50.70,49.35
2026-06-04T14:37:00Z,52.54,48.75
2026-06-04T14:38:00Z,52.00,50.92
2026-06-04T14:39:00Z,48.00,53.08
2026-06-04T14:40:00Z,45.00,56.00
2026-06-04T14:41:00Z,42.00,57.57
2026-06-04T14:42:00Z,40.00,60.53
2026-06-04T14:43:00Z,38.02,61.60
2026-06-04T14:44:00Z,39.93,59.32
2026-06-04T14:45:00Z,40.10,59.77
2026-06-04T14:46:00Z,44.08,57.30
2026-06-04T14:47:00Z,40.79,61.27
2026-06-04T14:48:00Z,35.03,65.05
2026-06-04T14:49:00Z,35.35,65.97
2026-06-04T14:50:00Z,34.01,67.68
