# event_ticker=KXATPCHALLENGERMATCH-26MAY10CASRON
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Franco Roncadelli
# fav_player=Hernan Casanova
# dog_player=Franco Roncadelli
# kalshi_date=2026-05-10
timestamp,Hernan Casanova,Franco Roncadelli
2026-05-10T03:05:00Z,55.00,
2026-05-10T03:12:00Z,55.00,48.00
2026-05-10T03:31:00Z,55.00,48.00
2026-05-10T03:54:00Z,55.00,48.00
2026-05-10T04:38:00Z,55.00,48.00
2026-05-10T05:09:00Z,55.00,48.00
2026-05-10T05:20:00Z,55.00,48.00
2026-05-10T06:38:00Z,55.00,48.00
2026-05-10T06:48:00Z,54.00,48.00
2026-05-10T06:51:00Z,54.00,48.00
2026-05-10T06:58:00Z,54.00,48.00
2026-05-10T07:14:00Z,54.00,48.00
2026-05-10T07:22:00Z,54.00,48.00
2026-05-10T07:44:00Z,54.00,48.00
2026-05-10T07:46:00Z,54.00,48.00
2026-05-10T07:47:00Z,54.00,48.00
2026-05-10T08:19:00Z,54.00,48.00
2026-05-10T11:21:00Z,54.00,48.00
2026-05-10T11:31:00Z,54.00,48.00
2026-05-10T11:40:00Z,54.00,47.00
2026-05-10T11:46:00Z,54.00,47.00
2026-05-10T12:19:00Z,54.00,47.00
2026-05-10T12:40:00Z,54.00,47.00
2026-05-10T12:44:00Z,54.00,47.00
2026-05-10T12:45:00Z,54.00,47.00
2026-05-10T12:49:00Z,53.00,47.00
2026-05-10T12:52:00Z,54.00,47.00
2026-05-10T12:54:00Z,54.00,47.00
2026-05-10T12:56:00Z,54.00,47.00
2026-05-10T12:57:00Z,54.00,47.00
2026-05-10T13:00:00Z,54.00,47.00
2026-05-10T13:03:00Z,54.00,47.00
2026-05-10T13:04:00Z,54.00,47.00
2026-05-10T13:05:00Z,54.00,47.00
2026-05-10T13:07:00Z,54.00,47.00
2026-05-10T13:08:00Z,54.00,47.00
2026-05-10T13:10:00Z,54.00,47.00
2026-05-10T13:11:00Z,54.00,47.00
2026-05-10T13:15:00Z,54.00,47.00
2026-05-10T13:16:00Z,54.00,47.00
2026-05-10T13:18:00Z,54.00,47.00
2026-05-10T13:19:00Z,54.00,47.00
2026-05-10T13:22:00Z,54.00,47.00
2026-05-10T13:23:00Z,54.00,47.00
2026-05-10T13:24:00Z,54.00,47.00
2026-05-10T13:25:00Z,54.00,47.00
2026-05-10T13:26:00Z,54.00,47.00
2026-05-10T13:28:00Z,54.00,47.00
2026-05-10T13:30:00Z,54.00,47.00
2026-05-10T13:31:00Z,54.00,47.00
2026-05-10T13:34:00Z,54.00,47.00
2026-05-10T13:35:00Z,54.00,47.00
2026-05-10T13:36:00Z,54.00,47.00
2026-05-10T13:37:00Z,53.00,47.00
2026-05-10T13:40:00Z,54.00,47.00
2026-05-10T13:41:00Z,54.00,47.00
2026-05-10T13:43:00Z,54.76,47.00
2026-05-10T13:44:00Z,54.76,47.00
2026-05-10T13:46:00Z,54.76,47.00
2026-05-10T13:48:00Z,54.00,47.00
2026-05-10T13:50:00Z,54.00,47.00
2026-05-10T13:52:00Z,54.00,46.00
2026-05-10T13:53:00Z,54.00,48.00
2026-05-10T13:54:00Z,54.00,48.00
2026-05-10T13:55:00Z,54.00,48.00
2026-05-10T13:56:00Z,54.00,48.00
2026-05-10T13:59:00Z,54.00,48.00
2026-05-10T14:00:00Z,54.00,48.00
2026-05-10T14:03:00Z,55.00,47.06
2026-05-10T14:04:00Z,55.00,45.00
2026-05-10T14:06:00Z,55.00,48.00
2026-05-10T14:08:00Z,55.00,48.00
2026-05-10T14:09:00Z,55.00,48.00
2026-05-10T14:10:00Z,55.00,47.00
2026-05-10T14:13:00Z,61.12,47.00
2026-05-10T14:14:00Z,59.69,41.19
2026-05-10T14:15:00Z,63.00,41.19
2026-05-10T14:16:00Z,61.96,38.98
2026-05-10T14:17:00Z,59.41,40.66
2026-05-10T14:18:00Z,56.57,45.68
2026-05-10T14:19:00Z,51.13,49.00
2026-05-10T14:20:00Z,49.00,53.00
2026-05-10T14:21:00Z,53.00,53.00
2026-05-10T14:22:00Z,53.07,47.45
2026-05-10T14:23:00Z,49.99,50.75
2026-05-10T14:24:00Z,54.03,49.00
2026-05-10T14:25:00Z,58.41,49.00
2026-05-10T14:26:00Z,60.00,39.00
2026-05-10T14:27:00Z,61.00,39.03
2026-05-10T14:28:00Z,63.53,37.37
2026-05-10T14:29:00Z,65.00,34.00
2026-05-10T14:30:00Z,65.00,35.45
2026-05-10T14:31:00Z,66.32,36.00
2026-05-10T14:32:00Z,65.55,36.00
2026-05-10T14:33:00Z,62.01,37.01
2026-05-10T14:34:00Z,62.00,38.00
2026-05-10T14:35:00Z,62.92,40.00
2026-05-10T14:36:00Z,62.50,38.06
2026-05-10T14:37:00Z,58.08,41.59
2026-05-10T14:38:00Z,50.21,45.35
2026-05-10T14:39:00Z,47.88,54.08
2026-05-10T14:40:00Z,41.97,58.46
2026-05-10T14:41:00Z,39.07,61.01
2026-05-10T14:43:00Z,41.88,60.06
2026-05-10T14:44:00Z,36.48,63.86
2026-05-10T14:45:00Z,33.58,67.85
2026-05-10T14:46:00Z,26.89,72.89
