# event_ticker=KXATPCHALLENGERMATCH-26FEB19BLOBOU
# final_score=6-1 7-6(3)
# score_resolution=6-1 7-6
# match_winner=Alexander Blockx
# fav_player=Alexander Blockx
# dog_player=Arthur Bouquier
# kalshi_date=2026-02-19
timestamp,Alexander Blockx,Arthur Bouquier
2026-02-19T01:13:00Z,79.00,
2026-02-19T01:21:00Z,79.00,23.00
2026-02-19T01:48:00Z,79.00,23.00
2026-02-19T02:23:00Z,77.00,23.00
2026-02-19T02:34:00Z,79.00,23.00
2026-02-19T02:43:00Z,80.00,23.00
2026-02-19T02:48:00Z,80.00,23.00
2026-02-19T02:50:00Z,79.00,23.00
2026-02-19T03:15:00Z,80.00,23.00
2026-02-19T03:37:00Z,80.00,22.00
2026-02-19T03:45:00Z,79.00,22.00
2026-02-19T03:59:00Z,79.00,22.00
2026-02-19T04:00:00Z,79.00,22.00
2026-02-19T04:02:00Z,79.00,22.00
2026-02-19T04:05:00Z,79.00,22.00
2026-02-19T04:06:00Z,79.00,23.00
2026-02-19T04:07:00Z,79.00,23.00
2026-02-19T04:17:00Z,80.00,23.00
2026-02-19T04:22:00Z,80.00,23.00
2026-02-19T04:24:00Z,80.00,23.00
2026-02-19T04:28:00Z,80.00,23.00
2026-02-19T04:30:00Z,80.00,23.00
2026-02-19T04:48:00Z,80.00,23.00
2026-02-19T04:54:00Z,80.00,23.00
2026-02-19T05:04:00Z,80.00,23.00
2026-02-19T05:10:00Z,80.00,23.00
2026-02-19T05:22:00Z,80.00,23.00
2026-02-19T05:48:00Z,80.00,23.00
2026-02-19T05:51:00Z,80.00,22.00
2026-02-19T06:10:00Z,79.00,22.00
2026-02-19T06:18:00Z,79.00,22.00
2026-02-19T06:19:00Z,79.00,22.00
2026-02-19T06:22:00Z,79.23,22.00
2026-02-19T06:23:00Z,79.23,23.00
2026-02-19T06:24:00Z,79.23,23.00
2026-02-19T06:25:00Z,80.00,23.00
2026-02-19T06:29:00Z,80.00,23.00
2026-02-19T06:34:00Z,80.00,23.00
2026-02-19T06:43:00Z,80.00,23.00
2026-02-19T06:45:00Z,79.00,23.00
2026-02-19T06:51:00Z,79.00,23.00
2026-02-19T06:58:00Z,80.00,23.00
2026-02-19T07:10:00Z,80.00,23.00
2026-02-19T07:13:00Z,80.00,20.43
2026-02-19T07:25:00Z,79.00,20.43
2026-02-19T07:27:00Z,79.00,24.00
2026-02-19T07:35:00Z,79.00,24.00
2026-02-19T07:36:00Z,79.00,24.00
2026-02-19T07:42:00Z,79.00,23.00
2026-02-19T07:52:00Z,78.00,23.00
2026-02-19T07:58:00Z,78.00,23.00
2026-02-19T10:04:00Z,82.00,23.00
2026-02-19T10:05:00Z,81.00,23.00
2026-02-19T10:14:00Z,81.00,21.00
2026-02-19T10:20:00Z,81.00,21.00
2026-02-19T10:28:00Z,81.00,21.00
2026-02-19T10:29:00Z,81.00,21.00
