# event_ticker=KXATPCHALLENGERMATCH-26MAY27MARDAN
# final_score=6-3 6-1
# score_resolution=3-6 1-6
# match_winner=Taro Daniel
# fav_player=Lilian Marmousez
# dog_player=Taro Daniel
# kalshi_date=2026-05-27
timestamp,Lilian Marmousez,Taro Daniel
2026-05-27T01:34:00Z,,44.00
2026-05-27T02:10:00Z,,42.00
2026-05-27T03:27:00Z,57.09,42.00
2026-05-27T03:34:00Z,57.09,43.00
2026-05-27T03:42:00Z,57.09,43.00
2026-05-27T03:46:00Z,60.00,43.00
2026-05-27T04:07:00Z,60.00,44.00
2026-05-27T04:21:00Z,60.00,44.00
2026-05-27T04:57:00Z,60.00,44.00
2026-05-27T05:13:00Z,58.00,44.00
2026-05-27T05:45:00Z,58.00,44.00
2026-05-27T06:33:00Z,58.00,46.46
2026-05-27T07:18:00Z,58.00,44.00
2026-05-27T07:37:00Z,57.00,44.00
2026-05-27T07:48:00Z,57.00,46.88
2026-05-27T07:51:00Z,57.00,46.00
2026-05-27T08:12:00Z,57.00,46.00
2026-05-27T08:25:00Z,57.00,45.00
2026-05-27T08:28:00Z,57.00,45.00
2026-05-27T08:37:00Z,57.00,45.00
2026-05-27T08:40:00Z,57.00,45.00
2026-05-27T09:54:00Z,56.00,45.00
2026-05-27T10:01:00Z,57.00,45.00
2026-05-27T10:16:00Z,57.00,45.00
2026-05-27T10:17:00Z,57.98,45.00
2026-05-27T10:41:00Z,57.98,44.00
2026-05-27T11:00:00Z,57.98,44.00
2026-05-27T11:03:00Z,57.00,44.00
2026-05-27T11:43:00Z,57.00,44.00
2026-05-27T12:00:00Z,57.87,44.00
2026-05-27T12:01:00Z,57.87,45.00
2026-05-27T12:02:00Z,58.74,45.00
2026-05-27T12:07:00Z,58.74,45.00
2026-05-27T12:12:00Z,58.74,45.00
2026-05-27T12:14:00Z,58.74,45.00
2026-05-27T12:22:00Z,54.40,43.30
2026-05-27T12:23:00Z,58.00,42.00
2026-05-27T12:24:00Z,56.50,42.57
2026-05-27T12:25:00Z,55.16,41.44
2026-05-27T12:26:00Z,60.20,36.00
2026-05-27T12:27:00Z,55.26,42.15
2026-05-27T12:28:00Z,53.06,44.45
2026-05-27T12:29:00Z,55.00,46.00
2026-05-27T12:30:00Z,51.47,46.39
2026-05-27T12:31:00Z,48.00,50.12
2026-05-27T12:32:00Z,47.99,49.25
2026-05-27T12:33:00Z,41.00,60.36
2026-05-27T12:34:00Z,37.00,62.73
2026-05-27T12:35:00Z,37.37,59.60
2026-05-27T12:36:00Z,37.00,64.00
2026-05-27T12:37:00Z,37.00,62.57
2026-05-27T12:38:00Z,36.18,60.40
2026-05-27T12:39:00Z,36.26,65.00
2026-05-27T12:40:00Z,37.05,61.02
2026-05-27T12:41:00Z,39.84,57.46
2026-05-27T12:42:00Z,44.54,56.53
2026-05-27T12:43:00Z,43.43,54.75
2026-05-27T12:44:00Z,47.86,51.25
2026-05-27T12:45:00Z,52.00,48.00
2026-05-27T12:46:00Z,52.59,49.48
2026-05-27T12:47:00Z,49.34,46.27
2026-05-27T12:48:00Z,50.39,48.78
2026-05-27T12:49:00Z,49.00,49.93
2026-05-27T12:50:00Z,50.48,50.20
2026-05-27T12:51:00Z,54.82,45.64
2026-05-27T12:52:00Z,55.82,43.47
2026-05-27T12:53:00Z,54.16,42.16
2026-05-27T12:54:00Z,59.32,40.38
2026-05-27T12:55:00Z,54.26,42.92
2026-05-27T12:56:00Z,49.99,47.95
2026-05-27T12:57:00Z,50.33,47.95
2026-05-27T12:58:00Z,48.56,52.45
2026-05-27T12:59:00Z,43.15,60.11
2026-05-27T13:00:00Z,36.99,54.99
2026-05-27T13:01:00Z,34.00,62.68
2026-05-27T13:02:00Z,32.43,60.10
2026-05-27T13:03:00Z,29.87,68.00
2026-05-27T13:04:00Z,29.62,70.74
2026-05-27T13:05:00Z,31.19,68.90
2026-05-27T13:06:00Z,31.67,69.44
2026-05-27T13:07:00Z,30.70,69.40
2026-05-27T13:08:00Z,31.00,70.00
2026-05-27T13:09:00Z,31.00,70.00
2026-05-27T13:10:00Z,31.00,70.00
2026-05-27T13:11:00Z,31.00,67.96
2026-05-27T13:12:00Z,32.59,69.07
2026-05-27T13:13:00Z,31.17,67.86
2026-05-27T13:14:00Z,23.43,79.54
2026-05-27T13:15:00Z,16.00,83.92
2026-05-27T13:16:00Z,14.87,87.36
2026-05-27T13:17:00Z,12.00,88.00
2026-05-27T13:18:00Z,13.00,88.06
2026-05-27T13:19:00Z,10.82,89.20
2026-05-27T13:20:00Z,11.35,89.67
2026-05-27T13:21:00Z,12.14,87.18
2026-05-27T13:22:00Z,12.06,86.05
2026-05-27T13:23:00Z,14.62,83.83
2026-05-27T13:24:00Z,15.00,85.27
2026-05-27T13:25:00Z,12.82,89.95
2026-05-27T13:26:00Z,10.00,91.39
2026-05-27T13:27:00Z,6.03,93.35
2026-05-27T13:28:00Z,3.81,96.14
2026-05-27T13:29:00Z,1.99,97.37
2026-05-27T13:30:00Z,2.00,98.93
2026-05-27T13:31:00Z,2.00,98.64
2026-05-27T13:32:00Z,2.00,98.02
2026-05-27T13:33:00Z,5.24,96.03
2026-05-27T13:34:00Z,2.46,98.00
2026-05-27T13:35:00Z,1.99,98.29
2026-05-27T13:36:00Z,1.99,99.00
2026-05-27T13:37:00Z,2.00,98.81
2026-05-27T13:38:00Z,1.00,99.00
2026-05-27T13:39:00Z,1.00,99.00
2026-05-27T13:40:00Z,1.00,99.00
2026-05-27T13:42:00Z,1.00,99.00
