# event_ticker=KXATPCHALLENGERMATCH-26MAY16RONLA
# final_score=7-5 2-6 6-3
# score_resolution=5-7 6-2 3-6
# match_winner=Juan Manuel La Serna
# fav_player=Franco Roncadelli
# dog_player=Juan Manuel La Serna
# kalshi_date=2026-05-16
timestamp,Franco Roncadelli,Juan Manuel La Serna
2026-05-16T02:26:00Z,64.00,
2026-05-16T02:41:00Z,64.00,
2026-05-16T02:42:00Z,64.00,
2026-05-16T04:14:00Z,63.94,
2026-05-16T04:31:00Z,63.50,
2026-05-16T04:35:00Z,64.00,
2026-05-16T04:54:00Z,64.00,
2026-05-16T05:21:00Z,64.51,
2026-05-16T05:25:00Z,64.51,36.81
2026-05-16T05:29:00Z,64.00,36.81
2026-05-16T05:36:00Z,64.00,36.81
2026-05-16T05:37:00Z,64.00,36.81
2026-05-16T05:38:00Z,64.00,38.00
2026-05-16T05:43:00Z,64.00,38.00
2026-05-16T05:45:00Z,65.00,38.00
2026-05-16T06:48:00Z,65.00,38.00
2026-05-16T06:51:00Z,65.00,36.00
2026-05-16T07:57:00Z,65.00,36.00
2026-05-16T08:01:00Z,65.00,36.00
2026-05-16T08:26:00Z,65.00,36.00
2026-05-16T09:21:00Z,65.00,36.00
2026-05-16T10:02:00Z,64.00,36.00
2026-05-16T10:53:00Z,64.00,37.00
2026-05-16T11:08:00Z,64.00,37.00
2026-05-16T11:29:00Z,62.23,37.00
2026-05-16T11:56:00Z,63.00,37.00
2026-05-16T12:15:00Z,63.00,37.00
2026-05-16T12:45:00Z,64.00,37.00
2026-05-16T13:13:00Z,63.00,37.00
2026-05-16T13:39:00Z,63.00,37.00
2026-05-16T13:40:00Z,63.00,38.00
2026-05-16T13:50:00Z,63.00,38.00
2026-05-16T13:51:00Z,64.00,38.00
2026-05-16T13:52:00Z,64.00,38.00
2026-05-16T13:54:00Z,64.00,38.00
2026-05-16T13:55:00Z,64.00,38.00
2026-05-16T13:57:00Z,64.00,38.00
2026-05-16T13:58:00Z,64.00,38.00
2026-05-16T13:59:00Z,64.00,38.00
2026-05-16T14:02:00Z,64.00,38.00
2026-05-16T14:03:00Z,64.00,38.00
2026-05-16T14:05:00Z,64.00,38.00
2026-05-16T14:06:00Z,64.00,38.00
2026-05-16T14:09:00Z,64.00,39.00
2026-05-16T14:10:00Z,64.00,39.00
2026-05-16T14:11:00Z,62.00,40.00
2026-05-16T14:12:00Z,62.00,40.00
2026-05-16T14:13:00Z,62.00,39.88
2026-05-16T14:14:00Z,59.96,46.14
2026-05-16T14:15:00Z,59.96,51.10
2026-05-16T14:16:00Z,56.00,47.26
2026-05-16T14:17:00Z,51.00,50.24
2026-05-16T14:18:00Z,49.83,53.00
2026-05-16T14:19:00Z,46.00,53.52
2026-05-16T14:20:00Z,46.82,56.00
2026-05-16T14:21:00Z,44.00,55.58
2026-05-16T14:22:00Z,42.20,59.00
2026-05-16T14:23:00Z,41.48,64.15
2026-05-16T14:24:00Z,35.34,65.96
2026-05-16T14:25:00Z,35.52,66.32
2026-05-16T14:26:00Z,32.57,68.00
2026-05-16T14:27:00Z,32.91,68.75
2026-05-16T14:28:00Z,33.15,68.98
2026-05-16T14:29:00Z,30.26,71.00
2026-05-16T14:30:00Z,31.69,70.69
