# event_ticker=KXATPCHALLENGERMATCH-26MAR17OFNFER
# final_score=6-2 7-6(4)
# score_resolution=2-6 6-7
# match_winner=Sebastian Ofner
# fav_player=Frederico Ferreira Silva
# dog_player=Sebastian Ofner
# kalshi_date=2026-03-17
timestamp,Frederico Ferreira Silva,Sebastian Ofner
2026-03-17T00:51:00Z,,78.00
2026-03-17T02:47:00Z,25.00,78.00
2026-03-17T03:14:00Z,25.00,78.00
2026-03-17T03:49:00Z,22.16,78.00
2026-03-17T03:56:00Z,22.16,77.00
2026-03-17T04:06:00Z,22.16,77.84
2026-03-17T04:08:00Z,22.16,78.00
2026-03-17T04:33:00Z,22.00,78.00
2026-03-17T04:42:00Z,26.00,78.00
2026-03-17T05:23:00Z,26.00,78.00
2026-03-17T05:28:00Z,26.00,78.00
2026-03-17T05:57:00Z,26.00,78.00
2026-03-17T06:00:00Z,26.00,78.00
2026-03-17T06:02:00Z,26.00,78.00
2026-03-17T06:19:00Z,25.00,77.00
2026-03-17T06:46:00Z,25.00,77.00
2026-03-17T07:01:00Z,25.00,76.00
2026-03-17T08:16:00Z,25.00,77.00
2026-03-17T09:15:00Z,23.00,77.00
2026-03-17T09:33:00Z,23.00,77.00
2026-03-17T09:44:00Z,24.00,77.00
2026-03-17T10:09:00Z,24.00,77.00
2026-03-17T10:18:00Z,24.00,77.00
2026-03-17T10:20:00Z,24.00,77.00
2026-03-17T10:38:00Z,24.00,77.00
2026-03-17T10:41:00Z,24.00,77.00
2026-03-17T11:10:00Z,24.00,77.00
2026-03-17T11:15:00Z,25.00,77.00
2026-03-17T11:23:00Z,25.00,77.00
2026-03-17T11:26:00Z,25.00,77.00
2026-03-17T11:43:00Z,25.00,77.00
2026-03-17T11:45:00Z,24.00,77.00
2026-03-17T11:46:00Z,24.00,77.00
2026-03-17T11:47:00Z,25.00,77.00
2026-03-17T11:48:00Z,25.00,77.00
2026-03-17T11:49:00Z,25.00,77.00
2026-03-17T11:50:00Z,25.00,77.00
2026-03-17T11:51:00Z,25.00,77.57
2026-03-17T11:52:00Z,25.00,78.00
2026-03-17T11:53:00Z,22.00,79.00
2026-03-17T11:54:00Z,20.61,82.96
2026-03-17T11:55:00Z,16.50,84.00
2026-03-17T11:56:00Z,21.96,80.01
2026-03-17T11:57:00Z,25.13,76.01
2026-03-17T11:58:00Z,23.59,76.50
2026-03-17T11:59:00Z,16.00,84.00
2026-03-17T12:00:00Z,14.00,85.07
2026-03-17T12:01:00Z,13.00,89.00
2026-03-17T12:02:00Z,12.66,89.00
2026-03-17T12:03:00Z,13.00,89.00
2026-03-17T12:04:00Z,14.00,88.00
2026-03-17T12:05:00Z,14.00,87.00
2026-03-17T12:06:00Z,15.00,87.00
2026-03-17T12:07:00Z,15.00,86.89
2026-03-17T12:08:00Z,18.00,84.00
2026-03-17T12:09:00Z,13.97,87.00
2026-03-17T12:10:00Z,13.97,89.00
2026-03-17T12:11:00Z,11.00,89.00
2026-03-17T12:13:00Z,11.00,90.00
2026-03-17T12:14:00Z,7.26,91.82
2026-03-17T12:15:00Z,7.00,92.82
2026-03-17T12:16:00Z,5.00,93.00
2026-03-17T12:17:00Z,7.20,93.02
2026-03-17T12:18:00Z,6.00,94.00
2026-03-17T12:19:00Z,6.86,94.00
2026-03-17T12:20:00Z,7.90,93.73
2026-03-17T12:21:00Z,7.45,93.28
2026-03-17T12:22:00Z,8.00,93.00
2026-03-17T12:23:00Z,8.00,93.60
2026-03-17T12:24:00Z,8.00,94.00
2026-03-17T12:25:00Z,9.00,93.88
2026-03-17T12:26:00Z,6.94,93.62
2026-03-17T12:27:00Z,7.00,93.07
2026-03-17T12:28:00Z,7.00,93.07
2026-03-17T12:29:00Z,7.00,93.07
2026-03-17T12:30:00Z,7.04,94.98
2026-03-17T12:31:00Z,9.29,92.98
2026-03-17T12:32:00Z,7.43,93.00
2026-03-17T12:33:00Z,7.00,95.00
2026-03-17T12:34:00Z,5.14,96.75
2026-03-17T12:35:00Z,6.30,94.25
2026-03-17T12:36:00Z,8.99,92.17
2026-03-17T12:37:00Z,8.73,93.00
2026-03-17T12:38:00Z,8.35,93.13
2026-03-17T12:39:00Z,9.81,92.85
2026-03-17T12:40:00Z,7.99,93.56
2026-03-17T12:41:00Z,7.00,94.63
2026-03-17T12:42:00Z,4.21,96.37
2026-03-17T12:43:00Z,4.50,95.47
2026-03-17T12:44:00Z,3.67,96.78
2026-03-17T12:45:00Z,4.00,97.00
2026-03-17T12:46:00Z,4.00,95.72
2026-03-17T12:47:00Z,7.42,93.80
2026-03-17T12:48:00Z,8.32,91.33
2026-03-17T12:49:00Z,10.85,89.15
2026-03-17T12:50:00Z,11.00,90.00
2026-03-17T12:51:00Z,10.88,89.96
2026-03-17T12:52:00Z,9.97,91.69
2026-03-17T12:53:00Z,12.29,89.00
2026-03-17T12:54:00Z,11.66,90.99
2026-03-17T12:55:00Z,8.45,92.17
2026-03-17T12:56:00Z,9.03,91.30
2026-03-17T12:57:00Z,9.48,91.00
2026-03-17T12:58:00Z,12.91,89.92
2026-03-17T12:59:00Z,12.89,88.00
2026-03-17T13:00:00Z,14.42,86.37
2026-03-17T13:01:00Z,10.78,90.29
2026-03-17T13:02:00Z,10.73,91.00
2026-03-17T13:03:00Z,9.06,92.00
2026-03-17T13:04:00Z,10.00,91.94
2026-03-17T13:05:00Z,9.95,91.57
2026-03-17T13:06:00Z,9.13,91.36
2026-03-17T13:07:00Z,10.99,88.97
2026-03-17T13:08:00Z,12.68,88.00
2026-03-17T13:09:00Z,12.45,88.75
2026-03-17T13:10:00Z,9.11,89.49
2026-03-17T13:11:00Z,14.82,85.94
2026-03-17T13:12:00Z,10.91,89.85
2026-03-17T13:13:00Z,10.97,90.31
2026-03-17T13:14:00Z,15.24,86.96
2026-03-17T13:15:00Z,14.62,86.16
2026-03-17T13:16:00Z,14.18,85.55
2026-03-17T13:17:00Z,14.54,86.28
2026-03-17T13:18:00Z,11.04,89.41
2026-03-17T13:19:00Z,12.97,88.25
2026-03-17T13:20:00Z,13.25,88.38
2026-03-17T13:21:00Z,9.29,90.99
2026-03-17T13:22:00Z,17.90,83.03
2026-03-17T13:23:00Z,22.28,81.41
2026-03-17T13:24:00Z,12.99,88.46
2026-03-17T13:25:00Z,10.10,91.84
2026-03-17T13:26:00Z,8.51,95.31
2026-03-17T13:27:00Z,5.98,94.64
2026-03-17T13:28:00Z,1.52,98.92
2026-03-17T13:29:00Z,1.52,99.00
2026-03-17T13:30:00Z,1.52,99.00
2026-03-17T13:31:00Z,1.52,99.00
2026-03-17T13:33:00Z,1.52,99.00
