# event_ticker=KXATPCHALLENGERMATCH-26APR15MIGSEY
# final_score=6-0 6-3
# score_resolution=0-6 3-6
# match_winner=Thiago Seyboth Wild
# fav_player=Luis Guto Miguel
# dog_player=Thiago Seyboth Wild
# kalshi_date=2026-04-15
timestamp,Luis Guto Miguel,Thiago Seyboth Wild
2026-04-15T14:52:00Z,,72.00
2026-04-15T15:26:00Z,,72.00
2026-04-15T15:59:00Z,,72.00
2026-04-15T16:04:00Z,,72.00
2026-04-15T16:15:00Z,27.00,72.00
2026-04-15T16:27:00Z,27.00,71.00
2026-04-15T16:29:00Z,27.00,72.00
2026-04-15T17:35:00Z,27.00,72.00
2026-04-15T17:52:00Z,27.00,72.00
2026-04-15T18:26:00Z,27.00,72.00
2026-04-15T18:45:00Z,27.00,72.00
2026-04-15T18:50:00Z,27.00,72.00
2026-04-15T19:02:00Z,27.00,72.00
2026-04-15T19:04:00Z,27.00,70.00
2026-04-15T19:58:00Z,27.00,72.68
2026-04-15T19:59:00Z,27.00,72.00
2026-04-15T20:07:00Z,27.00,73.00
2026-04-15T20:11:00Z,26.00,73.00
2026-04-15T20:34:00Z,27.00,73.00
2026-04-15T20:37:00Z,27.00,72.00
2026-04-15T20:40:00Z,27.00,72.00
2026-04-15T20:46:00Z,28.00,72.00
2026-04-15T20:48:00Z,28.00,72.00
2026-04-15T20:52:00Z,28.00,72.00
2026-04-15T20:56:00Z,28.00,72.00
2026-04-15T20:59:00Z,28.00,72.00
2026-04-15T21:00:00Z,28.00,72.00
2026-04-15T21:02:00Z,28.00,72.00
2026-04-15T21:04:00Z,28.00,72.00
2026-04-15T21:10:00Z,28.00,71.00
2026-04-15T21:11:00Z,28.00,71.00
2026-04-15T21:13:00Z,28.00,71.00
2026-04-15T21:14:00Z,28.00,72.00
2026-04-15T21:15:00Z,28.00,72.00
2026-04-15T21:18:00Z,28.00,72.00
2026-04-15T21:19:00Z,28.00,72.00
2026-04-15T21:20:00Z,28.00,71.00
2026-04-15T21:21:00Z,27.00,71.00
2026-04-15T21:32:00Z,28.00,71.00
2026-04-15T21:46:00Z,28.00,72.00
2026-04-15T21:56:00Z,28.00,72.00
2026-04-15T22:00:00Z,28.00,72.00
2026-04-15T22:03:00Z,28.00,72.00
2026-04-15T22:07:00Z,28.00,71.00
2026-04-15T22:16:00Z,28.00,71.00
2026-04-15T22:17:00Z,29.00,71.00
2026-04-15T22:30:00Z,29.00,72.00
2026-04-15T22:31:00Z,29.00,72.00
2026-04-15T22:32:00Z,29.00,72.00
