# event_ticker=KXATPCHALLENGERMATCH-26JUN02SQUPOL
# final_score=6-0 7-5
# score_resolution=0-6 5-7
# match_winner=Henri Squire
# fav_player=Marc Polmans
# dog_player=Henri Squire
# kalshi_date=2026-06-02
timestamp,Henri Squire,Marc Polmans
2026-06-01T23:44:00Z,,19.00
2026-06-02T01:17:00Z,85.00,19.00
2026-06-02T02:53:00Z,85.00,18.00
2026-06-02T03:02:00Z,85.00,18.00
2026-06-02T03:31:00Z,85.00,18.00
2026-06-02T04:30:00Z,85.00,18.00
2026-06-02T04:47:00Z,85.00,18.00
2026-06-02T05:04:00Z,84.00,18.00
2026-06-02T05:05:00Z,84.00,16.00
2026-06-02T05:38:00Z,84.00,16.00
2026-06-02T06:23:00Z,84.00,16.00
2026-06-02T06:58:00Z,85.00,16.00
2026-06-02T08:43:00Z,85.00,18.00
2026-06-02T08:47:00Z,85.00,18.00
2026-06-02T09:58:00Z,85.00,18.00
2026-06-02T10:19:00Z,85.00,18.00
2026-06-02T10:42:00Z,85.00,17.00
2026-06-02T11:07:00Z,85.00,18.00
2026-06-02T11:09:00Z,84.83,18.00
2026-06-02T11:10:00Z,84.83,15.70
2026-06-02T11:11:00Z,88.91,14.85
2026-06-02T11:12:00Z,88.00,13.82
2026-06-02T11:13:00Z,90.00,12.00
2026-06-02T11:14:00Z,90.00,11.87
2026-06-02T11:15:00Z,90.00,11.87
2026-06-02T11:16:00Z,92.00,8.00
2026-06-02T11:17:00Z,92.00,6.92
2026-06-02T11:18:00Z,93.33,5.00
2026-06-02T11:19:00Z,93.33,6.00
2026-06-02T11:21:00Z,93.33,5.00
2026-06-02T11:22:00Z,93.33,5.00
2026-06-02T11:23:00Z,93.33,5.00
2026-06-02T11:25:00Z,96.00,4.00
2026-06-02T11:28:00Z,97.00,4.00
2026-06-02T11:30:00Z,97.00,4.00
2026-06-02T11:31:00Z,97.00,4.00
2026-06-02T11:33:00Z,97.00,4.00
2026-06-02T11:35:00Z,97.00,3.40
2026-06-02T11:36:00Z,98.00,2.00
2026-06-02T11:38:00Z,98.00,2.00
2026-06-02T11:39:00Z,98.00,3.00
2026-06-02T11:40:00Z,98.00,2.50
2026-06-02T11:41:00Z,99.00,2.00
2026-06-02T11:42:00Z,98.00,2.00
2026-06-02T11:43:00Z,98.00,2.00
2026-06-02T11:44:00Z,99.00,2.00
2026-06-02T11:46:00Z,98.00,2.00
2026-06-02T11:47:00Z,98.00,2.00
2026-06-02T11:48:00Z,97.00,3.00
2026-06-02T11:49:00Z,94.19,6.08
2026-06-02T11:50:00Z,93.00,7.00
2026-06-02T11:51:00Z,92.00,8.96
2026-06-02T11:52:00Z,92.00,9.00
2026-06-02T11:53:00Z,92.00,8.74
2026-06-02T11:54:00Z,93.79,6.00
2026-06-02T11:55:00Z,94.95,6.92
2026-06-02T11:56:00Z,94.95,5.48
2026-06-02T11:57:00Z,96.78,3.40
2026-06-02T11:58:00Z,98.18,4.78
2026-06-02T11:59:00Z,95.00,5.88
2026-06-02T12:00:00Z,95.00,5.04
2026-06-02T12:01:00Z,93.00,5.04
2026-06-02T12:02:00Z,94.15,6.00
2026-06-02T12:03:00Z,91.54,7.21
2026-06-02T12:04:00Z,92.00,9.00
2026-06-02T12:05:00Z,89.94,11.50
2026-06-02T12:06:00Z,88.49,11.37
2026-06-02T12:07:00Z,87.60,14.78
2026-06-02T12:08:00Z,90.00,9.00
2026-06-02T12:09:00Z,91.92,8.67
2026-06-02T12:10:00Z,95.00,4.00
2026-06-02T12:11:00Z,95.00,5.69
2026-06-02T12:12:00Z,94.04,7.00
2026-06-02T12:13:00Z,93.09,5.64
2026-06-02T12:14:00Z,91.99,9.57
2026-06-02T12:15:00Z,92.00,8.00
2026-06-02T12:16:00Z,94.79,5.00
2026-06-02T12:17:00Z,94.06,6.00
2026-06-02T12:18:00Z,94.84,6.00
2026-06-02T12:19:00Z,91.26,7.40
2026-06-02T12:20:00Z,90.00,7.40
2026-06-02T12:21:00Z,90.00,12.00
2026-06-02T12:22:00Z,90.54,8.75
2026-06-02T12:23:00Z,92.00,8.00
2026-06-02T12:24:00Z,92.00,9.00
2026-06-02T12:25:00Z,91.99,9.00
2026-06-02T12:26:00Z,94.02,6.01
2026-06-02T12:27:00Z,95.47,6.71
2026-06-02T12:28:00Z,96.01,4.35
2026-06-02T12:29:00Z,98.00,2.94
2026-06-02T12:30:00Z,98.52,2.06
2026-06-02T12:31:00Z,98.54,2.99
2026-06-02T12:32:00Z,96.25,3.58
2026-06-02T12:33:00Z,95.60,5.17
2026-06-02T12:34:00Z,96.92,2.32
2026-06-02T12:35:00Z,98.88,1.00
2026-06-02T12:39:00Z,98.88,1.00
2026-06-02T12:41:00Z,99.00,1.00
