# event_ticker=KXATPMATCH-25JUL29BORBAG
# final_score=5-7 7-6(3) 6-2
# score_resolution=7-5 6-7 2-6
# match_winner=Nuno Borges
# fav_player=Facundo Bagnis
# dog_player=Nuno Borges
# kalshi_date=2025-07-29
timestamp,Facundo Bagnis,Nuno Borges
2025-07-29T12:35:00Z,18.00,
2025-07-29T12:48:00Z,18.00,80.85
2025-07-29T14:21:00Z,18.00,81.00
2025-07-29T14:45:00Z,18.00,85.00
2025-07-29T15:02:00Z,16.00,85.00
2025-07-29T15:21:00Z,16.00,85.00
2025-07-29T16:34:00Z,16.86,85.00
2025-07-29T16:36:00Z,16.00,85.00
2025-07-29T17:05:00Z,16.00,85.00
2025-07-29T17:27:00Z,16.00,85.00
2025-07-29T17:52:00Z,16.00,83.00
2025-07-29T17:57:00Z,16.00,83.00
2025-07-29T18:09:00Z,16.00,84.00
2025-07-29T18:10:00Z,16.00,84.00
2025-07-29T18:13:00Z,16.00,84.00
2025-07-29T18:27:00Z,16.00,84.00
2025-07-29T18:43:00Z,16.00,84.00
2025-07-29T18:53:00Z,16.00,84.00
2025-07-29T19:17:00Z,16.00,84.00
2025-07-29T19:21:00Z,17.00,84.00
2025-07-29T19:23:00Z,17.00,84.00
2025-07-29T19:25:00Z,17.00,84.00
2025-07-29T19:36:00Z,17.00,84.00
2025-07-29T19:42:00Z,17.00,84.00
2025-07-29T19:46:00Z,17.00,84.00
2025-07-29T19:51:00Z,17.00,84.00
2025-07-29T19:55:00Z,17.00,84.00
2025-07-29T19:57:00Z,17.00,84.00
2025-07-29T20:02:00Z,17.45,84.00
2025-07-29T20:03:00Z,18.00,84.00
2025-07-29T20:04:00Z,18.00,83.00
2025-07-29T20:05:00Z,18.00,83.00
2025-07-29T20:06:00Z,18.00,83.00
2025-07-29T20:07:00Z,18.00,83.00
2025-07-29T20:10:00Z,18.00,83.00
2025-07-29T20:11:00Z,18.00,83.00
2025-07-29T20:13:00Z,19.00,83.00
2025-07-29T20:20:00Z,18.00,83.00
