# event_ticker=KXATPCHALLENGERMATCH-26APR21VAVMRV
# final_score=7-6(4) 6-7(4) 6-3
# score_resolution=7-6 6-7 6-3
# match_winner=Andrea Vavassori
# fav_player=Andrea Vavassori
# dog_player=Maxim Mrva
# kalshi_date=2026-04-21
timestamp,Andrea Vavassori,Maxim Mrva
2026-04-21T02:59:00Z,63.00,
2026-04-21T06:01:00Z,62.00,
2026-04-21T09:23:00Z,61.00,41.00
2026-04-21T09:53:00Z,62.00,41.00
2026-04-21T10:37:00Z,62.00,41.00
2026-04-21T10:43:00Z,62.00,41.00
2026-04-21T11:23:00Z,61.00,42.81
2026-04-21T11:57:00Z,60.00,42.81
2026-04-21T12:30:00Z,60.00,42.00
2026-04-21T12:42:00Z,60.00,42.00
2026-04-21T13:12:00Z,60.00,42.00
2026-04-21T13:51:00Z,60.00,42.00
2026-04-21T14:01:00Z,58.00,42.00
2026-04-21T14:14:00Z,60.14,42.00
2026-04-21T14:19:00Z,60.14,42.00
2026-04-21T14:20:00Z,60.14,40.00
2026-04-21T14:35:00Z,61.00,40.00
2026-04-21T14:38:00Z,61.00,41.94
2026-04-21T14:41:00Z,61.00,40.00
2026-04-21T14:43:00Z,62.91,40.00
2026-04-21T14:44:00Z,61.00,40.00
2026-04-21T14:45:00Z,61.00,40.00
2026-04-21T14:49:00Z,59.00,40.00
2026-04-21T14:50:00Z,56.00,45.00
2026-04-21T14:51:00Z,52.00,48.20
2026-04-21T14:52:00Z,48.95,52.00
2026-04-21T14:53:00Z,48.95,56.71
2026-04-21T14:54:00Z,42.00,57.00
2026-04-21T14:55:00Z,43.00,57.00
2026-04-21T14:56:00Z,45.00,55.00
2026-04-21T14:57:00Z,45.00,55.00
2026-04-21T14:58:00Z,51.14,47.51
2026-04-21T14:59:00Z,50.34,46.55
2026-04-21T15:00:00Z,52.81,45.22
2026-04-21T15:01:00Z,59.84,39.60
2026-04-21T15:02:00Z,62.99,39.60
2026-04-21T15:03:00Z,62.30,37.59
2026-04-21T15:04:00Z,64.00,37.00
2026-04-21T15:05:00Z,59.02,40.14
2026-04-21T15:06:00Z,61.43,38.81
2026-04-21T15:07:00Z,63.99,38.81
2026-04-21T15:08:00Z,66.06,33.12
2026-04-21T15:09:00Z,64.81,35.70
2026-04-21T15:10:00Z,63.09,37.07
2026-04-21T15:11:00Z,63.09,45.48
2026-04-21T15:12:00Z,61.77,45.48
2026-04-21T15:13:00Z,63.00,38.00
2026-04-21T15:14:00Z,63.33,38.00
2026-04-21T15:15:00Z,65.37,37.00
2026-04-21T15:16:00Z,60.19,35.94
2026-04-21T15:17:00Z,54.00,42.81
2026-04-21T15:18:00Z,56.99,49.00
2026-04-21T15:19:00Z,62.24,36.12
