# event_ticker=KXATPCHALLENGERMATCH-26FEB24DUTCOL
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Daniel Dutra da Silva
# fav_player=Andrea Collarini
# dog_player=Daniel Dutra Da Silva
# kalshi_date=2026-02-24
timestamp,Andrea Collarini,Daniel Dutra Da Silva
2026-02-24T01:33:00Z,61.00,45.00
2026-02-24T05:07:00Z,67.00,45.00
2026-02-24T05:11:00Z,61.00,45.00
2026-02-24T06:21:00Z,66.14,45.00
2026-02-24T06:36:00Z,67.00,45.00
2026-02-24T08:23:00Z,67.00,64.67
2026-02-24T11:12:00Z,67.00,64.67
2026-02-24T11:20:00Z,68.00,64.67
2026-02-24T11:53:00Z,69.00,64.67
2026-02-24T12:51:00Z,73.00,64.67
2026-02-24T12:56:00Z,73.00,32.00
2026-02-24T12:58:00Z,73.00,32.00
2026-02-24T13:06:00Z,82.52,32.00
2026-02-24T13:07:00Z,69.17,33.00
2026-02-24T13:08:00Z,69.00,34.00
2026-02-24T13:09:00Z,69.00,34.00
2026-02-24T13:11:00Z,69.00,34.00
2026-02-24T13:12:00Z,69.00,33.96
2026-02-24T13:14:00Z,69.00,27.98
2026-02-24T13:15:00Z,69.00,21.00
2026-02-24T13:16:00Z,87.00,20.00
2026-02-24T13:17:00Z,87.00,19.25
2026-02-24T13:18:00Z,83.33,27.00
2026-02-24T13:19:00Z,83.33,27.00
2026-02-24T13:20:00Z,73.00,32.23
2026-02-24T13:21:00Z,73.00,31.83
2026-02-24T13:22:00Z,68.98,32.19
2026-02-24T13:23:00Z,68.98,37.29
2026-02-24T13:24:00Z,68.98,38.00
2026-02-24T13:25:00Z,66.13,35.87
2026-02-24T13:26:00Z,67.38,29.06
2026-02-24T13:27:00Z,67.38,32.00
2026-02-24T13:28:00Z,67.38,30.97
2026-02-24T13:29:00Z,65.00,37.00
2026-02-24T13:30:00Z,65.00,38.00
2026-02-24T13:31:00Z,64.23,40.77
2026-02-24T13:32:00Z,55.00,43.11
2026-02-24T13:33:00Z,61.00,49.00
2026-02-24T13:34:00Z,61.00,44.00
2026-02-24T13:35:00Z,70.45,35.81
2026-02-24T13:36:00Z,70.45,29.62
2026-02-24T13:37:00Z,69.00,37.00
2026-02-24T13:38:00Z,69.00,31.00
2026-02-24T13:39:00Z,68.45,34.22
2026-02-24T13:40:00Z,68.00,32.29
2026-02-24T13:41:00Z,70.00,32.34
2026-02-24T13:42:00Z,64.00,28.00
2026-02-24T13:43:00Z,64.00,37.87
2026-02-24T13:44:00Z,61.71,38.88
2026-02-24T13:45:00Z,61.71,32.25
2026-02-24T13:46:00Z,61.71,30.00
2026-02-24T13:47:00Z,73.00,28.13
2026-02-24T13:48:00Z,73.13,28.93
2026-02-24T13:49:00Z,66.28,35.78
2026-02-24T13:50:00Z,64.23,40.01
2026-02-24T13:51:00Z,66.80,36.15
2026-02-24T13:52:00Z,65.00,41.25
2026-02-24T13:53:00Z,64.04,40.85
2026-02-24T13:54:00Z,52.96,53.10
2026-02-24T13:55:00Z,54.76,48.82
2026-02-24T13:56:00Z,41.65,57.13
2026-02-24T13:57:00Z,37.08,63.07
2026-02-24T13:58:00Z,37.76,63.86
2026-02-24T13:59:00Z,38.51,63.56
2026-02-24T14:00:00Z,38.81,65.00
2026-02-24T14:01:00Z,40.11,63.05
2026-02-24T14:02:00Z,41.13,62.00
2026-02-24T14:03:00Z,41.74,61.06
2026-02-24T14:04:00Z,38.08,63.94
2026-02-24T14:05:00Z,39.03,65.90
2026-02-24T14:06:00Z,36.57,66.03
2026-02-24T14:07:00Z,39.85,62.80
2026-02-24T14:08:00Z,37.29,64.47
2026-02-24T14:09:00Z,34.06,73.36
2026-02-24T14:10:00Z,23.09,84.95
2026-02-24T14:11:00Z,16.46,86.51
2026-02-24T14:12:00Z,11.66,89.03
2026-02-24T14:13:00Z,9.14,92.93
2026-02-24T14:14:00Z,10.13,89.20
2026-02-24T14:15:00Z,11.79,89.49
2026-02-24T14:16:00Z,11.63,89.32
2026-02-24T14:17:00Z,8.63,94.24
2026-02-24T14:18:00Z,6.32,94.60
2026-02-24T14:19:00Z,9.05,90.68
2026-02-24T14:20:00Z,8.26,93.45
2026-02-24T14:21:00Z,3.82,98.48
2026-02-24T14:22:00Z,4.19,97.12
2026-02-24T14:23:00Z,3.46,96.49
2026-02-24T14:24:00Z,4.15,96.04
2026-02-24T14:25:00Z,4.10,97.11
2026-02-24T14:26:00Z,1.02,98.82
2026-02-24T14:27:00Z,2.84,95.01
2026-02-24T14:28:00Z,2.30,98.88
2026-02-24T14:29:00Z,4.00,95.71
2026-02-24T14:30:00Z,6.00,95.13
2026-02-24T14:31:00Z,4.54,96.39
2026-02-24T14:32:00Z,8.09,92.84
2026-02-24T14:33:00Z,7.53,93.02
2026-02-24T14:34:00Z,8.28,94.45
2026-02-24T14:35:00Z,3.98,97.61
2026-02-24T14:36:00Z,6.04,96.47
2026-02-24T14:37:00Z,9.20,91.80
2026-02-24T14:38:00Z,9.65,94.38
2026-02-24T14:39:00Z,9.41,91.15
2026-02-24T14:40:00Z,9.00,93.25
2026-02-24T14:41:00Z,9.97,92.03
2026-02-24T14:42:00Z,7.20,92.71
2026-02-24T14:43:00Z,5.26,95.54
2026-02-24T14:44:00Z,4.04,97.12
2026-02-24T14:45:00Z,3.96,97.61
2026-02-24T14:46:00Z,3.00,97.52
2026-02-24T14:47:00Z,3.56,96.16
2026-02-24T14:48:00Z,5.17,94.96
2026-02-24T14:49:00Z,6.72,95.48
2026-02-24T14:50:00Z,5.79,96.01
2026-02-24T14:51:00Z,3.76,96.20
2026-02-24T14:52:00Z,5.34,96.32
2026-02-24T14:53:00Z,4.78,97.55
2026-02-24T14:54:00Z,2.57,98.97
2026-02-24T14:55:00Z,2.57,99.00
2026-02-24T14:56:00Z,2.57,99.00
2026-02-24T14:57:00Z,2.57,99.00
2026-02-24T14:58:00Z,2.57,99.00
2026-02-24T14:59:00Z,2.57,99.00
2026-02-24T15:00:00Z,2.57,99.00
2026-02-24T15:01:00Z,2.57,99.00
2026-02-24T15:02:00Z,2.57,99.00
