# event_ticker=KXATPCHALLENGERMATCH-26MAY18DHAKRU
# final_score=3-6 6-4 7-6(8)
# score_resolution=3-6 6-4 7-6
# match_winner=Manas Dhamne
# fav_player=Manas Dhamne
# dog_player=Mitchell Krueger
# kalshi_date=2026-05-18
timestamp,Manas Dhamne,Mitchell Krueger
2026-05-18T05:55:00Z,41.00,62.37
2026-05-18T06:00:00Z,41.00,63.00
2026-05-18T07:16:00Z,44.00,63.00
2026-05-18T07:45:00Z,45.00,63.00
2026-05-18T11:34:00Z,45.00,56.00
2026-05-18T13:20:00Z,45.00,55.00
2026-05-18T13:38:00Z,45.00,55.00
2026-05-18T13:54:00Z,45.00,55.00
2026-05-18T14:32:00Z,45.00,56.00
2026-05-18T14:55:00Z,45.00,56.00
2026-05-18T15:09:00Z,45.00,56.00
2026-05-18T15:36:00Z,45.00,56.00
2026-05-18T15:38:00Z,45.00,55.00
2026-05-18T15:39:00Z,45.00,55.41
2026-05-18T15:41:00Z,45.00,57.00
2026-05-18T15:42:00Z,45.00,57.00
2026-05-18T15:51:00Z,45.00,57.00
2026-05-18T15:54:00Z,45.00,57.00
2026-05-18T15:55:00Z,45.00,57.96
2026-05-18T15:59:00Z,45.00,57.00
2026-05-18T16:00:00Z,45.00,57.00
2026-05-18T16:01:00Z,45.00,57.00
2026-05-18T16:04:00Z,45.00,56.00
2026-05-18T16:06:00Z,45.00,56.00
2026-05-18T16:08:00Z,45.00,57.38
2026-05-18T16:09:00Z,48.00,57.38
2026-05-18T16:10:00Z,44.00,59.06
2026-05-18T16:13:00Z,43.00,57.79
2026-05-18T16:14:00Z,43.00,58.39
2026-05-18T16:15:00Z,40.07,59.35
2026-05-18T16:16:00Z,40.07,61.00
2026-05-18T16:17:00Z,40.00,62.00
2026-05-18T16:18:00Z,38.06,62.38
2026-05-18T16:19:00Z,39.90,58.52
2026-05-18T16:20:00Z,39.00,61.87
2026-05-18T16:21:00Z,40.94,59.74
2026-05-18T16:22:00Z,40.94,58.80
2026-05-18T16:23:00Z,40.94,60.94
2026-05-18T16:24:00Z,40.94,61.00
2026-05-18T16:25:00Z,40.94,61.01
2026-05-18T16:26:00Z,40.94,67.47
2026-05-18T16:27:00Z,40.94,70.63
2026-05-18T16:28:00Z,40.94,72.73
2026-05-18T16:29:00Z,25.97,76.52
2026-05-18T16:30:00Z,25.00,77.64
2026-05-18T16:32:00Z,25.00,79.00
2026-05-18T16:33:00Z,25.00,77.00
