# event_ticker=KXATPMATCH-26APR13NAVSHE
# final_score=7-6(4) 3-6 6-3
# score_resolution=6-7 6-3 3-6
# match_winner=Ben Shelton
# fav_player=Emilio Nava
# dog_player=Ben Shelton
# kalshi_date=2026-04-13
timestamp,Emilio Nava,Ben Shelton
2026-04-13T01:01:00Z,,74.00
2026-04-13T01:02:00Z,27.00,75.00
2026-04-13T01:03:00Z,27.00,75.00
2026-04-13T01:07:00Z,27.00,74.26
2026-04-13T01:08:00Z,27.00,74.00
2026-04-13T01:12:00Z,27.00,74.00
2026-04-13T01:14:00Z,27.00,74.00
2026-04-13T01:16:00Z,27.00,74.00
2026-04-13T01:25:00Z,27.00,74.00
2026-04-13T01:28:00Z,27.00,74.00
2026-04-13T01:32:00Z,27.00,74.00
2026-04-13T01:34:00Z,27.00,74.00
2026-04-13T01:35:00Z,27.00,74.00
2026-04-13T01:37:00Z,27.00,74.00
2026-04-13T01:39:00Z,27.00,74.00
2026-04-13T01:41:00Z,27.00,74.00
2026-04-13T01:43:00Z,27.00,74.00
2026-04-13T01:47:00Z,27.00,74.00
2026-04-13T01:50:00Z,27.00,74.00
2026-04-13T01:52:00Z,27.00,74.00
2026-04-13T01:53:00Z,27.00,75.00
2026-04-13T01:56:00Z,27.00,75.00
2026-04-13T01:57:00Z,27.00,75.00
2026-04-13T01:59:00Z,27.00,75.00
2026-04-13T02:03:00Z,27.00,75.00
2026-04-13T02:05:00Z,27.00,75.00
2026-04-13T02:07:00Z,27.00,75.00
2026-04-13T02:11:00Z,27.00,75.00
2026-04-13T02:13:00Z,27.00,75.00
2026-04-13T02:15:00Z,27.00,75.00
2026-04-13T02:25:00Z,27.00,75.00
2026-04-13T02:30:00Z,27.00,75.00
2026-04-13T02:41:00Z,27.00,75.00
2026-04-13T02:44:00Z,27.00,75.00
2026-04-13T02:45:00Z,27.00,75.00
2026-04-13T02:50:00Z,27.00,75.00
2026-04-13T02:52:00Z,27.00,76.00
2026-04-13T02:54:00Z,26.00,76.00
2026-04-13T02:57:00Z,26.00,75.07
2026-04-13T02:58:00Z,26.00,76.00
2026-04-13T03:00:00Z,26.00,76.00
2026-04-13T03:01:00Z,26.00,76.00
2026-04-13T03:03:00Z,26.00,76.00
2026-04-13T03:05:00Z,26.00,76.00
2026-04-13T03:07:00Z,26.00,76.00
2026-04-13T03:08:00Z,26.00,76.00
2026-04-13T03:09:00Z,26.00,76.00
