# event_ticker=KXATPMATCH-25SEP26MOUGRI
# final_score=6-4 7-5
# match_winner=Corentin Moutet
# fav_player=Corentin Moutet
# dog_player=Tallon Griekspoor
# kalshi_date=2025-09-26
timestamp,Corentin Moutet,Tallon Griekspoor
2025-09-25T22:13:00Z,,45.00
2025-09-25T22:18:00Z,57.00,45.00
2025-09-25T23:44:00Z,56.00,45.00
2025-09-26T00:32:00Z,56.00,45.00
2025-09-26T00:33:00Z,56.00,45.00
2025-09-26T00:37:00Z,56.00,45.00
2025-09-26T00:38:00Z,56.00,45.00
2025-09-26T01:11:00Z,56.00,45.00
2025-09-26T01:29:00Z,55.00,45.00
2025-09-26T01:42:00Z,55.00,45.00
2025-09-26T01:59:00Z,55.00,45.00
2025-09-26T02:05:00Z,55.00,45.00
2025-09-26T02:08:00Z,55.00,45.00
2025-09-26T02:19:00Z,56.00,45.00
2025-09-26T02:20:00Z,56.48,45.00
2025-09-26T02:31:00Z,56.00,45.00
2025-09-26T02:44:00Z,57.00,45.00
2025-09-26T02:45:00Z,57.00,45.00
2025-09-26T03:09:00Z,57.00,45.00
2025-09-26T03:23:00Z,57.00,45.00
2025-09-26T03:30:00Z,57.00,45.00
2025-09-26T03:32:00Z,57.00,45.00
2025-09-26T03:40:00Z,57.00,45.00
2025-09-26T03:53:00Z,57.00,45.00
2025-09-26T04:05:00Z,57.00,45.00
2025-09-26T04:06:00Z,57.00,45.00
2025-09-26T04:13:00Z,57.00,45.00
2025-09-26T04:47:00Z,57.00,45.00
2025-09-26T04:48:00Z,57.00,45.00
2025-09-26T04:56:00Z,57.00,45.00
2025-09-26T05:13:00Z,56.00,45.00
2025-09-26T05:26:00Z,57.00,45.00
2025-09-26T05:34:00Z,56.00,45.00
2025-09-26T05:35:00Z,56.00,45.00
2025-09-26T05:44:00Z,56.00,45.00
2025-09-26T05:48:00Z,56.00,45.00
2025-09-26T05:49:00Z,56.00,45.00
2025-09-26T05:54:00Z,56.00,45.00
2025-09-26T06:08:00Z,56.00,45.00
2025-09-26T06:15:00Z,56.00,45.00
2025-09-26T06:18:00Z,56.00,45.00
2025-09-26T06:22:00Z,56.00,45.00
2025-09-26T06:28:00Z,56.00,45.00
