# event_ticker=KXATPMATCH-26FEB26TIABEL
# final_score=6-3 6-4
# match_winner=Frances Tiafoe
# fav_player=Frances Tiafoe
# dog_player=Mattia Bellucci
# kalshi_date=2026-02-26
timestamp,Frances Tiafoe,Mattia Bellucci
2026-02-26T14:22:00Z,67.00,
2026-02-26T14:27:00Z,66.87,
2026-02-26T14:31:00Z,66.00,
2026-02-26T14:32:00Z,67.00,
2026-02-26T14:33:00Z,67.00,
2026-02-26T14:35:00Z,67.00,34.00
2026-02-26T14:38:00Z,67.00,34.00
2026-02-26T14:40:00Z,67.00,34.00
2026-02-26T14:41:00Z,67.00,34.00
2026-02-26T14:43:00Z,67.02,34.00
2026-02-26T14:44:00Z,68.00,34.00
2026-02-26T14:48:00Z,68.00,34.00
2026-02-26T14:50:00Z,68.00,34.00
2026-02-26T14:52:00Z,68.00,34.00
2026-02-26T15:02:00Z,68.00,34.00
2026-02-26T15:10:00Z,68.00,34.00
2026-02-26T15:17:00Z,68.00,34.00
2026-02-26T15:21:00Z,68.00,33.00
2026-02-26T15:22:00Z,68.00,33.00
2026-02-26T15:23:00Z,68.00,33.00
2026-02-26T15:26:00Z,68.00,33.00
2026-02-26T15:28:00Z,68.00,34.00
2026-02-26T15:39:00Z,68.00,34.00
2026-02-26T15:44:00Z,68.00,34.00
2026-02-26T15:46:00Z,68.00,34.00
2026-02-26T15:47:00Z,68.00,34.00
2026-02-26T15:48:00Z,68.00,34.00
2026-02-26T15:50:00Z,68.00,34.00
2026-02-26T15:51:00Z,68.00,34.00
2026-02-26T15:53:00Z,68.00,34.00
2026-02-26T15:59:00Z,68.00,34.00
2026-02-26T16:00:00Z,68.00,34.00
2026-02-26T16:01:00Z,68.00,34.00
2026-02-26T16:05:00Z,68.00,33.00
2026-02-26T16:07:00Z,68.00,33.00
2026-02-26T16:09:00Z,68.00,33.00
2026-02-26T16:10:00Z,68.00,35.00
2026-02-26T16:13:00Z,68.00,35.00
2026-02-26T16:14:00Z,68.00,35.00
2026-02-26T16:19:00Z,68.00,35.00
2026-02-26T16:21:00Z,68.00,35.00
2026-02-26T16:22:00Z,69.00,35.00
2026-02-26T16:23:00Z,69.00,35.00
2026-02-26T16:27:00Z,69.00,35.00
2026-02-26T16:32:00Z,68.00,35.00
2026-02-26T16:34:00Z,68.00,32.00
2026-02-26T16:35:00Z,68.00,34.00
2026-02-26T16:36:00Z,68.00,34.00
2026-02-26T16:37:00Z,67.00,34.00
2026-02-26T16:44:00Z,68.00,34.00
2026-02-26T16:50:00Z,68.00,34.00
2026-02-26T16:51:00Z,68.00,34.32
2026-02-26T16:52:00Z,68.00,34.32
2026-02-26T16:53:00Z,68.00,34.32
2026-02-26T16:55:00Z,68.00,34.32
2026-02-26T16:59:00Z,68.00,34.32
2026-02-26T17:01:00Z,68.00,34.32
2026-02-26T17:02:00Z,68.00,34.32
2026-02-26T17:05:00Z,68.00,34.32
2026-02-26T17:06:00Z,68.00,34.32
2026-02-26T17:08:00Z,68.00,34.32
2026-02-26T17:12:00Z,68.00,34.32
2026-02-26T17:13:00Z,68.00,34.32
2026-02-26T17:15:00Z,68.00,34.32
2026-02-26T17:16:00Z,68.00,33.00
2026-02-26T17:18:00Z,68.00,33.00
2026-02-26T17:20:00Z,68.00,33.00
2026-02-26T17:21:00Z,68.00,33.00
2026-02-26T17:25:00Z,68.00,33.00
2026-02-26T17:27:00Z,68.00,33.00
2026-02-26T17:28:00Z,68.00,33.22
2026-02-26T17:33:00Z,67.33,33.22
2026-02-26T17:34:00Z,68.00,34.00
2026-02-26T17:40:00Z,68.00,34.00
2026-02-26T17:43:00Z,67.00,34.00
2026-02-26T17:46:00Z,67.00,34.00
2026-02-26T17:50:00Z,67.00,34.00
2026-02-26T17:51:00Z,67.00,34.00
