# event_ticker=KXATPMATCH-25AUG08UGONIS
# final_score=7-5 6-3
# match_winner=Camilo Ugo Carabelli
# fav_player=Camilo Ugo Carabelli
# dog_player=Kei Nishikori
# kalshi_date=2025-08-08
timestamp,Camilo Ugo Carabelli,Kei Nishikori
2025-08-08T05:20:00Z,,74.00
2025-08-08T05:24:00Z,,73.00
2025-08-08T05:30:00Z,,74.00
2025-08-08T05:34:00Z,39.00,74.00
2025-08-08T05:37:00Z,41.00,64.00
2025-08-08T05:42:00Z,41.00,71.00
2025-08-08T05:43:00Z,41.00,71.00
2025-08-08T05:48:00Z,41.00,64.00
2025-08-08T05:50:00Z,37.00,64.00
2025-08-08T05:54:00Z,37.00,64.00
2025-08-08T06:00:00Z,37.00,64.00
2025-08-08T06:03:00Z,37.45,64.00
2025-08-08T06:05:00Z,37.45,64.00
2025-08-08T06:40:00Z,37.45,64.00
2025-08-08T06:51:00Z,37.00,64.00
2025-08-08T06:58:00Z,37.00,63.00
2025-08-08T07:26:00Z,39.00,63.00
2025-08-08T07:32:00Z,39.00,63.00
2025-08-08T07:38:00Z,39.00,63.00
2025-08-08T07:44:00Z,39.00,63.00
2025-08-08T07:55:00Z,39.00,64.00
2025-08-08T08:19:00Z,39.00,64.00
2025-08-08T08:34:00Z,39.00,64.00
2025-08-08T08:37:00Z,39.00,64.00
2025-08-08T08:38:00Z,39.00,59.00
2025-08-08T08:40:00Z,39.00,64.00
2025-08-08T08:45:00Z,39.00,64.00
2025-08-08T08:46:00Z,38.00,64.00
2025-08-08T09:05:00Z,38.00,59.00
2025-08-08T09:22:00Z,38.45,59.00
2025-08-08T10:17:00Z,33.00,59.00
2025-08-08T10:20:00Z,39.00,59.00
2025-08-08T10:44:00Z,39.82,59.00
2025-08-08T10:47:00Z,41.00,59.00
2025-08-08T10:57:00Z,41.00,63.76
2025-08-08T11:27:00Z,41.00,63.76
2025-08-08T11:35:00Z,40.00,63.76
2025-08-08T11:41:00Z,40.00,65.00
2025-08-08T11:51:00Z,40.00,65.00
2025-08-08T12:04:00Z,40.00,65.00
2025-08-08T12:18:00Z,38.00,65.00
