# event_ticker=KXATPCHALLENGERMATCH-26APR03MENSCH
# final_score=2-6 6-2 7-6(2)
# score_resolution=2-6 6-2 7-6
# match_winner=Tristan Schoolkate
# fav_player=Tristan Schoolkate
# dog_player=Facundo Mena
# kalshi_date=2026-04-03
timestamp,Tristan Schoolkate,Facundo Mena
2026-04-03T09:55:00Z,,59.00
2026-04-03T10:13:00Z,,60.00
2026-04-03T11:09:00Z,,59.00
2026-04-03T11:30:00Z,43.00,59.00
2026-04-03T11:35:00Z,43.00,59.00
2026-04-03T11:50:00Z,43.00,58.68
2026-04-03T13:07:00Z,43.00,59.00
2026-04-03T13:09:00Z,43.00,59.00
2026-04-03T13:13:00Z,43.00,59.00
2026-04-03T13:18:00Z,43.00,58.25
2026-04-03T13:38:00Z,43.00,59.00
2026-04-03T13:44:00Z,43.00,59.00
2026-04-03T13:56:00Z,43.00,59.00
2026-04-03T14:01:00Z,43.00,59.00
2026-04-03T14:07:00Z,43.00,59.00
2026-04-03T14:10:00Z,43.00,59.00
2026-04-03T14:12:00Z,43.00,59.00
2026-04-03T14:34:00Z,43.00,59.00
2026-04-03T14:37:00Z,43.00,59.00
2026-04-03T14:56:00Z,42.00,59.00
2026-04-03T15:06:00Z,42.00,59.00
2026-04-03T15:22:00Z,42.00,58.00
2026-04-03T15:45:00Z,42.00,58.00
2026-04-03T16:32:00Z,44.00,58.00
2026-04-03T16:35:00Z,44.00,58.00
2026-04-03T16:37:00Z,44.00,57.00
2026-04-03T16:51:00Z,44.00,57.00
2026-04-03T16:56:00Z,44.00,57.00
2026-04-03T16:59:00Z,44.00,57.00
2026-04-03T17:12:00Z,44.00,58.00
2026-04-03T17:21:00Z,44.00,58.00
2026-04-03T17:25:00Z,44.00,58.00
2026-04-03T17:37:00Z,44.00,58.00
2026-04-03T18:46:00Z,44.00,58.00
2026-04-03T18:48:00Z,44.00,57.00
2026-04-03T18:59:00Z,44.00,57.00
2026-04-03T19:07:00Z,44.00,57.00
2026-04-03T19:20:00Z,44.00,57.00
2026-04-03T19:26:00Z,43.00,58.00
2026-04-03T19:27:00Z,42.00,58.00
2026-04-03T19:42:00Z,44.00,58.00
2026-04-03T19:48:00Z,44.00,58.00
2026-04-03T19:49:00Z,44.00,58.00
2026-04-03T19:51:00Z,44.00,58.00
2026-04-03T20:03:00Z,44.00,58.00
2026-04-03T20:05:00Z,44.00,57.00
2026-04-03T20:09:00Z,44.00,57.00
2026-04-03T20:35:00Z,44.00,57.67
2026-04-03T20:40:00Z,44.00,58.00
2026-04-03T20:49:00Z,44.00,58.16
2026-04-03T20:50:00Z,44.00,59.00
2026-04-03T20:54:00Z,44.00,59.00
2026-04-03T20:56:00Z,44.00,59.00
2026-04-03T20:57:00Z,44.00,59.00
2026-04-03T20:59:00Z,43.00,59.00
2026-04-03T21:00:00Z,43.00,57.00
2026-04-03T21:02:00Z,45.00,57.00
2026-04-03T21:04:00Z,44.82,58.00
2026-04-03T21:05:00Z,44.76,58.00
2026-04-03T21:06:00Z,44.89,58.00
2026-04-03T21:07:00Z,44.66,57.00
2026-04-03T21:08:00Z,44.81,57.00
2026-04-03T21:09:00Z,44.15,57.69
2026-04-03T21:10:00Z,44.24,57.90
2026-04-03T21:11:00Z,35.39,65.73
2026-04-03T21:12:00Z,30.00,65.73
2026-04-03T21:13:00Z,36.16,62.21
2026-04-03T21:14:00Z,33.39,66.82
2026-04-03T21:15:00Z,32.05,70.63
2026-04-03T21:16:00Z,27.05,72.91
2026-04-03T21:17:00Z,29.99,73.00
2026-04-03T21:18:00Z,27.62,72.07
2026-04-03T21:19:00Z,27.24,73.00
2026-04-03T21:20:00Z,26.74,72.80
2026-04-03T21:21:00Z,28.02,72.80
2026-04-03T21:22:00Z,28.07,72.80
2026-04-03T21:23:00Z,28.07,73.00
2026-04-03T21:24:00Z,24.52,74.48
2026-04-03T21:25:00Z,24.88,76.00
2026-04-03T21:26:00Z,25.86,75.00
2026-04-03T21:27:00Z,27.30,73.86
2026-04-03T21:28:00Z,28.00,73.00
2026-04-03T21:29:00Z,26.95,73.37
2026-04-03T21:30:00Z,23.00,76.12
2026-04-03T21:31:00Z,21.18,76.12
2026-04-03T21:32:00Z,19.26,76.12
2026-04-03T21:33:00Z,14.40,84.74
2026-04-03T21:34:00Z,16.00,84.97
2026-04-03T21:35:00Z,15.95,85.68
2026-04-03T21:36:00Z,16.30,86.00
2026-04-03T21:37:00Z,19.84,82.45
2026-04-03T21:38:00Z,18.58,81.67
2026-04-03T21:39:00Z,16.96,84.02
2026-04-03T21:40:00Z,17.04,84.00
2026-04-03T21:41:00Z,18.00,83.30
2026-04-03T21:42:00Z,18.00,83.00
2026-04-03T21:43:00Z,18.42,81.46
2026-04-03T21:44:00Z,18.91,80.99
2026-04-03T21:45:00Z,21.82,79.84
2026-04-03T21:46:00Z,23.58,79.18
2026-04-03T21:47:00Z,22.16,78.81
2026-04-03T21:48:00Z,21.34,80.39
