# event_ticker=KXATPCHALLENGERMATCH-26MAR31RIBBER
# final_score=6-1 6-2
# score_resolution=1-6 2-6
# match_winner=Michele Ribecai
# fav_player=Jacopo Berrettini
# dog_player=Michele Ribecai
# kalshi_date=2026-03-31
timestamp,Jacopo Berrettini,Michele Ribecai
2026-04-02T04:29:00Z,,59.00
2026-04-02T04:32:00Z,42.00,59.00
2026-04-02T09:19:00Z,42.00,59.00
2026-04-02T09:38:00Z,42.00,59.00
2026-04-02T09:47:00Z,42.00,61.00
2026-04-02T09:50:00Z,42.00,59.00
2026-04-02T10:58:00Z,41.77,59.00
2026-04-02T11:11:00Z,41.77,61.00
2026-04-02T11:30:00Z,41.00,61.00
2026-04-02T12:08:00Z,41.00,61.00
2026-04-02T12:26:00Z,42.00,61.00
2026-04-02T13:12:00Z,42.00,61.00
2026-04-02T13:18:00Z,42.00,61.00
2026-04-02T13:19:00Z,39.54,61.00
2026-04-02T13:52:00Z,39.54,62.00
2026-04-02T14:03:00Z,39.54,62.00
2026-04-02T14:05:00Z,39.54,62.00
2026-04-02T14:06:00Z,39.54,62.00
2026-04-02T14:10:00Z,39.54,62.00
2026-04-02T14:14:00Z,39.54,62.00
2026-04-02T14:17:00Z,40.00,62.00
2026-04-02T14:25:00Z,41.00,61.00
2026-04-02T14:27:00Z,41.00,61.00
2026-04-02T14:28:00Z,41.90,61.00
2026-04-02T14:29:00Z,41.00,61.00
2026-04-02T14:31:00Z,41.00,60.94
2026-04-02T14:32:00Z,41.00,60.94
2026-04-02T14:33:00Z,41.00,61.00
2026-04-02T14:34:00Z,41.00,61.00
2026-04-02T14:35:00Z,41.00,61.00
2026-04-02T14:37:00Z,41.00,61.69
2026-04-02T14:38:00Z,40.91,62.00
2026-04-02T14:39:00Z,40.91,62.00
2026-04-02T14:41:00Z,39.50,64.00
2026-04-02T14:42:00Z,37.00,62.05
2026-04-02T14:43:00Z,39.29,61.08
2026-04-02T14:44:00Z,36.00,65.00
2026-04-02T14:45:00Z,32.10,66.62
2026-04-02T14:46:00Z,32.22,68.97
2026-04-02T14:47:00Z,26.70,72.00
2026-04-02T14:48:00Z,29.18,75.83
2026-04-02T14:49:00Z,25.18,76.00
2026-04-02T14:50:00Z,20.64,80.09
2026-04-02T14:51:00Z,19.87,80.99
2026-04-02T14:52:00Z,20.00,81.00
2026-04-02T14:53:00Z,21.00,80.82
2026-04-02T14:54:00Z,23.99,77.00
2026-04-02T14:55:00Z,25.99,77.05
2026-04-02T14:56:00Z,25.65,77.73
2026-04-02T14:57:00Z,25.01,76.71
2026-04-02T14:58:00Z,22.76,77.17
2026-04-02T14:59:00Z,21.20,79.60
2026-04-02T15:00:00Z,21.97,79.96
2026-04-02T15:01:00Z,19.99,79.81
2026-04-02T15:02:00Z,19.36,83.27
2026-04-02T15:03:00Z,17.95,83.88
2026-04-02T15:04:00Z,15.39,87.32
2026-04-02T15:05:00Z,11.99,89.01
2026-04-02T15:06:00Z,9.04,90.87
2026-04-02T15:07:00Z,9.85,91.45
2026-04-02T15:08:00Z,12.22,93.13
2026-04-02T15:09:00Z,11.47,88.70
2026-04-02T15:10:00Z,9.14,92.52
2026-04-02T15:11:00Z,9.80,90.33
2026-04-02T15:12:00Z,10.22,94.68
2026-04-02T15:13:00Z,9.50,90.78
2026-04-02T15:14:00Z,11.81,88.89
2026-04-02T15:15:00Z,12.29,87.23
2026-04-02T15:16:00Z,14.23,86.05
2026-04-02T15:17:00Z,17.62,80.24
2026-04-02T15:18:00Z,19.73,81.98
2026-04-02T15:19:00Z,17.79,83.17
2026-04-02T15:20:00Z,11.28,87.00
2026-04-02T15:21:00Z,11.92,87.45
2026-04-02T15:22:00Z,15.54,85.00
2026-04-02T15:23:00Z,15.12,85.14
2026-04-02T15:24:00Z,16.02,83.25
2026-04-02T15:25:00Z,15.02,83.52
2026-04-02T15:26:00Z,17.99,82.90
2026-04-02T15:27:00Z,18.90,79.50
2026-04-02T15:28:00Z,21.54,79.40
2026-04-02T15:29:00Z,17.63,81.15
2026-04-02T15:30:00Z,12.82,85.08
2026-04-02T15:31:00Z,9.00,91.80
2026-04-02T15:32:00Z,6.52,93.83
2026-04-02T15:33:00Z,5.01,95.34
2026-04-02T15:34:00Z,5.50,94.04
2026-04-02T15:35:00Z,6.73,96.09
2026-04-02T15:36:00Z,2.86,96.74
2026-04-02T15:37:00Z,3.00,97.67
2026-04-02T15:38:00Z,1.03,98.83
2026-04-02T15:39:00Z,2.00,97.99
2026-04-02T15:40:00Z,2.03,98.79
2026-04-02T15:41:00Z,1.52,99.00
2026-04-02T15:42:00Z,1.00,99.00
2026-04-02T15:44:00Z,1.00,99.00
2026-04-02T15:48:00Z,1.00,99.00
2026-04-02T15:49:00Z,1.00,99.00
2026-04-02T15:50:00Z,1.00,99.00
2026-04-02T15:51:00Z,1.00,99.00
