# event_ticker=KXATPCHALLENGERMATCH-26APR07CECKOP
# final_score=4-6 6-1 7-6(4)
# score_resolution=6-4 1-6 6-7
# match_winner=Marco Cecchinato
# fav_player=Sandro Kopp
# dog_player=Marco Cecchinato
# kalshi_date=2026-04-07
timestamp,Sandro Kopp,Marco Cecchinato
2026-04-06T23:00:00Z,,69.00
2026-04-07T01:08:00Z,,69.00
2026-04-07T01:20:00Z,,69.00
2026-04-07T01:54:00Z,,69.00
2026-04-07T02:06:00Z,,69.00
2026-04-07T03:07:00Z,,69.00
2026-04-07T03:13:00Z,,69.00
2026-04-07T04:01:00Z,33.00,69.00
2026-04-07T04:10:00Z,33.00,69.00
2026-04-07T04:16:00Z,32.00,69.00
2026-04-07T04:34:00Z,32.00,69.13
2026-04-07T04:38:00Z,30.00,69.13
2026-04-07T04:44:00Z,30.00,70.00
2026-04-07T04:51:00Z,30.00,70.00
2026-04-07T05:36:00Z,30.00,70.00
2026-04-07T05:38:00Z,30.00,70.00
2026-04-07T05:39:00Z,30.00,70.00
2026-04-07T05:55:00Z,30.00,70.00
2026-04-07T06:02:00Z,30.00,70.00
2026-04-07T06:20:00Z,31.00,70.00
2026-04-07T06:41:00Z,29.25,70.00
2026-04-07T07:06:00Z,29.25,71.00
2026-04-07T07:09:00Z,31.00,71.00
2026-04-07T07:30:00Z,31.00,70.00
2026-04-07T07:35:00Z,31.53,70.00
2026-04-07T07:36:00Z,31.53,70.00
2026-04-07T07:52:00Z,31.53,71.00
2026-04-07T07:53:00Z,31.53,71.00
2026-04-07T07:56:00Z,31.53,71.00
2026-04-07T07:57:00Z,31.00,71.00
2026-04-07T08:02:00Z,32.23,71.00
2026-04-07T08:04:00Z,32.23,71.00
2026-04-07T08:05:00Z,31.80,71.00
2026-04-07T08:06:00Z,31.00,71.00
2026-04-07T08:07:00Z,31.00,73.40
2026-04-07T08:08:00Z,27.50,76.25
2026-04-07T08:09:00Z,29.17,76.25
2026-04-07T08:10:00Z,25.81,74.88
2026-04-07T08:11:00Z,26.79,75.00
2026-04-07T08:12:00Z,29.66,72.81
2026-04-07T08:13:00Z,26.00,73.86
2026-04-07T08:14:00Z,26.00,75.50
2026-04-07T08:15:00Z,18.05,81.42
2026-04-07T08:16:00Z,17.00,81.42
2026-04-07T08:17:00Z,17.25,82.06
2026-04-07T08:18:00Z,25.08,76.00
2026-04-07T08:19:00Z,27.17,76.00
2026-04-07T08:20:00Z,31.00,76.00
2026-04-07T08:21:00Z,32.57,69.35
2026-04-07T08:22:00Z,33.87,67.00
2026-04-07T08:23:00Z,37.25,64.59
2026-04-07T08:24:00Z,32.21,66.74
2026-04-07T08:25:00Z,32.21,69.48
2026-04-07T08:26:00Z,31.72,70.07
2026-04-07T08:27:00Z,32.70,66.81
2026-04-07T08:28:00Z,32.25,70.41
2026-04-07T08:29:00Z,26.55,72.80
2026-04-07T08:30:00Z,28.07,73.00
2026-04-07T08:31:00Z,28.07,75.12
2026-04-07T08:32:00Z,29.50,71.89
2026-04-07T08:33:00Z,29.15,70.00
2026-04-07T08:34:00Z,38.54,63.46
2026-04-07T08:35:00Z,42.36,58.45
2026-04-07T08:36:00Z,47.11,56.81
2026-04-07T08:37:00Z,39.39,56.70
2026-04-07T08:38:00Z,48.57,52.90
2026-04-07T08:39:00Z,54.88,47.94
2026-04-07T08:40:00Z,56.59,50.30
2026-04-07T08:41:00Z,57.11,41.96
2026-04-07T08:42:00Z,63.00,36.67
2026-04-07T08:43:00Z,63.00,37.95
2026-04-07T08:44:00Z,62.55,36.98
2026-04-07T08:45:00Z,61.00,39.40
2026-04-07T08:46:00Z,60.43,40.00
2026-04-07T08:47:00Z,61.76,39.72
2026-04-07T08:48:00Z,60.32,39.72
2026-04-07T08:49:00Z,63.33,42.54
2026-04-07T08:50:00Z,67.16,33.00
2026-04-07T08:51:00Z,67.00,32.79
2026-04-07T08:52:00Z,67.05,33.97
2026-04-07T08:53:00Z,68.00,34.00
2026-04-07T08:55:00Z,62.35,37.83
2026-04-07T08:56:00Z,61.72,40.90
2026-04-07T08:57:00Z,63.29,38.72
2026-04-07T08:58:00Z,66.48,36.00
2026-04-07T08:59:00Z,70.59,36.12
2026-04-07T09:00:00Z,69.00,29.95
2026-04-07T09:01:00Z,61.45,37.00
2026-04-07T09:02:00Z,63.00,38.00
2026-04-07T09:03:00Z,61.89,41.12
2026-04-07T09:04:00Z,47.82,48.89
2026-04-07T09:05:00Z,47.41,56.78
2026-04-07T09:06:00Z,44.00,57.19
2026-04-07T09:07:00Z,37.82,64.05
2026-04-07T09:08:00Z,38.80,61.67
2026-04-07T09:09:00Z,40.07,60.77
2026-04-07T09:10:00Z,40.00,60.64
2026-04-07T09:11:00Z,40.86,60.89
2026-04-07T09:12:00Z,36.41,67.01
2026-04-07T09:13:00Z,39.30,63.02
2026-04-07T09:14:00Z,37.75,64.77
2026-04-07T09:15:00Z,35.11,67.64
2026-04-07T09:16:00Z,34.54,67.69
2026-04-07T09:17:00Z,36.88,65.49
2026-04-07T09:18:00Z,32.00,68.20
2026-04-07T09:19:00Z,32.00,68.02
2026-04-07T09:20:00Z,33.83,66.17
2026-04-07T09:21:00Z,34.64,66.00
2026-04-07T09:22:00Z,35.00,66.16
2026-04-07T09:23:00Z,39.01,62.14
2026-04-07T09:24:00Z,38.64,61.60
2026-04-07T09:25:00Z,40.77,60.96
2026-04-07T09:26:00Z,44.69,58.79
2026-04-07T09:27:00Z,38.89,64.46
2026-04-07T09:28:00Z,35.48,64.95
2026-04-07T09:29:00Z,36.99,68.07
2026-04-07T09:30:00Z,37.67,66.03
2026-04-07T09:31:00Z,42.96,59.00
2026-04-07T09:32:00Z,43.00,60.72
2026-04-07T09:33:00Z,35.33,62.41
2026-04-07T09:34:00Z,37.02,64.77
2026-04-07T09:35:00Z,33.50,69.20
2026-04-07T09:36:00Z,35.56,70.69
2026-04-07T09:37:00Z,36.00,65.46
2026-04-07T09:38:00Z,28.87,73.50
2026-04-07T09:39:00Z,34.25,68.16
2026-04-07T09:40:00Z,41.28,58.97
2026-04-07T09:41:00Z,43.35,58.09
2026-04-07T09:42:00Z,52.52,52.43
2026-04-07T09:43:00Z,41.47,58.72
2026-04-07T09:44:00Z,37.00,63.33
2026-04-07T09:45:00Z,41.80,56.89
2026-04-07T09:46:00Z,47.19,54.04
2026-04-07T09:47:00Z,46.13,54.32
2026-04-07T09:48:00Z,49.87,50.03
2026-04-07T09:49:00Z,48.87,47.94
2026-04-07T09:50:00Z,38.72,61.06
2026-04-07T09:51:00Z,41.59,57.28
2026-04-07T09:52:00Z,48.32,53.56
2026-04-07T09:53:00Z,50.70,49.75
2026-04-07T09:54:00Z,51.90,49.83
2026-04-07T09:55:00Z,48.56,55.33
2026-04-07T09:56:00Z,41.24,58.17
2026-04-07T09:57:00Z,45.57,58.79
2026-04-07T09:58:00Z,32.17,65.68
