# event_ticker=KXATPCHALLENGERMATCH-26MAR30TAGJUB
# final_score=4-6 6-1 6-4
# match_winner=Paul Jubb
# fav_player=Paul Jubb
# dog_player=Ryotaro Taguchi
# kalshi_date=2026-03-30
timestamp,Paul Jubb,Ryotaro Taguchi
2026-03-30T17:49:00Z,,14.00
2026-03-30T18:36:00Z,,13.00
2026-03-30T19:54:00Z,,13.00
2026-03-30T20:26:00Z,,13.00
2026-03-30T21:22:00Z,90.00,13.00
2026-03-30T23:28:00Z,90.00,12.00
2026-03-30T23:46:00Z,90.00,12.00
2026-03-30T23:57:00Z,89.00,12.00
2026-03-31T00:15:00Z,89.00,12.06
2026-03-31T00:48:00Z,89.00,12.00
2026-03-31T01:05:00Z,89.00,12.00
2026-03-31T01:08:00Z,89.00,12.84
2026-03-31T01:13:00Z,89.00,12.84
2026-03-31T01:16:00Z,89.00,13.00
2026-03-31T01:42:00Z,89.00,13.00
2026-03-31T01:44:00Z,89.00,13.00
2026-03-31T01:46:00Z,89.00,13.00
2026-03-31T01:59:00Z,89.00,13.00
2026-03-31T02:00:00Z,89.00,13.00
2026-03-31T02:01:00Z,89.00,13.00
2026-03-31T02:04:00Z,89.00,13.00
2026-03-31T02:10:00Z,89.00,13.00
2026-03-31T02:11:00Z,89.00,13.00
2026-03-31T02:14:00Z,89.00,13.00
2026-03-31T02:33:00Z,89.00,13.00
2026-03-31T02:39:00Z,89.00,13.00
2026-03-31T02:43:00Z,89.00,13.00
2026-03-31T02:47:00Z,89.00,13.00
2026-03-31T02:49:00Z,89.00,13.00
2026-03-31T02:50:00Z,89.00,13.00
2026-03-31T02:55:00Z,89.00,13.00
2026-03-31T03:02:00Z,89.00,13.00
2026-03-31T03:04:00Z,89.00,13.00
2026-03-31T03:05:00Z,89.00,13.00
2026-03-31T03:07:00Z,89.00,13.00
2026-03-31T03:11:00Z,89.00,13.00
2026-03-31T03:13:00Z,89.00,13.00
2026-03-31T03:14:00Z,89.00,13.00
2026-03-31T03:17:00Z,89.00,13.00
2026-03-31T03:22:00Z,89.00,13.00
2026-03-31T03:23:00Z,89.00,13.00
2026-03-31T03:25:00Z,89.00,13.00
2026-03-31T03:26:00Z,89.00,13.00
2026-03-31T03:30:00Z,89.00,13.00
2026-03-31T03:38:00Z,89.00,13.00
2026-03-31T03:42:00Z,89.00,12.00
2026-03-31T03:43:00Z,89.00,13.00
2026-03-31T03:46:00Z,89.00,13.00
2026-03-31T03:47:00Z,89.00,13.00
2026-03-31T03:49:00Z,89.00,13.00
2026-03-31T03:50:00Z,89.00,13.00
2026-03-31T03:51:00Z,89.00,13.00
2026-03-31T03:52:00Z,89.00,13.00
2026-03-31T03:53:00Z,89.00,13.00
2026-03-31T03:56:00Z,89.00,13.00
2026-03-31T03:57:00Z,89.00,13.00
2026-03-31T03:59:00Z,89.00,13.00
2026-03-31T04:00:00Z,89.00,13.00
2026-03-31T04:01:00Z,89.00,12.99
2026-03-31T04:02:00Z,89.00,13.00
2026-03-31T04:03:00Z,89.00,13.00
2026-03-31T04:04:00Z,89.00,13.00
2026-03-31T04:06:00Z,89.00,11.68
2026-03-31T04:07:00Z,89.02,11.21
2026-03-31T04:08:00Z,90.00,10.66
