# event_ticker=KXATPCHALLENGERMATCH-26MAY13IVAISO
# final_score=6-1 6-2
# match_winner=Ilya Ivashka
# fav_player=Ilya Ivashka
# dog_player=Kokoro Isomura
# kalshi_date=2026-05-13
timestamp,Ilya Ivashka,Kokoro Isomura
2026-05-12T19:57:00Z,,22.00
2026-05-12T21:03:00Z,81.00,22.00
2026-05-13T02:19:00Z,81.00,21.00
2026-05-13T02:59:00Z,80.00,21.00
2026-05-13T03:00:00Z,80.00,21.00
2026-05-13T03:32:00Z,81.00,21.00
2026-05-13T03:50:00Z,81.00,21.00
2026-05-13T04:09:00Z,80.00,21.00
2026-05-13T04:16:00Z,80.00,21.00
2026-05-13T04:21:00Z,80.00,21.00
2026-05-13T04:30:00Z,80.00,21.00
2026-05-13T04:42:00Z,80.00,22.00
2026-05-13T04:53:00Z,80.00,22.00
2026-05-13T05:01:00Z,80.00,22.00
2026-05-13T05:30:00Z,80.00,22.00
2026-05-13T05:33:00Z,80.00,22.00
2026-05-13T05:34:00Z,80.00,22.00
2026-05-13T05:36:00Z,80.00,22.00
2026-05-13T05:38:00Z,80.00,22.00
2026-05-13T05:41:00Z,80.00,22.00
2026-05-13T05:50:00Z,80.00,22.00
2026-05-13T05:56:00Z,80.00,22.00
2026-05-13T06:16:00Z,80.00,22.00
2026-05-13T06:21:00Z,80.00,22.00
2026-05-13T06:26:00Z,81.00,22.00
2026-05-13T06:31:00Z,81.00,22.00
2026-05-13T06:36:00Z,81.00,22.00
2026-05-13T06:46:00Z,81.00,21.00
2026-05-13T06:47:00Z,81.00,21.00
2026-05-13T06:55:00Z,81.00,21.00
2026-05-13T07:01:00Z,78.20,21.00
2026-05-13T07:03:00Z,78.20,21.00
2026-05-13T07:14:00Z,82.00,21.00
2026-05-13T07:15:00Z,82.00,20.00
2026-05-13T07:17:00Z,82.00,20.00
2026-05-13T07:18:00Z,82.00,17.30
2026-05-13T07:20:00Z,82.00,19.00
2026-05-13T07:23:00Z,82.00,19.00
2026-05-13T07:24:00Z,82.00,19.44
2026-05-13T07:25:00Z,81.96,21.19
2026-05-13T07:26:00Z,82.50,18.55
2026-05-13T07:27:00Z,82.50,18.00
2026-05-13T07:28:00Z,82.00,18.00
2026-05-13T07:29:00Z,83.00,16.00
2026-05-13T07:30:00Z,83.00,16.07
2026-05-13T07:31:00Z,83.00,20.02
2026-05-13T07:32:00Z,81.00,21.00
2026-05-13T07:33:00Z,81.00,18.39
2026-05-13T07:34:00Z,83.99,17.00
2026-05-13T07:35:00Z,83.99,17.24
2026-05-13T07:36:00Z,85.00,15.57
2026-05-13T07:37:00Z,85.57,15.99
2026-05-13T07:38:00Z,86.66,14.79
2026-05-13T07:39:00Z,86.66,16.27
2026-05-13T07:40:00Z,88.67,10.35
2026-05-13T07:41:00Z,90.72,9.41
2026-05-13T07:42:00Z,93.00,8.04
2026-05-13T07:43:00Z,92.86,8.00
2026-05-13T07:44:00Z,93.00,8.00
2026-05-13T07:45:00Z,94.00,8.00
2026-05-13T07:46:00Z,94.00,7.00
2026-05-13T07:47:00Z,93.48,6.94
2026-05-13T07:48:00Z,94.00,8.00
2026-05-13T07:49:00Z,94.00,6.35
2026-05-13T07:50:00Z,94.00,6.90
2026-05-13T07:51:00Z,92.98,7.00
2026-05-13T07:52:00Z,92.06,7.69
2026-05-13T07:53:00Z,94.00,6.63
2026-05-13T07:54:00Z,96.00,4.24
2026-05-13T07:55:00Z,95.00,5.00
2026-05-13T07:56:00Z,95.00,5.00
2026-05-13T07:57:00Z,95.00,5.00
2026-05-13T07:58:00Z,96.36,3.07
2026-05-13T07:59:00Z,98.00,2.84
2026-05-13T08:00:00Z,96.11,4.83
2026-05-13T08:01:00Z,97.00,4.18
2026-05-13T08:02:00Z,97.00,4.89
2026-05-13T08:03:00Z,97.00,3.95
2026-05-13T08:04:00Z,95.03,5.16
2026-05-13T08:05:00Z,95.00,5.09
2026-05-13T08:06:00Z,96.00,4.82
2026-05-13T08:07:00Z,95.92,6.08
2026-05-13T08:08:00Z,94.00,6.81
2026-05-13T08:09:00Z,94.68,7.63
2026-05-13T08:10:00Z,95.00,5.94
2026-05-13T08:11:00Z,96.59,5.00
2026-05-13T08:12:00Z,98.56,1.12
2026-05-13T08:13:00Z,99.00,1.87
2026-05-13T08:14:00Z,98.88,2.51
2026-05-13T08:15:00Z,98.90,2.58
2026-05-13T08:16:00Z,99.00,1.00
2026-05-13T08:17:00Z,99.00,2.00
2026-05-13T08:18:00Z,99.00,1.50
2026-05-13T08:19:00Z,98.00,2.00
2026-05-13T08:20:00Z,98.00,2.04
2026-05-13T08:21:00Z,98.00,2.00
2026-05-13T08:22:00Z,98.00,3.56
2026-05-13T08:23:00Z,98.87,2.09
2026-05-13T08:24:00Z,98.00,3.00
2026-05-13T08:25:00Z,98.00,2.07
2026-05-13T08:26:00Z,98.64,1.88
2026-05-13T08:27:00Z,98.64,2.00
2026-05-13T08:28:00Z,98.64,1.64
2026-05-13T08:30:00Z,99.00,1.62
2026-05-13T08:31:00Z,99.00,1.00
2026-05-13T08:33:00Z,99.00,1.00
2026-05-13T08:34:00Z,99.00,1.00
2026-05-13T08:41:00Z,99.00,1.00
