# event_ticker=KXATPCHALLENGERMATCH-26MAR17MMORUB
# final_score=7-5 6-1
# score_resolution=5-7 1-6
# match_winner=Michael Mmoh
# fav_player=Alan Fernando Rubio Fierros
# dog_player=Michael Mmoh
# kalshi_date=2026-03-17
timestamp,Alan Fernando Rubio Fierros,Michael Mmoh
2026-03-17T08:37:00Z,,86.00
2026-03-17T09:10:00Z,,86.00
2026-03-17T09:20:00Z,,86.00
2026-03-17T09:30:00Z,,86.00
2026-03-17T09:45:00Z,,86.00
2026-03-17T10:45:00Z,,87.00
2026-03-17T11:35:00Z,13.00,87.00
2026-03-17T11:41:00Z,13.00,87.00
2026-03-17T11:45:00Z,13.00,87.00
2026-03-17T11:55:00Z,13.00,87.00
2026-03-17T12:00:00Z,13.00,87.00
2026-03-17T13:01:00Z,13.45,87.00
2026-03-17T14:09:00Z,13.45,88.00
2026-03-17T16:06:00Z,13.45,87.00
2026-03-17T16:52:00Z,14.00,87.00
2026-03-17T17:03:00Z,14.00,87.00
2026-03-17T17:21:00Z,14.00,87.00
2026-03-17T17:30:00Z,14.00,88.00
2026-03-17T17:44:00Z,14.00,88.00
2026-03-17T17:48:00Z,14.53,88.00
2026-03-17T18:22:00Z,14.53,88.00
2026-03-17T18:41:00Z,14.53,86.00
2026-03-17T18:44:00Z,12.00,88.00
2026-03-17T18:55:00Z,12.00,88.00
2026-03-17T18:58:00Z,14.90,88.00
2026-03-17T19:02:00Z,14.00,88.00
2026-03-17T19:03:00Z,14.00,88.00
2026-03-17T19:07:00Z,14.00,88.00
2026-03-17T19:16:00Z,14.37,88.00
2026-03-17T19:17:00Z,14.00,88.00
2026-03-17T19:23:00Z,14.00,88.00
2026-03-17T19:28:00Z,14.00,88.00
2026-03-17T19:31:00Z,14.95,88.00
2026-03-17T19:33:00Z,14.95,88.00
2026-03-17T19:37:00Z,14.00,86.00
2026-03-17T19:38:00Z,14.00,86.00
2026-03-17T19:39:00Z,16.11,86.00
2026-03-17T19:40:00Z,13.58,87.00
2026-03-17T19:41:00Z,16.67,85.86
2026-03-17T19:42:00Z,21.74,85.86
2026-03-17T19:43:00Z,24.05,75.97
2026-03-17T19:44:00Z,28.00,71.00
2026-03-17T19:45:00Z,28.00,73.24
2026-03-17T19:46:00Z,24.02,73.35
2026-03-17T19:47:00Z,26.84,73.35
2026-03-17T19:48:00Z,29.00,72.48
2026-03-17T19:49:00Z,29.39,72.99
2026-03-17T19:50:00Z,27.83,73.11
2026-03-17T19:51:00Z,26.00,75.06
2026-03-17T19:52:00Z,27.95,74.00
2026-03-17T19:53:00Z,29.85,71.91
2026-03-17T19:54:00Z,31.39,70.00
2026-03-17T19:55:00Z,30.00,70.00
2026-03-17T19:56:00Z,29.18,71.00
2026-03-17T19:57:00Z,28.00,71.00
2026-03-17T19:58:00Z,28.06,74.11
2026-03-17T19:59:00Z,32.15,73.00
2026-03-17T20:00:00Z,24.12,74.89
2026-03-17T20:01:00Z,15.99,83.01
2026-03-17T20:02:00Z,18.57,86.00
2026-03-17T20:03:00Z,20.12,81.00
2026-03-17T20:04:00Z,17.00,85.00
2026-03-17T20:05:00Z,19.99,85.00
2026-03-17T20:06:00Z,27.28,75.42
2026-03-17T20:07:00Z,31.00,71.00
2026-03-17T20:08:00Z,33.13,68.00
2026-03-17T20:09:00Z,38.01,66.00
2026-03-17T20:10:00Z,37.65,66.00
2026-03-17T20:11:00Z,39.42,62.00
2026-03-17T20:12:00Z,37.47,61.85
2026-03-17T20:13:00Z,36.00,63.00
2026-03-17T20:14:00Z,37.00,64.58
2026-03-17T20:15:00Z,33.19,67.00
2026-03-17T20:16:00Z,26.22,72.51
2026-03-17T20:17:00Z,27.44,70.07
2026-03-17T20:18:00Z,27.46,73.86
