# event_ticker=KXATPCHALLENGERMATCH-26MAY12IVALEE
# final_score=6-2 6-0
# score_resolution=2-6 0-6
# match_winner=Ilya Ivashka
# fav_player=Kuan-Yi Lee
# dog_player=Ilya Ivashka
# kalshi_date=2026-05-12
timestamp,Ilya Ivashka,Kuan-Yi Lee
2026-05-11T23:24:00Z,76.88,
2026-05-11T23:27:00Z,79.00,
2026-05-12T05:01:00Z,79.00,25.00
2026-05-12T05:07:00Z,79.00,26.00
2026-05-12T05:29:00Z,79.00,26.00
2026-05-12T06:16:00Z,77.00,26.00
2026-05-12T06:17:00Z,77.00,26.00
2026-05-12T06:39:00Z,77.00,26.00
2026-05-12T06:44:00Z,77.00,26.00
2026-05-12T06:55:00Z,77.00,26.00
2026-05-12T07:54:00Z,76.00,25.99
2026-05-12T08:31:00Z,76.00,26.00
2026-05-12T09:18:00Z,75.00,26.00
2026-05-12T10:08:00Z,75.00,26.00
2026-05-12T10:35:00Z,76.96,26.00
2026-05-12T11:02:00Z,76.96,24.75
2026-05-12T11:03:00Z,76.96,19.00
2026-05-12T11:07:00Z,76.96,20.00
2026-05-12T11:13:00Z,80.00,20.00
2026-05-12T11:14:00Z,80.00,21.00
2026-05-12T11:15:00Z,81.00,20.00
2026-05-12T11:16:00Z,76.00,22.00
2026-05-12T11:17:00Z,79.00,23.00
2026-05-12T11:18:00Z,79.00,24.00
2026-05-12T11:20:00Z,79.00,22.10
2026-05-12T11:22:00Z,81.00,22.10
2026-05-12T11:23:00Z,81.00,20.00
2026-05-12T11:24:00Z,83.00,20.00
2026-05-12T11:25:00Z,87.00,20.00
2026-05-12T11:27:00Z,87.00,11.00
2026-05-12T11:28:00Z,93.00,11.00
2026-05-12T11:32:00Z,94.00,6.00
2026-05-12T11:33:00Z,94.00,5.00
2026-05-12T11:34:00Z,94.00,4.00
2026-05-12T11:36:00Z,96.00,4.04
2026-05-12T11:37:00Z,96.00,4.00
2026-05-12T11:38:00Z,97.00,4.00
2026-05-12T11:39:00Z,97.00,5.00
2026-05-12T11:40:00Z,97.00,4.00
2026-05-12T11:41:00Z,98.00,2.00
2026-05-12T11:42:00Z,99.00,1.00
2026-05-12T11:43:00Z,99.00,3.00
2026-05-12T11:45:00Z,99.00,1.00
2026-05-12T11:46:00Z,98.00,1.00
2026-05-12T11:49:00Z,98.00,1.00
2026-05-12T11:50:00Z,98.00,1.00
2026-05-12T11:52:00Z,98.00,3.00
2026-05-12T11:53:00Z,98.00,1.21
2026-05-12T11:54:00Z,98.00,1.00
2026-05-12T11:55:00Z,98.00,1.00
2026-05-12T11:56:00Z,98.00,1.00
2026-05-12T11:58:00Z,99.00,1.00
