# event_ticker=KXATPCHALLENGERMATCH-26MAY13DELBUR
# final_score=6-3 4-6 6-4
# match_winner=Roman Andres Burruchaga
# fav_player=Roman Andres Burruchaga
# dog_player=Pierre Delage
# kalshi_date=2026-05-13
timestamp,Pierre Delage,Roman Andres Burruchaga
2026-05-13T02:57:00Z,14.00,
2026-05-13T03:05:00Z,14.00,92.00
2026-05-13T03:16:00Z,14.00,86.00
2026-05-13T03:49:00Z,14.00,90.00
2026-05-13T04:22:00Z,14.00,90.00
2026-05-13T05:23:00Z,14.00,92.00
2026-05-13T05:40:00Z,14.00,92.00
2026-05-13T06:27:00Z,9.00,92.00
2026-05-13T08:54:00Z,9.00,92.00
2026-05-13T10:21:00Z,9.00,92.00
2026-05-13T10:29:00Z,9.00,94.00
2026-05-13T10:40:00Z,9.00,94.00
2026-05-13T12:01:00Z,8.02,94.00
2026-05-13T12:05:00Z,9.00,94.00
2026-05-13T12:07:00Z,9.00,94.00
2026-05-13T12:08:00Z,9.00,94.00
2026-05-13T12:15:00Z,8.00,93.00
2026-05-13T12:21:00Z,9.00,93.00
2026-05-13T12:22:00Z,9.00,93.00
2026-05-13T12:36:00Z,9.00,93.00
2026-05-13T12:37:00Z,9.00,93.00
2026-05-13T12:38:00Z,9.00,93.00
2026-05-13T12:40:00Z,9.00,93.00
2026-05-13T12:41:00Z,9.00,93.00
2026-05-13T12:43:00Z,7.00,93.00
2026-05-13T12:44:00Z,9.00,93.00
2026-05-13T12:48:00Z,9.00,93.00
2026-05-13T12:50:00Z,8.00,93.00
2026-05-13T12:51:00Z,8.00,94.00
2026-05-13T12:52:00Z,6.00,94.00
2026-05-13T12:53:00Z,4.17,94.00
2026-05-13T12:54:00Z,6.00,94.00
2026-05-13T12:55:00Z,6.64,93.00
2026-05-13T12:56:00Z,9.00,94.02
2026-05-13T12:57:00Z,8.15,92.00
2026-05-13T12:58:00Z,9.40,92.00
2026-05-13T12:59:00Z,9.00,92.00
2026-05-13T13:00:00Z,10.00,91.00
2026-05-13T13:01:00Z,10.00,91.00
2026-05-13T13:02:00Z,10.00,89.09
2026-05-13T13:03:00Z,10.00,90.00
2026-05-13T13:04:00Z,12.35,89.76
2026-05-13T13:05:00Z,18.46,88.00
2026-05-13T13:06:00Z,16.43,82.00
2026-05-13T13:07:00Z,20.08,79.01
2026-05-13T13:08:00Z,21.37,78.99
