# event_ticker=KXATPCHALLENGERMATCH-26MAY18SINVIT
# final_score=6-3 6-4
# score_resolution=3-6 4-6
# match_winner=Leo Vithoontien
# fav_player=Digvijay Pratap Singh
# dog_player=Leo Vithoontien
# kalshi_date=2026-05-18
timestamp,Digvijay Pratap Singh,Leo Vithoontien
2026-05-18T16:48:00Z,61.00,42.00
2026-05-18T16:50:00Z,61.00,42.00
2026-05-18T17:10:00Z,61.00,42.00
2026-05-18T19:43:00Z,61.00,42.00
2026-05-18T19:51:00Z,61.00,42.00
2026-05-18T20:19:00Z,61.00,39.00
2026-05-18T20:41:00Z,61.00,39.00
2026-05-18T20:43:00Z,61.00,39.00
2026-05-18T20:57:00Z,61.00,41.00
2026-05-18T21:03:00Z,61.00,41.00
2026-05-18T21:10:00Z,61.00,41.00
2026-05-18T21:39:00Z,61.00,41.00
2026-05-19T00:56:00Z,61.00,41.00
2026-05-19T02:54:00Z,61.00,41.00
2026-05-19T02:55:00Z,61.00,41.00
2026-05-19T02:58:00Z,61.00,41.00
2026-05-19T02:59:00Z,61.00,41.00
2026-05-19T03:00:00Z,61.00,41.00
2026-05-19T03:12:00Z,61.00,41.00
2026-05-19T03:19:00Z,61.00,39.07
2026-05-19T03:27:00Z,61.00,42.00
2026-05-19T03:32:00Z,61.00,42.00
2026-05-19T03:37:00Z,61.00,42.00
2026-05-19T03:53:00Z,61.00,41.00
2026-05-19T03:54:00Z,62.00,41.00
2026-05-19T03:56:00Z,62.00,41.00
2026-05-19T03:57:00Z,62.00,41.00
2026-05-19T03:58:00Z,59.14,41.00
2026-05-19T04:00:00Z,62.00,41.00
2026-05-19T04:03:00Z,62.00,41.00
2026-05-19T04:05:00Z,62.00,41.74
2026-05-19T04:06:00Z,62.00,42.00
2026-05-19T04:07:00Z,62.00,42.00
2026-05-19T04:08:00Z,62.00,42.00
2026-05-19T04:13:00Z,62.00,42.00
2026-05-19T04:17:00Z,62.00,42.00
2026-05-19T04:18:00Z,61.00,42.00
