# event_ticker=KXATPMATCH-25JUL29SCHARN
# final_score=6-3 3-6 6-3
# match_winner=Matteo Arnaldi
# fav_player=Matteo Arnaldi
# dog_player=Tristan Schoolkate
# kalshi_date=2025-07-29
timestamp,Matteo Arnaldi,Tristan Schoolkate
2025-07-29T14:29:00Z,62.00,
2025-07-29T15:49:00Z,62.00,
2025-07-29T16:05:00Z,62.00,40.00
2025-07-29T16:36:00Z,62.00,40.00
2025-07-29T16:41:00Z,61.00,40.00
2025-07-29T17:32:00Z,61.00,41.00
2025-07-29T18:54:00Z,60.00,41.00
2025-07-29T19:22:00Z,60.00,42.00
2025-07-29T19:33:00Z,60.00,42.00
2025-07-29T19:34:00Z,60.00,42.00
2025-07-29T19:50:00Z,60.15,42.00
2025-07-29T20:46:00Z,60.15,41.00
2025-07-29T20:54:00Z,60.00,41.00
2025-07-29T21:00:00Z,60.00,39.00
2025-07-29T21:01:00Z,60.00,38.00
2025-07-29T21:04:00Z,60.00,38.00
2025-07-29T21:07:00Z,60.00,41.00
2025-07-29T21:11:00Z,60.00,41.00
2025-07-29T21:23:00Z,60.00,41.00
2025-07-29T21:26:00Z,60.00,41.00
2025-07-29T21:31:00Z,60.00,41.00
2025-07-29T21:34:00Z,60.94,41.00
2025-07-29T21:40:00Z,60.94,41.00
2025-07-29T21:49:00Z,61.00,41.00
2025-07-29T21:54:00Z,61.00,41.00
2025-07-29T21:55:00Z,61.00,41.00
2025-07-29T22:01:00Z,61.00,40.00
2025-07-29T22:04:00Z,61.00,40.00
2025-07-29T22:05:00Z,61.00,40.11
2025-07-29T22:10:00Z,61.00,38.02
2025-07-29T22:17:00Z,61.00,38.02
2025-07-29T22:18:00Z,61.00,38.02
2025-07-29T22:28:00Z,61.00,38.02
2025-07-29T22:29:00Z,61.00,38.02
2025-07-29T22:36:00Z,61.00,41.00
2025-07-29T22:39:00Z,56.00,41.00
2025-07-29T22:48:00Z,61.00,41.00
2025-07-29T22:58:00Z,61.00,41.00
