# event_ticker=KXATPMATCH-25JUL29KHAFIC
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Karen Khachanov
# fav_player=Juan Pablo Ficovich
# dog_player=Karen Khachanov
# kalshi_date=2025-07-29
timestamp,Juan Pablo Ficovich,Karen Khachanov
2025-07-29T06:36:00Z,27.00,
2025-07-29T06:42:00Z,27.00,80.29
2025-07-29T06:56:00Z,27.00,80.29
2025-07-29T12:09:00Z,12.00,80.29
2025-07-29T12:13:00Z,12.00,89.00
2025-07-29T12:29:00Z,12.00,89.00
2025-07-29T12:31:00Z,12.00,89.00
2025-07-29T12:36:00Z,12.00,89.00
2025-07-29T12:37:00Z,12.00,89.00
2025-07-29T12:39:00Z,12.00,89.00
2025-07-29T12:41:00Z,12.00,88.00
2025-07-29T12:47:00Z,12.00,88.00
2025-07-29T12:48:00Z,12.00,87.00
2025-07-29T12:49:00Z,12.00,87.00
2025-07-29T12:54:00Z,13.00,87.00
2025-07-29T14:17:00Z,14.00,87.00
2025-07-29T14:18:00Z,14.00,88.00
2025-07-29T14:23:00Z,15.00,88.00
2025-07-29T14:25:00Z,25.00,86.00
2025-07-29T14:32:00Z,25.00,88.00
2025-07-29T14:38:00Z,15.00,88.00
2025-07-29T14:44:00Z,15.00,86.00
2025-07-29T14:49:00Z,15.00,86.00
2025-07-29T14:51:00Z,14.00,86.00
2025-07-29T14:53:00Z,14.00,87.00
2025-07-29T14:56:00Z,14.00,87.99
2025-07-29T15:01:00Z,14.00,87.99
2025-07-29T15:03:00Z,14.00,88.00
2025-07-29T15:08:00Z,14.00,88.00
2025-07-29T15:09:00Z,14.00,88.00
2025-07-29T15:11:00Z,14.00,88.00
2025-07-29T15:12:00Z,14.00,88.00
2025-07-29T15:14:00Z,14.00,88.00
2025-07-29T15:22:00Z,14.27,88.00
2025-07-29T15:25:00Z,14.00,88.00
2025-07-29T15:26:00Z,14.00,88.00
2025-07-29T15:32:00Z,14.00,88.00
2025-07-29T15:40:00Z,14.00,87.99
2025-07-29T15:46:00Z,14.00,87.99
2025-07-29T15:47:00Z,13.00,87.99
2025-07-29T15:50:00Z,14.00,87.99
2025-07-29T15:53:00Z,14.00,87.99
2025-07-29T15:56:00Z,14.00,87.99
2025-07-29T15:58:00Z,14.00,87.99
2025-07-29T16:01:00Z,14.00,88.00
2025-07-29T16:02:00Z,13.00,88.00
2025-07-29T16:03:00Z,13.00,88.00
2025-07-29T16:05:00Z,13.25,88.00
2025-07-29T16:08:00Z,13.43,88.38
2025-07-29T16:09:00Z,14.00,88.38
2025-07-29T16:11:00Z,15.00,88.38
2025-07-29T16:12:00Z,14.00,88.38
2025-07-29T16:22:00Z,14.00,88.38
2025-07-29T16:26:00Z,14.00,88.38
2025-07-29T16:48:00Z,14.00,88.38
2025-07-29T16:53:00Z,14.00,88.38
2025-07-29T16:58:00Z,14.00,88.38
2025-07-29T16:59:00Z,14.00,89.00
2025-07-29T17:03:00Z,15.00,89.00
2025-07-29T17:04:00Z,15.00,89.00
2025-07-29T17:05:00Z,16.00,89.00
2025-07-29T17:06:00Z,16.00,84.00
2025-07-29T17:07:00Z,21.52,87.00
2025-07-29T17:08:00Z,21.00,82.50
2025-07-29T17:09:00Z,22.00,78.00
2025-07-29T17:10:00Z,22.00,78.88
2025-07-29T17:11:00Z,20.00,78.88
2025-07-29T17:12:00Z,35.00,78.88
2025-07-29T17:13:00Z,20.00,78.88
2025-07-29T17:16:00Z,28.94,78.88
2025-07-29T17:17:00Z,28.94,85.00
2025-07-29T17:18:00Z,28.94,87.00
2025-07-29T17:19:00Z,20.00,87.00
2025-07-29T17:20:00Z,20.00,87.00
2025-07-29T17:21:00Z,16.00,84.52
2025-07-29T17:22:00Z,20.00,84.52
2025-07-29T17:23:00Z,18.12,87.98
2025-07-29T17:24:00Z,13.00,87.98
2025-07-29T17:27:00Z,17.76,89.00
2025-07-29T17:28:00Z,18.11,89.00
2025-07-29T17:29:00Z,13.00,89.09
2025-07-29T17:30:00Z,13.00,91.00
2025-07-29T17:31:00Z,9.48,91.00
2025-07-29T17:33:00Z,9.05,91.00
2025-07-29T17:34:00Z,13.00,91.00
2025-07-29T17:38:00Z,14.00,91.00
2025-07-29T17:41:00Z,15.43,91.00
2025-07-29T17:43:00Z,15.43,90.00
2025-07-29T17:44:00Z,8.00,90.00
2025-07-29T17:45:00Z,10.00,90.00
2025-07-29T17:47:00Z,11.00,98.00
2025-07-29T17:48:00Z,11.00,98.00
2025-07-29T17:49:00Z,11.00,98.00
2025-07-29T17:50:00Z,7.93,98.00
2025-07-29T17:51:00Z,9.00,98.00
