# event_ticker=KXATPCHALLENGERMATCH-26MAY06SAKHEI
# final_score=6-4 7-6(3)
# score_resolution=6-4 7-6
# match_winner=Gustavo Heide
# fav_player=Gustavo Heide
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-05-06
timestamp,Stefanos Sakellaridis,Gustavo Heide
2026-05-05T21:40:00Z,34.00,
2026-05-05T21:56:00Z,32.00,
2026-05-05T23:55:00Z,34.00,
2026-05-06T00:41:00Z,34.00,68.00
2026-05-06T00:52:00Z,34.00,68.00
2026-05-06T00:56:00Z,34.64,68.00
2026-05-06T01:31:00Z,34.64,67.00
2026-05-06T01:32:00Z,34.64,67.00
2026-05-06T01:49:00Z,34.64,67.00
2026-05-06T02:36:00Z,34.64,68.00
2026-05-06T03:03:00Z,34.64,68.00
2026-05-06T03:17:00Z,34.64,68.00
2026-05-06T04:04:00Z,32.00,68.00
2026-05-06T04:26:00Z,32.00,68.00
2026-05-06T04:59:00Z,33.00,68.00
2026-05-06T05:05:00Z,33.00,67.00
2026-05-06T05:46:00Z,33.00,68.00
2026-05-06T06:30:00Z,33.00,68.00
2026-05-06T06:34:00Z,33.00,68.00
2026-05-06T07:22:00Z,33.00,68.00
2026-05-06T07:42:00Z,33.00,68.00
2026-05-06T07:45:00Z,35.00,68.00
2026-05-06T07:51:00Z,35.00,67.00
2026-05-06T07:54:00Z,35.00,67.00
2026-05-06T08:06:00Z,35.00,67.00
2026-05-06T09:03:00Z,35.00,67.00
2026-05-06T09:08:00Z,34.20,67.00
2026-05-06T09:09:00Z,35.00,65.03
2026-05-06T09:11:00Z,25.90,65.03
2026-05-06T09:12:00Z,23.00,65.03
2026-05-06T09:13:00Z,23.00,77.00
2026-05-06T09:14:00Z,23.00,79.12
2026-05-06T09:16:00Z,23.00,80.00
2026-05-06T09:17:00Z,23.00,82.00
2026-05-06T09:18:00Z,15.06,85.00
2026-05-06T09:21:00Z,20.00,80.00
2026-05-06T09:22:00Z,21.00,80.00
2026-05-06T09:27:00Z,18.00,80.00
2026-05-06T09:32:00Z,19.00,80.00
2026-05-06T09:33:00Z,19.00,80.00
2026-05-06T09:35:00Z,20.00,80.00
2026-05-06T09:38:00Z,22.00,78.07
2026-05-06T09:40:00Z,22.00,78.09
2026-05-06T09:43:00Z,19.00,78.09
2026-05-06T09:45:00Z,19.00,78.00
2026-05-06T09:46:00Z,19.00,77.00
2026-05-06T09:47:00Z,19.00,74.00
2026-05-06T09:51:00Z,17.03,74.00
2026-05-06T09:53:00Z,16.00,74.00
2026-05-06T09:56:00Z,20.00,74.00
2026-05-06T09:58:00Z,18.00,74.00
2026-05-06T09:59:00Z,16.00,74.00
2026-05-06T10:03:00Z,19.00,74.00
2026-05-06T10:07:00Z,19.00,74.00
2026-05-06T10:08:00Z,17.00,83.00
2026-05-06T10:09:00Z,15.84,83.00
2026-05-06T10:11:00Z,10.00,91.00
2026-05-06T10:12:00Z,6.28,93.04
2026-05-06T10:14:00Z,6.00,93.04
2026-05-06T10:15:00Z,5.00,95.00
2026-05-06T10:16:00Z,4.00,96.00
2026-05-06T10:17:00Z,6.00,96.00
2026-05-06T10:18:00Z,6.00,95.02
2026-05-06T10:19:00Z,5.03,96.00
2026-05-06T10:20:00Z,5.03,96.00
2026-05-06T10:21:00Z,6.00,95.45
2026-05-06T10:22:00Z,6.00,95.74
2026-05-06T10:23:00Z,6.00,95.00
2026-05-06T10:24:00Z,6.00,95.00
2026-05-06T10:25:00Z,7.00,95.00
2026-05-06T10:26:00Z,6.00,95.00
2026-05-06T10:27:00Z,11.50,90.00
2026-05-06T10:28:00Z,13.41,86.02
2026-05-06T10:29:00Z,11.00,90.68
2026-05-06T10:30:00Z,9.88,90.68
2026-05-06T10:31:00Z,13.00,87.20
2026-05-06T10:32:00Z,11.65,94.00
2026-05-06T10:33:00Z,14.00,90.34
2026-05-06T10:34:00Z,7.00,93.00
2026-05-06T10:35:00Z,10.26,91.92
2026-05-06T10:36:00Z,9.63,93.61
2026-05-06T10:37:00Z,9.63,93.00
2026-05-06T10:38:00Z,8.92,93.00
2026-05-06T10:39:00Z,6.00,96.00
2026-05-06T10:40:00Z,6.00,95.81
2026-05-06T10:41:00Z,5.74,95.00
2026-05-06T10:43:00Z,6.00,95.00
2026-05-06T10:44:00Z,6.00,94.00
2026-05-06T10:45:00Z,6.00,94.10
2026-05-06T10:46:00Z,5.54,96.00
2026-05-06T10:48:00Z,6.00,94.00
2026-05-06T10:50:00Z,6.00,97.33
2026-05-06T10:51:00Z,1.73,97.33
2026-05-06T10:52:00Z,2.85,97.33
2026-05-06T10:53:00Z,4.89,97.00
2026-05-06T10:54:00Z,5.87,96.00
2026-05-06T10:55:00Z,3.00,96.00
2026-05-06T10:56:00Z,9.47,95.87
2026-05-06T10:57:00Z,15.40,89.52
2026-05-06T10:58:00Z,13.08,91.15
2026-05-06T10:59:00Z,7.30,91.65
2026-05-06T11:00:00Z,8.40,90.64
2026-05-06T11:01:00Z,19.89,77.87
2026-05-06T11:02:00Z,23.24,76.95
2026-05-06T11:03:00Z,21.23,78.35
2026-05-06T11:04:00Z,19.41,79.93
2026-05-06T11:05:00Z,20.63,79.93
2026-05-06T11:06:00Z,21.16,78.82
2026-05-06T11:07:00Z,22.00,79.90
2026-05-06T11:08:00Z,28.00,73.00
2026-05-06T11:09:00Z,27.00,73.00
2026-05-06T11:10:00Z,24.78,74.75
2026-05-06T11:11:00Z,23.00,77.09
2026-05-06T11:12:00Z,22.00,77.52
2026-05-06T11:13:00Z,22.00,78.92
2026-05-06T11:14:00Z,17.12,81.83
2026-05-06T11:15:00Z,16.75,80.52
2026-05-06T11:16:00Z,22.15,79.86
2026-05-06T11:17:00Z,17.40,80.35
2026-05-06T11:18:00Z,17.40,87.72
2026-05-06T11:19:00Z,9.24,91.93
2026-05-06T11:20:00Z,10.52,92.12
2026-05-06T11:21:00Z,2.69,95.79
2026-05-06T11:22:00Z,1.02,98.86
2026-05-06T11:23:00Z,1.02,99.00
2026-05-06T11:24:00Z,1.02,99.00
2026-05-06T11:31:00Z,1.02,99.00
