# event_ticker=KXATPMATCH-25AUG07ETCSHA
# final_score=6-7(5) 7-6(4) 6-4
# score_resolution=6-7 7-6 6-4
# match_winner=Tomas Martin Etcheverry
# fav_player=Tomas Martin Etcheverry
# dog_player=Juncheng Shang
# kalshi_date=2025-08-07
timestamp,Tomas Martin Etcheverry,Juncheng Shang
2025-08-07T11:37:00Z,65.00,
2025-08-07T13:57:00Z,65.00,43.00
2025-08-07T15:59:00Z,65.00,42.00
2025-08-07T16:33:00Z,65.00,42.00
2025-08-07T16:48:00Z,59.00,42.00
2025-08-07T16:57:00Z,59.00,42.00
2025-08-07T17:49:00Z,59.00,41.00
2025-08-07T17:51:00Z,60.00,41.00
2025-08-07T17:57:00Z,60.00,40.00
2025-08-07T18:05:00Z,61.00,40.00
2025-08-07T18:14:00Z,61.86,40.00
2025-08-07T18:16:00Z,61.86,40.00
2025-08-07T18:19:00Z,61.94,40.00
2025-08-07T18:28:00Z,62.05,39.00
2025-08-07T18:31:00Z,61.00,39.00
2025-08-07T18:33:00Z,61.00,39.85
2025-08-07T18:38:00Z,62.00,39.85
2025-08-07T18:39:00Z,62.35,39.85
2025-08-07T18:42:00Z,62.00,39.85
2025-08-07T18:44:00Z,62.00,39.00
2025-08-07T18:46:00Z,62.38,39.00
2025-08-07T18:49:00Z,62.38,39.00
2025-08-07T18:50:00Z,62.55,39.00
2025-08-07T18:54:00Z,62.55,39.00
2025-08-07T18:56:00Z,62.55,39.00
2025-08-07T18:57:00Z,62.97,39.00
2025-08-07T19:02:00Z,63.00,39.00
2025-08-07T19:13:00Z,63.00,39.00
2025-08-07T19:16:00Z,63.00,39.00
2025-08-07T19:18:00Z,63.00,39.00
2025-08-07T19:27:00Z,63.00,40.49
2025-08-07T19:29:00Z,60.00,40.49
2025-08-07T19:30:00Z,63.00,40.49
2025-08-07T19:32:00Z,61.41,40.49
2025-08-07T19:33:00Z,61.41,41.00
2025-08-07T19:34:00Z,61.00,41.00
2025-08-07T19:36:00Z,61.00,41.26
2025-08-07T19:37:00Z,60.00,44.00
2025-08-07T19:38:00Z,58.28,44.85
2025-08-07T19:40:00Z,58.99,43.38
2025-08-07T19:41:00Z,58.00,44.00
2025-08-07T19:42:00Z,60.78,44.00
2025-08-07T19:43:00Z,62.32,44.00
2025-08-07T19:44:00Z,66.75,37.00
2025-08-07T19:45:00Z,66.75,35.21
2025-08-07T19:46:00Z,66.75,36.00
2025-08-07T19:47:00Z,66.75,41.00
2025-08-07T19:50:00Z,65.00,41.00
2025-08-07T19:51:00Z,57.00,45.00
2025-08-07T19:54:00Z,57.00,42.98
2025-08-07T19:57:00Z,64.62,36.00
2025-08-07T19:58:00Z,63.00,40.78
2025-08-07T20:00:00Z,63.00,41.00
2025-08-07T20:01:00Z,59.00,40.00
2025-08-07T20:02:00Z,62.58,40.00
2025-08-07T20:03:00Z,63.00,40.00
2025-08-07T20:04:00Z,63.00,39.36
2025-08-07T20:05:00Z,65.00,38.54
2025-08-07T20:06:00Z,64.80,38.54
2025-08-07T20:07:00Z,64.80,41.00
2025-08-07T20:08:00Z,64.80,41.81
2025-08-07T20:09:00Z,59.65,42.00
2025-08-07T20:10:00Z,59.65,43.00
2025-08-07T20:11:00Z,61.00,43.00
2025-08-07T20:12:00Z,61.00,42.00
2025-08-07T20:13:00Z,58.60,42.82
2025-08-07T20:14:00Z,58.60,45.18
2025-08-07T20:16:00Z,50.08,46.95
2025-08-07T20:17:00Z,47.00,56.00
2025-08-07T20:19:00Z,47.00,44.00
2025-08-07T20:20:00Z,58.63,44.00
2025-08-07T20:21:00Z,58.63,42.00
2025-08-07T20:22:00Z,69.00,42.00
2025-08-07T20:23:00Z,68.95,42.00
2025-08-07T20:24:00Z,59.00,41.52
