# event_ticker=KXATPMATCH-26APR27TSIMER
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Stefanos Tsitsipas
# fav_player=Daniel Merida
# dog_player=Stefanos Tsitsipas
# kalshi_date=2026-04-27
timestamp,Stefanos Tsitsipas,Daniel Merida
2026-04-27T00:23:00Z,,34.00
2026-04-27T00:34:00Z,,34.00
2026-04-27T00:37:00Z,68.00,34.00
2026-04-27T00:46:00Z,68.00,34.00
2026-04-27T00:49:00Z,68.00,34.00
2026-04-27T00:54:00Z,68.00,34.00
2026-04-27T00:55:00Z,68.00,34.00
2026-04-27T01:00:00Z,68.00,34.00
2026-04-27T01:01:00Z,68.00,34.00
2026-04-27T01:15:00Z,68.00,34.00
2026-04-27T01:23:00Z,68.00,34.00
2026-04-27T01:25:00Z,68.00,34.00
2026-04-27T01:31:00Z,67.00,34.00
2026-04-27T01:38:00Z,67.00,34.00
2026-04-27T01:40:00Z,67.00,34.00
2026-04-27T01:41:00Z,67.00,34.00
2026-04-27T01:42:00Z,68.40,34.00
2026-04-27T01:44:00Z,68.00,34.00
2026-04-27T01:45:00Z,69.00,34.00
2026-04-27T01:47:00Z,69.00,33.00
2026-04-27T01:52:00Z,68.00,33.00
2026-04-27T01:58:00Z,68.00,33.00
2026-04-27T01:59:00Z,68.00,33.00
2026-04-27T02:01:00Z,68.00,33.00
2026-04-27T02:02:00Z,67.00,33.00
2026-04-27T02:03:00Z,68.00,33.00
2026-04-27T02:10:00Z,68.00,33.00
2026-04-27T02:11:00Z,68.00,33.00
2026-04-27T02:13:00Z,68.00,35.53
2026-04-27T02:14:00Z,67.00,35.53
2026-04-27T02:15:00Z,67.00,36.00
2026-04-27T02:16:00Z,66.00,36.00
2026-04-27T02:18:00Z,65.00,36.00
2026-04-27T02:26:00Z,64.00,36.00
2026-04-27T02:27:00Z,65.00,36.00
2026-04-27T02:35:00Z,65.00,36.00
2026-04-27T02:41:00Z,65.00,36.00
2026-04-27T02:42:00Z,65.00,36.00
2026-04-27T02:44:00Z,65.00,36.50
2026-04-27T02:45:00Z,65.00,35.02
2026-04-27T02:49:00Z,65.00,35.02
2026-04-27T02:51:00Z,65.00,35.02
2026-04-27T02:56:00Z,65.00,35.02
2026-04-27T02:57:00Z,65.00,37.00
