# event_ticker=KXATPCHALLENGERMATCH-26MAY07FERTSE
# final_score=6-1 6-2
# score_resolution=1-6 2-6
# match_winner=Chun-Hsin Tseng
# fav_player=Frederico Ferreira Silva
# dog_player=Chun Hsin Tseng
# kalshi_date=2026-05-07
timestamp,Frederico Ferreira Silva,Chun Hsin Tseng
2026-05-07T06:12:00Z,45.00,
2026-05-07T06:14:00Z,46.00,
2026-05-07T06:42:00Z,46.00,
2026-05-07T09:15:00Z,44.00,
2026-05-07T09:46:00Z,44.00,56.00
2026-05-07T11:49:00Z,45.00,56.00
2026-05-07T13:08:00Z,45.00,56.00
2026-05-07T13:14:00Z,45.00,56.00
2026-05-07T13:55:00Z,45.00,56.00
2026-05-07T14:15:00Z,45.00,55.00
2026-05-07T14:21:00Z,46.00,55.00
2026-05-07T14:31:00Z,46.00,55.00
2026-05-07T14:32:00Z,46.00,55.00
2026-05-07T14:41:00Z,46.00,55.00
2026-05-07T14:51:00Z,46.00,55.00
2026-05-07T15:02:00Z,46.00,55.00
2026-05-07T15:08:00Z,46.00,55.00
2026-05-07T15:13:00Z,46.00,55.00
2026-05-07T15:28:00Z,46.00,55.00
2026-05-07T15:37:00Z,46.00,55.00
2026-05-07T15:38:00Z,46.00,55.00
2026-05-07T15:48:00Z,46.00,55.00
2026-05-07T15:52:00Z,46.00,56.00
2026-05-07T15:56:00Z,45.00,56.00
2026-05-07T15:57:00Z,45.00,56.00
2026-05-07T16:00:00Z,45.00,56.00
2026-05-07T16:01:00Z,45.00,56.00
2026-05-07T16:13:00Z,43.00,56.00
2026-05-07T16:14:00Z,43.00,57.75
2026-05-07T16:15:00Z,41.68,59.36
2026-05-07T16:16:00Z,44.99,60.96
2026-05-07T16:17:00Z,44.99,66.89
2026-05-07T16:18:00Z,44.99,67.00
2026-05-07T16:19:00Z,44.99,69.13
2026-05-07T16:20:00Z,32.00,67.10
2026-05-07T16:21:00Z,32.00,66.10
2026-05-07T16:22:00Z,34.00,65.48
2026-05-07T16:23:00Z,33.00,66.02
2026-05-07T16:24:00Z,33.00,70.00
2026-05-07T16:25:00Z,33.00,67.03
2026-05-07T16:26:00Z,33.00,71.00
2026-05-07T16:27:00Z,28.00,71.90
2026-05-07T16:28:00Z,29.00,72.86
2026-05-07T16:29:00Z,30.91,70.16
2026-05-07T16:30:00Z,33.00,68.03
2026-05-07T16:31:00Z,33.00,73.72
2026-05-07T16:32:00Z,25.00,75.19
2026-05-07T16:33:00Z,23.00,78.00
2026-05-07T16:34:00Z,21.00,78.28
2026-05-07T16:35:00Z,21.00,80.00
2026-05-07T16:36:00Z,21.00,80.00
2026-05-07T16:37:00Z,21.00,81.00
2026-05-07T16:38:00Z,20.00,81.00
2026-05-07T16:39:00Z,20.00,80.45
2026-05-07T16:40:00Z,20.00,82.00
2026-05-07T16:42:00Z,20.00,80.86
2026-05-07T16:43:00Z,20.00,81.00
2026-05-07T16:44:00Z,20.00,82.00
2026-05-07T16:45:00Z,19.00,83.00
2026-05-07T16:46:00Z,18.00,82.71
2026-05-07T16:47:00Z,18.00,83.96
2026-05-07T16:48:00Z,18.00,84.00
2026-05-07T16:49:00Z,15.05,85.98
2026-05-07T16:50:00Z,15.00,86.00
2026-05-07T16:51:00Z,14.00,86.00
2026-05-07T16:52:00Z,14.00,87.00
2026-05-07T16:53:00Z,14.00,85.16
2026-05-07T16:54:00Z,14.00,87.51
2026-05-07T16:55:00Z,15.00,86.00
2026-05-07T16:56:00Z,12.00,88.72
2026-05-07T16:57:00Z,12.00,89.80
2026-05-07T16:58:00Z,12.00,88.81
2026-05-07T16:59:00Z,10.00,92.71
2026-05-07T17:00:00Z,9.00,92.76
2026-05-07T17:01:00Z,8.98,91.00
2026-05-07T17:02:00Z,8.00,91.80
2026-05-07T17:03:00Z,5.44,95.00
2026-05-07T17:04:00Z,5.06,95.67
2026-05-07T17:05:00Z,5.00,94.99
2026-05-07T17:06:00Z,4.00,95.77
2026-05-07T17:07:00Z,5.11,95.88
2026-05-07T17:08:00Z,8.00,92.03
2026-05-07T17:09:00Z,6.00,93.63
2026-05-07T17:10:00Z,7.99,95.00
2026-05-07T17:11:00Z,7.99,93.00
2026-05-07T17:12:00Z,6.00,93.89
2026-05-07T17:13:00Z,6.00,94.00
2026-05-07T17:14:00Z,6.00,95.00
2026-05-07T17:15:00Z,4.89,95.23
2026-05-07T17:16:00Z,5.00,95.00
2026-05-07T17:17:00Z,5.00,96.00
2026-05-07T17:18:00Z,3.00,97.00
2026-05-07T17:19:00Z,3.25,97.00
2026-05-07T17:20:00Z,4.00,97.46
2026-05-07T17:21:00Z,3.00,97.65
2026-05-07T17:22:00Z,4.16,97.00
2026-05-07T17:23:00Z,5.00,95.03
2026-05-07T17:24:00Z,2.44,97.00
2026-05-07T17:25:00Z,4.00,97.71
2026-05-07T17:26:00Z,2.07,98.00
2026-05-07T17:27:00Z,2.07,98.00
2026-05-07T17:28:00Z,2.01,98.00
2026-05-07T17:29:00Z,2.03,98.00
2026-05-07T17:30:00Z,2.76,98.00
2026-05-07T17:31:00Z,2.96,97.06
2026-05-07T17:32:00Z,2.97,98.22
2026-05-07T17:33:00Z,2.97,98.76
2026-05-07T17:34:00Z,2.00,99.00
2026-05-07T17:35:00Z,1.54,99.00
2026-05-07T17:36:00Z,1.54,98.00
2026-05-07T17:37:00Z,2.00,98.30
2026-05-07T17:38:00Z,3.00,97.00
2026-05-07T17:39:00Z,3.00,97.04
2026-05-07T17:40:00Z,3.16,97.00
2026-05-07T17:41:00Z,2.03,98.09
2026-05-07T17:42:00Z,1.22,98.22
2026-05-07T17:43:00Z,1.22,99.00
2026-05-07T17:44:00Z,1.22,99.00
2026-05-07T17:45:00Z,1.00,99.00
2026-05-07T17:46:00Z,1.00,99.00
2026-05-07T17:48:00Z,1.00,99.00
2026-05-07T17:49:00Z,1.03,99.00
2026-05-07T17:50:00Z,1.00,99.00
2026-05-07T17:51:00Z,1.00,99.00
2026-05-07T17:52:00Z,1.00,99.00
2026-05-07T17:53:00Z,1.00,99.00
2026-05-07T17:57:00Z,1.00,99.00
