# event_ticker=KXATPCHALLENGERMATCH-26APR26KENBAS
# final_score=6-3 6-0
# score_resolution=3-6 0-6
# match_winner=Nishesh Basavareddy
# fav_player=Jack Kennedy
# dog_player=Nishesh Basavareddy
# kalshi_date=2026-04-26
timestamp,Jack Kennedy,Nishesh Basavareddy
2026-04-26T04:24:00Z,,66.00
2026-04-26T04:25:00Z,,68.00
2026-04-26T04:28:00Z,36.00,68.00
2026-04-26T04:37:00Z,38.00,68.00
2026-04-26T04:40:00Z,37.73,68.00
2026-04-26T04:45:00Z,35.00,68.00
2026-04-26T04:50:00Z,35.00,68.00
2026-04-26T04:54:00Z,35.00,68.00
2026-04-26T05:01:00Z,35.00,68.00
2026-04-26T05:06:00Z,35.00,68.00
2026-04-26T05:10:00Z,35.00,68.00
2026-04-26T05:11:00Z,34.00,68.00
2026-04-26T05:14:00Z,34.00,68.00
2026-04-26T05:16:00Z,34.00,68.00
2026-04-26T05:19:00Z,34.00,68.00
2026-04-26T05:20:00Z,34.00,68.00
2026-04-26T05:22:00Z,34.00,68.00
2026-04-26T05:24:00Z,34.00,68.00
2026-04-26T05:26:00Z,34.78,68.00
2026-04-26T05:27:00Z,34.00,68.00
2026-04-26T05:30:00Z,35.00,68.00
2026-04-26T05:31:00Z,35.00,68.00
2026-04-26T05:32:00Z,35.00,67.00
2026-04-26T05:34:00Z,40.00,67.00
2026-04-26T05:36:00Z,40.00,67.00
2026-04-26T05:39:00Z,36.00,68.00
2026-04-26T05:41:00Z,36.00,65.00
2026-04-26T05:44:00Z,37.00,65.00
2026-04-26T05:51:00Z,37.00,65.00
2026-04-26T06:00:00Z,37.00,65.00
2026-04-26T06:04:00Z,37.00,65.00
2026-04-26T06:21:00Z,33.00,65.00
2026-04-26T06:24:00Z,36.00,65.00
2026-04-26T06:36:00Z,34.00,65.00
2026-04-26T06:40:00Z,34.00,65.00
2026-04-26T06:49:00Z,34.00,65.00
2026-04-26T07:05:00Z,33.00,65.00
2026-04-26T07:11:00Z,33.00,65.00
2026-04-26T07:12:00Z,33.00,69.00
2026-04-26T07:17:00Z,33.00,69.00
2026-04-26T07:23:00Z,33.00,69.00
2026-04-26T07:24:00Z,33.00,69.00
2026-04-26T07:26:00Z,33.00,69.00
2026-04-26T07:31:00Z,33.00,69.00
2026-04-26T07:32:00Z,32.00,69.00
2026-04-26T07:38:00Z,33.00,69.00
2026-04-26T07:48:00Z,33.00,69.00
2026-04-26T07:54:00Z,33.00,69.00
2026-04-26T08:04:00Z,33.00,69.00
2026-04-26T08:10:00Z,33.00,69.00
2026-04-26T08:15:00Z,33.00,69.00
2026-04-26T08:17:00Z,33.00,69.00
2026-04-26T08:23:00Z,33.00,69.00
2026-04-26T08:27:00Z,33.00,70.00
2026-04-26T08:31:00Z,33.00,67.84
2026-04-26T08:33:00Z,33.00,67.84
2026-04-26T08:45:00Z,33.00,67.84
2026-04-26T08:56:00Z,33.00,67.84
2026-04-26T08:58:00Z,33.36,67.84
2026-04-26T09:15:00Z,33.00,67.84
2026-04-26T09:21:00Z,33.00,67.84
2026-04-26T09:23:00Z,33.34,67.84
2026-04-26T09:30:00Z,34.00,67.84
2026-04-26T09:37:00Z,34.00,67.84
2026-04-26T09:56:00Z,32.00,67.84
