# event_ticker=KXATPMATCH-25OCT14LAJETC
# final_score=7-6(5) 6-7(5) 6-3
# score_resolution=6-7 7-6 3-6
# match_winner=Tomas Martin Etcheverry
# fav_player=Mark Lajal
# dog_player=Tomas Martin Etcheverry
# kalshi_date=2025-10-14
timestamp,Mark Lajal,Tomas Martin Etcheverry
2025-10-14T03:09:00Z,,52.00
2025-10-14T03:23:00Z,55.00,52.00
2025-10-14T03:36:00Z,55.00,52.00
2025-10-14T03:44:00Z,55.00,52.00
2025-10-14T03:49:00Z,55.00,52.00
2025-10-14T04:02:00Z,55.00,46.00
2025-10-14T04:07:00Z,56.06,46.00
2025-10-14T04:37:00Z,56.06,45.00
2025-10-14T04:45:00Z,56.00,45.00
2025-10-14T04:46:00Z,56.00,45.00
2025-10-14T05:10:00Z,56.00,44.00
2025-10-14T05:34:00Z,56.00,44.00
2025-10-14T05:35:00Z,57.00,44.00
2025-10-14T05:51:00Z,57.00,44.00
2025-10-14T05:57:00Z,57.00,44.00
2025-10-14T05:59:00Z,57.00,44.00
2025-10-14T06:13:00Z,57.00,44.00
2025-10-14T06:29:00Z,57.00,44.00
2025-10-14T06:30:00Z,56.00,44.00
2025-10-14T07:03:00Z,57.00,44.00
2025-10-14T07:09:00Z,57.00,44.00
2025-10-14T07:12:00Z,57.00,42.19
2025-10-14T07:30:00Z,57.00,44.00
2025-10-14T07:37:00Z,57.00,44.00
2025-10-14T07:47:00Z,57.00,43.00
2025-10-14T08:03:00Z,57.00,43.00
2025-10-14T08:08:00Z,57.00,43.00
2025-10-14T08:12:00Z,57.10,43.00
2025-10-14T08:13:00Z,57.10,42.00
2025-10-14T08:29:00Z,57.10,43.00
2025-10-14T08:30:00Z,57.10,43.00
2025-10-14T08:43:00Z,58.00,43.00
2025-10-14T08:57:00Z,58.00,43.00
2025-10-14T09:07:00Z,58.00,43.00
2025-10-14T09:13:00Z,58.00,43.00
2025-10-14T09:28:00Z,58.00,43.00
2025-10-14T09:30:00Z,58.00,43.00
2025-10-14T09:32:00Z,58.00,43.00
2025-10-14T09:34:00Z,57.00,43.00
2025-10-14T09:53:00Z,57.00,44.00
2025-10-14T09:54:00Z,57.00,44.00
2025-10-14T09:58:00Z,57.00,44.00
2025-10-14T09:59:00Z,57.00,44.00
2025-10-14T10:01:00Z,56.00,44.00
2025-10-14T10:16:00Z,56.00,44.00
2025-10-14T10:29:00Z,56.00,45.00
2025-10-14T10:31:00Z,56.00,45.00
2025-10-14T10:41:00Z,56.00,45.00
2025-10-14T10:43:00Z,56.00,45.00
2025-10-14T10:44:00Z,56.00,45.00
2025-10-14T10:51:00Z,56.00,45.00
2025-10-14T10:52:00Z,56.00,46.00
2025-10-14T10:53:00Z,56.00,46.00
2025-10-14T10:55:00Z,56.00,46.00
2025-10-14T10:59:00Z,56.00,45.00
2025-10-14T11:07:00Z,57.03,45.00
2025-10-14T11:09:00Z,57.03,45.00
2025-10-14T11:10:00Z,57.00,45.00
2025-10-14T11:11:00Z,57.00,46.00
2025-10-14T11:12:00Z,57.00,47.00
2025-10-14T11:13:00Z,55.78,44.00
2025-10-14T11:15:00Z,56.00,46.42
2025-10-14T11:16:00Z,54.55,46.11
2025-10-14T11:17:00Z,58.98,46.11
2025-10-14T11:18:00Z,64.00,35.36
2025-10-14T11:19:00Z,64.00,30.00
2025-10-14T11:20:00Z,74.98,30.00
2025-10-14T11:21:00Z,80.17,25.00
2025-10-14T11:22:00Z,80.17,26.00
2025-10-14T11:23:00Z,77.25,26.00
2025-10-14T11:25:00Z,76.65,25.75
2025-10-14T11:26:00Z,76.00,27.00
2025-10-14T11:27:00Z,76.00,25.00
2025-10-14T11:28:00Z,68.02,32.00
2025-10-14T11:29:00Z,68.02,37.00
2025-10-14T11:30:00Z,68.02,43.00
2025-10-14T11:32:00Z,69.00,43.00
2025-10-14T11:33:00Z,69.00,37.00
2025-10-14T11:34:00Z,60.00,37.00
2025-10-14T11:37:00Z,63.00,44.23
2025-10-14T11:38:00Z,60.33,44.23
2025-10-14T11:40:00Z,60.88,44.23
2025-10-14T11:42:00Z,60.00,42.00
2025-10-14T11:43:00Z,63.00,37.00
2025-10-14T11:46:00Z,63.00,45.00
2025-10-14T11:48:00Z,56.14,45.00
2025-10-14T11:49:00Z,56.14,46.17
2025-10-14T11:50:00Z,61.00,39.01
2025-10-14T11:51:00Z,61.00,48.00
2025-10-14T11:52:00Z,61.00,46.01
2025-10-14T11:53:00Z,61.00,43.00
2025-10-14T11:54:00Z,56.69,45.00
2025-10-14T11:55:00Z,54.70,49.06
2025-10-14T11:56:00Z,55.00,46.06
2025-10-14T11:57:00Z,54.27,46.50
2025-10-14T11:58:00Z,54.27,41.67
2025-10-14T11:59:00Z,58.00,43.00
2025-10-14T12:00:00Z,59.77,43.00
2025-10-14T12:01:00Z,57.81,45.03
2025-10-14T12:02:00Z,57.81,46.00
2025-10-14T12:03:00Z,53.88,48.00
2025-10-14T12:04:00Z,55.00,48.00
