# event_ticker=KXATPCHALLENGERMATCH-26MAY12KARSUR
# final_score=6-4 7-6(7)
# score_resolution=4-6 6-7
# match_winner=Manish Sureshkumar
# fav_player=Ronit Karki
# dog_player=Manish Sureshkumar
# kalshi_date=2026-05-12
timestamp,Ronit Karki,Manish Sureshkumar
2026-05-11T23:26:00Z,41.00,
2026-05-12T01:25:00Z,40.00,
2026-05-12T02:15:00Z,40.00,
2026-05-12T03:39:00Z,40.00,
2026-05-12T03:43:00Z,40.00,
2026-05-12T03:59:00Z,41.00,
2026-05-12T05:13:00Z,40.00,
2026-05-12T05:22:00Z,40.00,
2026-05-12T05:33:00Z,40.00,61.00
2026-05-12T05:35:00Z,40.00,61.00
2026-05-12T05:37:00Z,40.00,61.00
2026-05-12T05:38:00Z,40.00,61.00
2026-05-12T05:41:00Z,40.00,61.00
2026-05-12T05:43:00Z,40.00,61.00
2026-05-12T05:44:00Z,40.00,61.00
2026-05-12T05:45:00Z,40.00,61.00
2026-05-12T05:47:00Z,40.00,61.00
2026-05-12T06:04:00Z,40.00,61.00
2026-05-12T06:07:00Z,40.00,61.00
2026-05-12T06:08:00Z,40.00,61.00
2026-05-12T06:09:00Z,40.00,61.00
2026-05-12T06:13:00Z,40.00,61.00
2026-05-12T06:16:00Z,40.00,61.00
2026-05-12T06:17:00Z,40.00,61.00
2026-05-12T06:24:00Z,40.00,61.00
2026-05-12T06:26:00Z,40.00,61.00
2026-05-12T06:27:00Z,40.00,61.00
2026-05-12T06:34:00Z,40.00,61.00
2026-05-12T06:37:00Z,40.00,61.00
2026-05-12T06:38:00Z,40.00,60.00
2026-05-12T06:42:00Z,41.00,60.00
2026-05-12T06:49:00Z,41.00,60.00
2026-05-12T06:58:00Z,41.00,61.00
2026-05-12T07:00:00Z,41.00,61.00
2026-05-12T07:02:00Z,41.00,61.00
2026-05-12T07:08:00Z,41.00,61.00
2026-05-12T07:09:00Z,41.00,61.00
2026-05-12T07:11:00Z,41.00,61.00
2026-05-12T07:12:00Z,38.10,61.00
2026-05-12T07:21:00Z,38.10,60.99
2026-05-12T07:22:00Z,38.10,61.00
2026-05-12T07:28:00Z,40.00,61.00
2026-05-12T07:29:00Z,40.00,62.82
2026-05-12T07:30:00Z,40.00,62.00
2026-05-12T07:31:00Z,41.00,62.00
2026-05-12T07:32:00Z,41.00,62.51
2026-05-12T07:33:00Z,40.00,62.00
2026-05-12T07:34:00Z,40.00,62.00
2026-05-12T07:35:00Z,40.00,61.00
2026-05-12T07:36:00Z,41.88,60.00
2026-05-12T07:37:00Z,41.90,60.00
2026-05-12T07:38:00Z,42.01,60.00
2026-05-12T07:39:00Z,45.31,56.53
2026-05-12T07:40:00Z,44.49,56.46
2026-05-12T07:41:00Z,40.00,60.00
2026-05-12T07:42:00Z,41.98,57.00
2026-05-12T07:43:00Z,42.00,59.00
2026-05-12T07:44:00Z,45.00,55.97
2026-05-12T07:45:00Z,45.00,56.73
2026-05-12T07:46:00Z,43.51,59.17
2026-05-12T07:47:00Z,41.91,59.94
2026-05-12T07:48:00Z,37.70,61.68
2026-05-12T07:49:00Z,39.11,62.67
2026-05-12T07:50:00Z,40.01,60.00
2026-05-12T07:51:00Z,40.34,59.00
2026-05-12T07:52:00Z,44.73,56.11
2026-05-12T07:53:00Z,44.89,55.82
2026-05-12T07:54:00Z,52.96,49.53
2026-05-12T07:55:00Z,48.83,55.20
2026-05-12T07:56:00Z,42.60,58.55
2026-05-12T07:57:00Z,32.58,65.02
2026-05-12T07:58:00Z,33.24,66.24
2026-05-12T07:59:00Z,30.13,73.74
2026-05-12T08:00:00Z,23.55,76.96
2026-05-12T08:01:00Z,24.59,78.72
2026-05-12T08:02:00Z,22.05,80.01
2026-05-12T08:03:00Z,18.11,81.00
2026-05-12T08:04:00Z,20.14,79.02
2026-05-12T08:05:00Z,20.58,79.26
2026-05-12T08:06:00Z,17.48,82.39
2026-05-12T08:07:00Z,16.03,83.04
2026-05-12T08:08:00Z,19.25,81.00
2026-05-12T08:09:00Z,20.78,80.54
2026-05-12T08:10:00Z,20.98,80.64
2026-05-12T08:11:00Z,16.00,84.00
2026-05-12T08:12:00Z,16.00,84.84
2026-05-12T08:13:00Z,15.73,85.00
2026-05-12T08:14:00Z,16.06,85.90
2026-05-12T08:15:00Z,17.38,84.96
2026-05-12T08:16:00Z,14.05,86.65
2026-05-12T08:17:00Z,14.09,86.07
2026-05-12T08:18:00Z,18.67,82.00
2026-05-12T08:19:00Z,19.18,81.31
2026-05-12T08:20:00Z,24.18,75.26
2026-05-12T08:21:00Z,21.81,78.16
2026-05-12T08:22:00Z,17.84,82.89
2026-05-12T08:23:00Z,18.00,85.48
2026-05-12T08:24:00Z,10.93,87.44
2026-05-12T08:25:00Z,16.58,83.33
2026-05-12T08:26:00Z,19.16,80.23
2026-05-12T08:27:00Z,21.61,78.31
2026-05-12T08:28:00Z,21.38,79.55
2026-05-12T08:29:00Z,25.11,75.99
2026-05-12T08:30:00Z,22.19,77.66
2026-05-12T08:31:00Z,24.61,78.22
2026-05-12T08:32:00Z,19.66,81.01
2026-05-12T08:33:00Z,22.28,78.20
2026-05-12T08:34:00Z,23.88,77.00
2026-05-12T08:35:00Z,23.89,76.07
2026-05-12T08:36:00Z,26.15,75.96
2026-05-12T08:37:00Z,23.37,75.32
2026-05-12T08:38:00Z,21.01,79.98
2026-05-12T08:39:00Z,22.75,77.89
2026-05-12T08:40:00Z,25.27,77.89
2026-05-12T08:41:00Z,25.24,77.89
2026-05-12T08:42:00Z,23.00,78.46
2026-05-12T08:43:00Z,21.95,78.70
2026-05-12T08:44:00Z,23.46,75.98
2026-05-12T08:45:00Z,25.55,74.99
2026-05-12T08:46:00Z,19.01,80.69
2026-05-12T08:47:00Z,19.24,80.18
2026-05-12T08:48:00Z,10.15,87.83
2026-05-12T08:49:00Z,8.90,91.17
2026-05-12T08:50:00Z,15.89,85.87
2026-05-12T08:51:00Z,22.72,79.61
2026-05-12T08:52:00Z,19.39,82.16
2026-05-12T08:53:00Z,20.97,81.07
2026-05-12T08:54:00Z,19.01,79.16
2026-05-12T08:55:00Z,24.67,77.00
2026-05-12T08:56:00Z,25.42,76.95
2026-05-12T08:57:00Z,21.80,80.50
2026-05-12T08:58:00Z,20.13,80.83
2026-05-12T08:59:00Z,19.66,82.75
2026-05-12T09:00:00Z,22.32,78.18
2026-05-12T09:01:00Z,22.85,78.00
2026-05-12T09:02:00Z,23.55,78.00
2026-05-12T09:03:00Z,22.65,78.00
2026-05-12T09:04:00Z,20.43,79.09
2026-05-12T09:05:00Z,21.28,77.95
2026-05-12T09:06:00Z,21.93,77.66
2026-05-12T09:07:00Z,21.27,77.28
2026-05-12T09:08:00Z,19.01,83.89
2026-05-12T09:09:00Z,12.18,87.04
2026-05-12T09:10:00Z,8.37,92.21
2026-05-12T09:11:00Z,2.88,96.59
2026-05-12T09:12:00Z,4.39,96.29
2026-05-12T09:13:00Z,3.31,97.25
2026-05-12T09:14:00Z,2.77,95.76
2026-05-12T09:15:00Z,5.61,94.08
2026-05-12T09:16:00Z,7.98,92.03
2026-05-12T09:17:00Z,16.78,85.26
2026-05-12T09:18:00Z,14.38,88.26
2026-05-12T09:19:00Z,19.42,80.92
2026-05-12T09:20:00Z,24.71,78.67
2026-05-12T09:21:00Z,16.58,88.05
2026-05-12T09:22:00Z,1.31,97.79
2026-05-12T09:23:00Z,1.00,99.00
2026-05-12T09:24:00Z,1.00,99.00
2026-05-12T09:25:00Z,1.00,99.00
2026-05-12T09:26:00Z,1.00,99.00
2026-05-12T09:27:00Z,1.00,99.00
