# event_ticker=KXATPMATCH-26JAN11NAVBAE
# final_score=4-6 7-5 6-3
# score_resolution=6-4 5-7 3-6
# match_winner=Sebastian Baez
# fav_player=Emilio Nava
# dog_player=Sebastian Baez
# kalshi_date=2026-01-11
timestamp,Emilio Nava,Sebastian Baez
2026-01-11T20:12:00Z,,45.00
2026-01-11T21:35:00Z,,45.00
2026-01-11T22:12:00Z,,45.00
2026-01-12T00:26:00Z,,45.00
2026-01-12T01:38:00Z,56.00,45.00
2026-01-12T01:42:00Z,56.00,45.00
2026-01-12T01:55:00Z,56.00,45.00
2026-01-12T01:59:00Z,56.00,45.00
2026-01-12T02:38:00Z,56.00,45.00
2026-01-12T03:22:00Z,56.00,45.00
2026-01-12T03:35:00Z,55.00,45.00
2026-01-12T03:49:00Z,55.00,45.00
2026-01-12T03:52:00Z,55.00,44.00
2026-01-12T04:01:00Z,55.00,45.00
2026-01-12T04:05:00Z,55.00,45.00
2026-01-12T04:11:00Z,55.00,45.00
2026-01-12T04:21:00Z,55.00,45.00
2026-01-12T04:22:00Z,55.00,45.00
2026-01-12T04:26:00Z,55.00,45.00
2026-01-12T04:29:00Z,55.00,45.00
2026-01-12T04:32:00Z,55.00,45.00
2026-01-12T04:36:00Z,55.00,46.00
2026-01-12T04:39:00Z,55.00,46.00
2026-01-12T04:45:00Z,55.00,46.00
2026-01-12T04:46:00Z,55.00,46.00
2026-01-12T04:47:00Z,55.00,46.00
2026-01-12T04:48:00Z,55.00,46.00
2026-01-12T04:50:00Z,55.00,46.00
2026-01-12T04:51:00Z,55.00,46.00
2026-01-12T04:52:00Z,55.00,46.00
2026-01-12T04:54:00Z,55.00,44.00
2026-01-12T04:55:00Z,55.00,46.00
2026-01-12T05:00:00Z,55.00,46.00
2026-01-12T05:01:00Z,55.00,46.00
2026-01-12T05:04:00Z,55.00,46.00
2026-01-12T05:06:00Z,55.00,46.00
2026-01-12T05:09:00Z,55.00,46.00
2026-01-12T05:14:00Z,55.00,46.00
2026-01-12T05:17:00Z,55.00,46.00
2026-01-12T05:18:00Z,55.00,46.00
2026-01-12T05:21:00Z,55.00,46.00
2026-01-12T05:22:00Z,56.00,46.00
2026-01-12T05:27:00Z,56.00,46.00
2026-01-12T05:29:00Z,55.00,46.00
2026-01-12T05:30:00Z,55.00,46.00
