# event_ticker=KXATPCHALLENGERMATCH-26APR02VARDIA
# final_score=6-3 7-6(4)
# score_resolution=3-6 6-7
# match_winner=Facundo Diaz Acosta
# fav_player=Juan Pablo Varillas
# dog_player=Facundo Diaz Acosta
# kalshi_date=2026-04-02
timestamp,Juan Pablo Varillas,Facundo Diaz Acosta
2026-04-02T05:13:00Z,,68.00
2026-04-02T05:41:00Z,,66.00
2026-04-02T06:07:00Z,,68.00
2026-04-02T09:21:00Z,,68.00
2026-04-02T09:40:00Z,,68.00
2026-04-02T09:51:00Z,,69.00
2026-04-02T09:56:00Z,,69.00
2026-04-02T10:07:00Z,,69.00
2026-04-02T10:19:00Z,,69.00
2026-04-02T12:15:00Z,,69.00
2026-04-02T12:28:00Z,32.00,69.00
2026-04-02T12:36:00Z,32.00,69.00
2026-04-02T12:39:00Z,32.00,69.00
2026-04-02T13:11:00Z,32.00,69.00
2026-04-02T13:13:00Z,32.00,69.00
2026-04-02T13:17:00Z,32.00,69.00
2026-04-02T13:21:00Z,32.00,69.00
2026-04-02T13:30:00Z,32.00,69.00
2026-04-02T13:33:00Z,32.00,69.00
2026-04-02T13:34:00Z,32.00,69.00
2026-04-02T13:45:00Z,32.00,69.00
2026-04-02T13:52:00Z,32.00,69.00
2026-04-02T13:59:00Z,32.00,69.00
2026-04-02T14:04:00Z,32.00,69.00
2026-04-02T14:05:00Z,32.00,69.00
2026-04-02T14:06:00Z,31.89,69.00
2026-04-02T14:08:00Z,32.00,69.00
2026-04-02T14:09:00Z,32.64,68.87
2026-04-02T14:10:00Z,32.00,69.00
2026-04-02T14:11:00Z,31.27,69.00
2026-04-02T14:12:00Z,29.79,70.45
2026-04-02T14:13:00Z,26.93,74.95
2026-04-02T14:14:00Z,27.00,74.04
2026-04-02T14:15:00Z,27.35,71.53
2026-04-02T14:16:00Z,28.61,73.95
2026-04-02T14:17:00Z,29.02,72.00
2026-04-02T14:18:00Z,29.71,72.13
2026-04-02T14:19:00Z,31.42,71.31
2026-04-02T14:20:00Z,35.54,66.50
2026-04-02T14:21:00Z,37.41,62.84
2026-04-02T14:22:00Z,40.03,64.15
2026-04-02T14:23:00Z,44.21,55.65
2026-04-02T14:24:00Z,47.00,53.93
2026-04-02T14:25:00Z,44.85,56.74
2026-04-02T14:26:00Z,44.95,55.39
2026-04-02T14:27:00Z,48.72,54.58
2026-04-02T14:28:00Z,50.52,50.83
2026-04-02T14:29:00Z,45.27,56.05
2026-04-02T14:30:00Z,38.13,59.86
2026-04-02T14:31:00Z,33.25,70.10
2026-04-02T14:32:00Z,32.05,67.17
2026-04-02T14:33:00Z,30.07,70.84
2026-04-02T14:34:00Z,27.05,73.48
2026-04-02T14:35:00Z,29.82,72.08
2026-04-02T14:36:00Z,27.27,73.99
2026-04-02T14:37:00Z,26.90,75.18
2026-04-02T14:38:00Z,26.23,74.83
2026-04-02T14:39:00Z,28.53,71.98
2026-04-02T14:40:00Z,26.11,75.57
2026-04-02T14:41:00Z,30.00,72.00
2026-04-02T14:42:00Z,30.26,69.40
2026-04-02T14:43:00Z,33.93,66.87
2026-04-02T14:44:00Z,30.33,68.66
2026-04-02T14:45:00Z,28.78,73.44
2026-04-02T14:46:00Z,22.20,73.85
2026-04-02T14:47:00Z,26.33,73.94
2026-04-02T14:48:00Z,27.00,73.96
2026-04-02T14:49:00Z,23.48,75.06
2026-04-02T14:50:00Z,19.78,79.45
2026-04-02T14:51:00Z,17.19,81.39
2026-04-02T14:52:00Z,17.46,83.82
2026-04-02T14:53:00Z,12.07,86.16
2026-04-02T14:54:00Z,12.78,87.99
2026-04-02T14:55:00Z,12.10,88.94
2026-04-02T14:56:00Z,12.53,88.89
2026-04-02T14:57:00Z,13.30,88.72
2026-04-02T14:58:00Z,12.01,87.84
2026-04-02T14:59:00Z,12.00,88.85
2026-04-02T15:00:00Z,12.00,88.76
2026-04-02T15:01:00Z,12.12,88.48
2026-04-02T15:02:00Z,12.99,87.78
2026-04-02T15:03:00Z,12.93,88.89
2026-04-02T15:04:00Z,13.46,88.03
2026-04-02T15:05:00Z,13.18,87.81
2026-04-02T15:06:00Z,13.97,87.94
2026-04-02T15:07:00Z,14.22,87.61
2026-04-02T15:08:00Z,14.82,86.92
2026-04-02T15:09:00Z,16.38,86.44
2026-04-02T15:10:00Z,16.93,84.16
