# event_ticker=KXATPCHALLENGERMATCH-26MAY28HSUBRU
# final_score=6-2 3-6 6-2
# match_winner=Yu Hsiou Hsu
# fav_player=Yu Hsiou Hsu
# dog_player=Mika Brunold
# kalshi_date=2026-05-28
timestamp,Yu Hsiou Hsu,Mika Brunold
2026-05-27T21:47:00Z,,61.00
2026-05-27T22:43:00Z,,64.00
2026-05-28T00:51:00Z,38.00,64.00
2026-05-28T03:05:00Z,38.00,64.00
2026-05-28T03:17:00Z,38.00,62.00
2026-05-28T03:31:00Z,38.00,61.00
2026-05-28T03:46:00Z,39.00,61.65
2026-05-28T03:54:00Z,39.00,61.65
2026-05-28T04:25:00Z,39.00,61.59
2026-05-28T04:26:00Z,39.00,62.93
2026-05-28T04:51:00Z,39.00,62.00
2026-05-28T05:18:00Z,39.00,62.00
2026-05-28T06:06:00Z,39.00,62.66
2026-05-28T06:11:00Z,39.00,62.29
2026-05-28T06:36:00Z,39.00,62.00
2026-05-28T06:40:00Z,39.00,62.00
2026-05-28T06:42:00Z,39.00,63.00
2026-05-28T09:06:00Z,39.00,64.00
2026-05-28T09:12:00Z,37.00,64.00
2026-05-28T09:13:00Z,42.27,60.00
2026-05-28T09:14:00Z,44.00,57.00
2026-05-28T09:15:00Z,44.00,59.53
2026-05-28T09:18:00Z,43.98,59.53
2026-05-28T09:19:00Z,42.00,57.15
2026-05-28T09:20:00Z,43.31,57.15
2026-05-28T09:21:00Z,43.00,57.15
2026-05-28T09:22:00Z,43.00,57.00
2026-05-28T09:24:00Z,46.00,57.00
2026-05-28T09:25:00Z,47.98,57.00
2026-05-28T09:27:00Z,48.39,50.00
2026-05-28T09:28:00Z,57.88,49.94
2026-05-28T09:29:00Z,60.00,40.00
2026-05-28T09:30:00Z,63.29,36.87
2026-05-28T09:31:00Z,65.00,35.00
2026-05-28T09:33:00Z,64.00,36.78
2026-05-28T09:34:00Z,64.00,35.00
2026-05-28T09:35:00Z,64.00,38.00
2026-05-28T09:36:00Z,63.00,38.00
