# event_ticker=KXATPCHALLENGERMATCH-26MAR18ABOSCH
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Valerio Aboian
# fav_player=Joao Eduardo Schiessl
# dog_player=Valerio Aboian
# kalshi_date=2026-03-18
timestamp,Joao Eduardo Schiessl,Valerio Aboian
2026-03-18T08:47:00Z,,47.00
2026-03-18T09:03:00Z,57.00,47.00
2026-03-18T10:10:00Z,57.00,47.00
2026-03-18T10:29:00Z,57.00,43.00
2026-03-18T15:42:00Z,57.00,44.61
2026-03-18T15:43:00Z,57.00,45.00
2026-03-18T15:46:00Z,57.00,44.13
2026-03-18T15:51:00Z,58.00,44.13
2026-03-18T15:53:00Z,58.00,45.00
2026-03-18T16:00:00Z,58.00,46.00
2026-03-18T16:04:00Z,58.00,46.00
2026-03-18T16:08:00Z,57.00,46.00
2026-03-18T16:23:00Z,57.00,46.00
2026-03-18T16:26:00Z,57.00,46.00
2026-03-18T16:27:00Z,57.00,46.00
2026-03-18T16:32:00Z,57.00,46.00
2026-03-18T16:34:00Z,57.00,46.00
2026-03-18T16:35:00Z,57.00,46.00
2026-03-18T16:42:00Z,57.00,46.00
2026-03-18T16:55:00Z,57.00,46.00
2026-03-18T16:56:00Z,57.56,46.00
2026-03-18T17:05:00Z,57.56,46.00
2026-03-18T17:08:00Z,57.00,46.00
2026-03-18T17:09:00Z,57.00,46.00
2026-03-18T17:10:00Z,57.00,45.00
2026-03-18T17:13:00Z,56.00,45.00
2026-03-18T17:20:00Z,56.00,45.00
2026-03-18T17:23:00Z,56.00,45.00
2026-03-18T17:36:00Z,56.00,45.00
2026-03-18T17:38:00Z,57.00,45.00
2026-03-18T17:42:00Z,57.00,45.00
2026-03-18T17:55:00Z,56.00,45.00
2026-03-18T17:57:00Z,56.50,45.00
2026-03-18T17:58:00Z,56.50,45.00
2026-03-18T18:01:00Z,58.00,45.00
2026-03-18T18:04:00Z,58.00,45.43
2026-03-18T18:07:00Z,57.00,45.43
2026-03-18T18:08:00Z,57.00,45.43
2026-03-18T18:09:00Z,57.00,45.00
2026-03-18T18:10:00Z,57.00,44.50
2026-03-18T18:11:00Z,58.00,44.50
2026-03-18T18:12:00Z,59.62,40.00
2026-03-18T18:13:00Z,56.81,46.47
2026-03-18T18:14:00Z,56.00,40.00
2026-03-18T18:15:00Z,63.74,38.01
2026-03-18T18:16:00Z,63.70,36.18
2026-03-18T18:17:00Z,63.70,36.16
2026-03-18T18:18:00Z,68.45,32.00
2026-03-18T18:19:00Z,71.50,24.28
2026-03-18T18:20:00Z,75.00,26.00
2026-03-18T18:21:00Z,77.11,25.86
2026-03-18T18:22:00Z,78.97,24.50
2026-03-18T18:23:00Z,78.00,23.00
2026-03-18T18:24:00Z,74.00,26.98
2026-03-18T18:25:00Z,72.01,28.95
2026-03-18T18:26:00Z,78.94,24.00
2026-03-18T18:27:00Z,78.00,24.00
2026-03-18T18:28:00Z,78.58,22.00
2026-03-18T18:29:00Z,80.04,18.97
2026-03-18T18:30:00Z,80.00,18.97
2026-03-18T18:31:00Z,80.60,20.00
2026-03-18T18:32:00Z,79.98,22.00
2026-03-18T18:33:00Z,77.70,23.02
2026-03-18T18:34:00Z,77.32,23.00
2026-03-18T18:35:00Z,78.00,22.57
2026-03-18T18:36:00Z,78.00,29.17
2026-03-18T18:37:00Z,76.22,27.85
2026-03-18T18:38:00Z,62.23,32.60
2026-03-18T18:39:00Z,63.00,38.13
2026-03-18T18:40:00Z,61.15,38.00
2026-03-18T18:41:00Z,61.00,38.00
2026-03-18T18:42:00Z,62.63,38.00
2026-03-18T18:43:00Z,59.97,44.81
2026-03-18T18:44:00Z,57.00,44.00
2026-03-18T18:45:00Z,59.00,44.03
2026-03-18T18:46:00Z,56.67,44.03
2026-03-18T18:47:00Z,55.00,44.61
2026-03-18T18:48:00Z,45.35,52.70
2026-03-18T18:49:00Z,38.15,60.99
2026-03-18T18:50:00Z,39.00,61.78
2026-03-18T18:51:00Z,38.09,64.58
2026-03-18T18:52:00Z,34.61,66.84
2026-03-18T18:53:00Z,32.98,68.64
2026-03-18T18:54:00Z,33.46,65.97
2026-03-18T18:55:00Z,36.00,65.00
2026-03-18T18:56:00Z,36.05,64.95
2026-03-18T18:57:00Z,46.74,59.00
2026-03-18T18:58:00Z,52.83,47.13
2026-03-18T18:59:00Z,43.28,53.72
2026-03-18T19:00:00Z,45.72,57.84
2026-03-18T19:01:00Z,29.02,70.00
2026-03-18T19:02:00Z,29.00,71.25
2026-03-18T19:03:00Z,28.92,72.98
2026-03-18T19:04:00Z,28.75,72.37
2026-03-18T19:05:00Z,28.99,72.94
2026-03-18T19:06:00Z,28.32,71.77
2026-03-18T19:07:00Z,28.84,72.00
2026-03-18T19:08:00Z,29.16,72.00
2026-03-18T19:09:00Z,31.59,68.99
2026-03-18T19:10:00Z,37.26,68.34
2026-03-18T19:11:00Z,35.30,66.00
2026-03-18T19:12:00Z,37.06,65.01
2026-03-18T19:13:00Z,40.04,61.68
2026-03-18T19:14:00Z,45.31,57.00
2026-03-18T19:15:00Z,49.63,55.72
2026-03-18T19:16:00Z,47.07,52.69
2026-03-18T19:17:00Z,45.72,52.69
2026-03-18T19:18:00Z,48.35,54.66
2026-03-18T19:19:00Z,41.68,57.00
2026-03-18T19:20:00Z,37.77,65.20
