# event_ticker=KXATPCHALLENGERMATCH-26APR07KASVAN
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Luca Van Assche
# fav_player=Maks Kasnikowski
# dog_player=Luca Van Assche
# kalshi_date=2026-04-07
timestamp,Maks Kasnikowski,Luca Van Assche
2026-04-06T23:11:00Z,,75.00
2026-04-06T23:12:00Z,,76.00
2026-04-07T00:29:00Z,,75.00
2026-04-07T01:20:00Z,,75.00
2026-04-07T01:26:00Z,,75.38
2026-04-07T01:54:00Z,,75.00
2026-04-07T02:05:00Z,,75.00
2026-04-07T02:14:00Z,,75.00
2026-04-07T03:50:00Z,,75.00
2026-04-07T04:00:00Z,,75.00
2026-04-07T04:10:00Z,,75.00
2026-04-07T04:32:00Z,,75.00
2026-04-07T04:38:00Z,,75.76
2026-04-07T04:41:00Z,,76.00
2026-04-07T04:51:00Z,,75.00
2026-04-07T05:11:00Z,27.00,75.00
2026-04-07T05:28:00Z,27.00,75.79
2026-04-07T05:31:00Z,27.00,76.00
2026-04-07T05:36:00Z,27.00,76.00
2026-04-07T05:37:00Z,27.00,76.00
2026-04-07T05:41:00Z,27.00,76.00
2026-04-07T05:53:00Z,27.00,76.00
2026-04-07T06:20:00Z,26.00,76.00
2026-04-07T07:35:00Z,25.00,76.00
2026-04-07T07:45:00Z,25.00,75.74
2026-04-07T07:46:00Z,25.00,76.00
2026-04-07T07:51:00Z,26.00,76.00
2026-04-07T07:53:00Z,26.00,76.00
2026-04-07T07:55:00Z,26.00,76.00
2026-04-07T07:56:00Z,26.00,76.00
2026-04-07T07:57:00Z,26.00,76.00
2026-04-07T07:59:00Z,26.00,76.00
2026-04-07T08:05:00Z,26.00,76.00
2026-04-07T08:06:00Z,25.00,76.00
2026-04-07T08:07:00Z,27.00,76.00
2026-04-07T08:08:00Z,27.00,77.00
2026-04-07T08:10:00Z,26.66,77.00
2026-04-07T08:11:00Z,25.61,77.00
2026-04-07T08:12:00Z,25.01,80.64
2026-04-07T08:13:00Z,16.73,82.92
2026-04-07T08:14:00Z,17.00,82.54
2026-04-07T08:15:00Z,16.00,82.00
2026-04-07T08:16:00Z,16.58,84.00
2026-04-07T08:17:00Z,17.00,86.08
2026-04-07T08:18:00Z,15.00,84.00
2026-04-07T08:19:00Z,16.64,86.00
2026-04-07T08:21:00Z,18.84,83.13
2026-04-07T08:22:00Z,26.38,79.00
2026-04-07T08:23:00Z,26.00,74.73
