# event_ticker=KXATPMATCH-26JAN14MARRUU
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Fabian Marozsan
# fav_player=Casper Ruud
# dog_player=Fabian Marozsan
# kalshi_date=2026-01-14
timestamp,Casper Ruud,Fabian Marozsan
2026-01-13T19:20:00Z,67.00,
2026-01-13T20:16:00Z,66.00,
2026-01-13T20:21:00Z,66.00,
2026-01-13T20:23:00Z,64.00,
2026-01-13T20:28:00Z,64.00,
2026-01-13T20:52:00Z,66.00,
2026-01-13T21:08:00Z,66.00,36.00
2026-01-13T21:59:00Z,65.00,36.00
2026-01-13T22:20:00Z,65.00,36.00
2026-01-13T23:04:00Z,65.00,36.00
2026-01-13T23:32:00Z,65.00,36.00
2026-01-13T23:51:00Z,65.00,36.00
2026-01-13T23:57:00Z,65.00,36.00
2026-01-13T23:58:00Z,65.04,36.00
2026-01-13T23:59:00Z,64.00,36.00
2026-01-14T00:00:00Z,66.00,36.00
2026-01-14T00:29:00Z,66.00,36.00
2026-01-14T00:58:00Z,66.00,36.00
2026-01-14T01:23:00Z,66.00,36.00
2026-01-14T01:45:00Z,66.00,36.00
2026-01-14T01:56:00Z,66.00,36.00
2026-01-14T02:03:00Z,66.00,36.00
2026-01-14T02:05:00Z,66.00,36.00
2026-01-14T02:14:00Z,66.00,36.00
2026-01-14T02:17:00Z,66.00,36.00
2026-01-14T02:27:00Z,64.00,36.00
2026-01-14T03:04:00Z,66.00,36.00
2026-01-14T03:08:00Z,66.00,36.00
2026-01-14T03:18:00Z,66.00,36.00
2026-01-14T03:19:00Z,66.00,36.00
2026-01-14T03:20:00Z,66.00,36.00
2026-01-14T03:23:00Z,66.00,36.00
2026-01-14T03:29:00Z,66.00,36.00
2026-01-14T03:30:00Z,66.00,35.00
2026-01-14T03:31:00Z,64.07,35.00
2026-01-14T03:32:00Z,66.00,35.00
2026-01-14T03:38:00Z,66.00,35.63
2026-01-14T03:44:00Z,66.00,35.63
2026-01-14T03:46:00Z,66.00,35.63
2026-01-14T03:56:00Z,66.00,35.63
2026-01-14T04:05:00Z,66.00,35.63
2026-01-14T04:06:00Z,66.00,35.63
2026-01-14T04:16:00Z,64.00,35.63
2026-01-14T04:24:00Z,64.00,35.62
2026-01-14T04:25:00Z,66.00,35.62
2026-01-14T04:27:00Z,66.00,35.62
2026-01-14T04:33:00Z,66.00,36.00
2026-01-14T04:35:00Z,66.00,36.00
2026-01-14T04:38:00Z,66.00,36.00
2026-01-14T04:40:00Z,66.00,36.00
2026-01-14T04:41:00Z,66.00,36.00
2026-01-14T04:42:00Z,66.00,36.00
2026-01-14T04:43:00Z,66.00,36.00
2026-01-14T04:45:00Z,66.00,36.00
2026-01-14T04:46:00Z,66.00,36.00
2026-01-14T04:47:00Z,66.00,36.00
2026-01-14T04:49:00Z,66.00,36.00
2026-01-14T04:55:00Z,66.00,36.00
2026-01-14T04:57:00Z,66.00,36.00
2026-01-14T04:59:00Z,66.00,36.00
2026-01-14T05:00:00Z,66.00,36.00
