# event_ticker=KXATPCHALLENGERMATCH-26FEB15FERGOM
# final_score=6-4 6-7(10) 6-4
# score_resolution=4-6 7-6 4-6
# match_winner=Frederico Ferreira Silva
# fav_player=Federico Agustin Gomez
# dog_player=Frederico Ferreira Silva
# kalshi_date=2026-02-15
timestamp,Federico Agustin Gomez,Frederico Ferreira Silva
2026-02-14T23:02:00Z,,54.33
2026-02-15T00:01:00Z,,54.00
2026-02-15T00:10:00Z,,53.00
2026-02-15T00:23:00Z,,53.00
2026-02-15T01:49:00Z,,53.00
2026-02-15T01:51:00Z,47.00,53.00
2026-02-15T01:57:00Z,47.00,53.00
2026-02-15T02:10:00Z,47.00,53.00
2026-02-15T02:20:00Z,47.00,53.00
2026-02-15T02:31:00Z,47.00,54.00
2026-02-15T03:16:00Z,47.00,55.00
2026-02-15T03:26:00Z,47.00,55.00
2026-02-15T03:38:00Z,47.00,55.00
2026-02-15T04:01:00Z,48.00,55.00
2026-02-15T04:04:00Z,48.00,55.00
2026-02-15T04:15:00Z,48.00,55.00
2026-02-15T04:20:00Z,48.00,55.00
2026-02-15T04:54:00Z,48.00,55.00
2026-02-15T05:01:00Z,48.00,55.00
2026-02-15T05:06:00Z,48.00,55.00
2026-02-15T05:09:00Z,48.00,55.00
2026-02-15T05:15:00Z,47.00,55.00
2026-02-15T05:16:00Z,47.00,55.00
2026-02-15T05:18:00Z,47.00,55.00
2026-02-15T05:27:00Z,45.00,55.00
2026-02-15T05:41:00Z,47.00,55.00
2026-02-15T05:42:00Z,47.00,55.00
2026-02-15T05:51:00Z,47.00,55.00
2026-02-15T05:52:00Z,47.00,55.00
2026-02-15T05:57:00Z,47.00,55.00
2026-02-15T06:05:00Z,47.00,55.00
2026-02-15T06:14:00Z,47.00,55.00
2026-02-15T06:18:00Z,47.00,55.00
2026-02-15T06:19:00Z,48.00,55.00
2026-02-15T06:32:00Z,48.00,55.00
2026-02-15T06:36:00Z,48.00,54.00
2026-02-15T06:54:00Z,48.00,54.00
2026-02-15T07:07:00Z,49.00,52.00
2026-02-15T07:09:00Z,49.00,52.00
2026-02-15T07:12:00Z,49.00,52.00
2026-02-15T07:14:00Z,49.00,52.00
2026-02-15T07:15:00Z,49.00,52.00
2026-02-15T07:18:00Z,49.00,52.00
2026-02-15T07:19:00Z,49.00,52.00
2026-02-15T07:22:00Z,49.00,52.00
2026-02-15T07:23:00Z,49.00,52.00
2026-02-15T07:44:00Z,49.00,52.00
2026-02-15T07:45:00Z,49.00,52.61
2026-02-15T07:48:00Z,49.00,52.61
2026-02-15T07:51:00Z,49.00,52.61
2026-02-15T07:52:00Z,49.00,53.00
2026-02-15T07:53:00Z,49.00,53.00
2026-02-15T07:59:00Z,49.00,58.00
2026-02-15T08:03:00Z,49.00,58.00
2026-02-15T08:05:00Z,49.00,58.00
2026-02-15T08:07:00Z,45.00,58.00
2026-02-15T08:25:00Z,45.00,59.00
2026-02-15T08:27:00Z,45.00,59.00
2026-02-15T08:29:00Z,46.00,59.00
2026-02-15T08:31:00Z,46.00,59.00
2026-02-15T08:32:00Z,46.00,59.00
2026-02-15T08:45:00Z,46.00,59.00
2026-02-15T08:46:00Z,46.00,59.00
2026-02-15T08:55:00Z,46.00,59.00
2026-02-15T08:57:00Z,45.00,59.88
2026-02-15T08:59:00Z,46.00,59.88
2026-02-15T09:02:00Z,45.00,59.00
2026-02-15T09:03:00Z,45.00,59.00
2026-02-15T09:11:00Z,45.00,59.86
2026-02-15T09:12:00Z,45.00,59.64
2026-02-15T09:18:00Z,45.00,59.97
2026-02-15T09:23:00Z,45.00,60.00
2026-02-15T09:26:00Z,45.00,60.00
2026-02-15T09:28:00Z,43.00,60.00
