# event_ticker=KXATPMATCH-25JUL21RINBAG
# final_score=7-6(4) 4-6 6-3
# score_resolution=7-6 4-6 6-3
# match_winner=Arthur Rinderknech
# fav_player=Arthur Rinderknech
# dog_player=Facundo Bagnis
# kalshi_date=2025-07-21
timestamp,Arthur Rinderknech,Facundo Bagnis
2025-07-21T12:02:00Z,,35.00
2025-07-21T12:35:00Z,67.00,35.00
2025-07-21T13:33:00Z,67.38,35.00
2025-07-21T14:04:00Z,67.00,35.00
2025-07-21T14:14:00Z,66.00,35.00
2025-07-21T17:28:00Z,65.00,35.00
2025-07-21T17:59:00Z,29.00,35.00
2025-07-21T18:22:00Z,66.00,35.00
2025-07-21T18:25:00Z,66.00,40.00
2025-07-21T18:26:00Z,66.00,39.00
2025-07-21T18:27:00Z,62.00,39.00
2025-07-21T18:28:00Z,76.00,39.00
2025-07-21T18:32:00Z,60.00,39.00
2025-07-21T18:33:00Z,54.00,39.00
2025-07-21T18:34:00Z,50.00,53.00
2025-07-21T18:36:00Z,55.00,53.00
2025-07-21T18:37:00Z,57.00,53.00
2025-07-21T18:41:00Z,49.00,53.00
2025-07-21T18:42:00Z,47.00,76.00
2025-07-21T18:43:00Z,50.95,50.00
2025-07-21T18:44:00Z,50.95,76.00
2025-07-21T18:45:00Z,50.95,48.00
2025-07-21T18:46:00Z,59.00,48.00
2025-07-21T18:47:00Z,53.11,48.00
2025-07-21T18:49:00Z,76.00,48.00
2025-07-21T18:50:00Z,73.00,48.00
2025-07-21T18:52:00Z,74.07,48.00
2025-07-21T18:53:00Z,66.00,48.00
2025-07-21T18:57:00Z,72.00,48.00
2025-07-21T18:58:00Z,72.00,47.00
2025-07-21T18:59:00Z,56.63,44.00
2025-07-21T19:00:00Z,57.07,44.00
2025-07-21T19:01:00Z,63.00,36.00
2025-07-21T19:02:00Z,60.26,44.00
2025-07-21T19:03:00Z,65.07,36.00
2025-07-21T19:04:00Z,65.00,35.00
2025-07-21T19:05:00Z,69.01,29.00
2025-07-21T19:06:00Z,75.00,29.00
2025-07-21T19:07:00Z,75.00,29.00
2025-07-21T19:08:00Z,76.96,29.00
2025-07-21T19:09:00Z,83.68,7.32
2025-07-21T19:10:00Z,89.82,7.32
2025-07-21T19:11:00Z,85.00,18.77
2025-07-21T19:12:00Z,84.62,18.00
2025-07-21T19:13:00Z,81.00,23.13
2025-07-21T19:14:00Z,81.00,22.00
2025-07-21T19:15:00Z,79.70,22.00
2025-07-21T19:16:00Z,81.08,22.00
2025-07-21T19:17:00Z,78.79,22.00
2025-07-21T19:18:00Z,70.00,35.63
2025-07-21T19:19:00Z,73.20,32.74
2025-07-21T19:20:00Z,64.35,39.00
2025-07-21T19:21:00Z,58.86,39.00
2025-07-21T19:22:00Z,54.62,49.91
2025-07-21T19:23:00Z,55.85,50.00
2025-07-21T19:24:00Z,53.48,49.54
2025-07-21T19:25:00Z,52.09,48.00
2025-07-21T19:26:00Z,53.00,47.04
2025-07-21T19:27:00Z,65.36,41.00
2025-07-21T19:28:00Z,63.87,40.70
2025-07-21T19:29:00Z,55.00,43.99
2025-07-21T19:30:00Z,55.00,34.75
2025-07-21T19:31:00Z,71.71,29.99
2025-07-21T19:33:00Z,85.00,32.00
2025-07-21T19:34:00Z,83.00,32.00
2025-07-21T19:35:00Z,80.21,32.00
2025-07-21T19:36:00Z,81.61,32.00
2025-07-21T19:37:00Z,85.00,24.00
2025-07-21T19:38:00Z,85.00,19.00
2025-07-21T19:39:00Z,84.73,23.00
2025-07-21T19:40:00Z,81.22,23.00
2025-07-21T19:41:00Z,81.00,32.22
2025-07-21T19:42:00Z,84.00,32.22
2025-07-21T19:43:00Z,84.00,32.22
2025-07-21T19:44:00Z,85.89,17.00
2025-07-21T19:45:00Z,85.00,20.00
2025-07-21T19:46:00Z,82.74,20.37
2025-07-21T19:47:00Z,84.00,23.38
2025-07-21T19:48:00Z,81.00,21.92
2025-07-21T19:49:00Z,81.90,21.39
2025-07-21T19:50:00Z,82.70,21.39
2025-07-21T19:51:00Z,81.40,19.11
2025-07-21T19:52:00Z,78.30,20.00
2025-07-21T19:53:00Z,78.30,23.00
2025-07-21T19:54:00Z,78.30,29.00
2025-07-21T19:55:00Z,75.79,26.15
2025-07-21T19:56:00Z,81.19,22.00
2025-07-21T19:57:00Z,82.99,21.00
2025-07-21T19:58:00Z,78.08,24.57
2025-07-21T19:59:00Z,77.00,24.57
2025-07-21T20:00:00Z,61.30,49.11
2025-07-21T20:01:00Z,62.00,41.00
2025-07-21T20:02:00Z,73.54,26.14
2025-07-21T20:03:00Z,66.25,30.37
2025-07-21T20:04:00Z,63.28,49.89
2025-07-21T20:05:00Z,69.57,49.89
2025-07-21T20:06:00Z,65.77,44.60
2025-07-21T20:07:00Z,77.00,30.00
2025-07-21T20:08:00Z,75.00,30.00
2025-07-21T20:09:00Z,62.03,42.00
2025-07-21T20:11:00Z,60.00,41.00
2025-07-21T20:12:00Z,74.93,30.00
2025-07-21T20:13:00Z,70.00,44.00
2025-07-21T20:14:00Z,66.00,39.00
2025-07-21T20:15:00Z,61.00,41.91
2025-07-21T20:16:00Z,61.00,43.19
2025-07-21T20:17:00Z,61.41,43.14
2025-07-21T20:18:00Z,63.46,39.00
2025-07-21T20:19:00Z,68.18,39.00
2025-07-21T20:20:00Z,64.80,40.33
2025-07-21T20:21:00Z,58.89,43.68
2025-07-21T20:22:00Z,56.14,44.94
2025-07-21T20:23:00Z,54.83,51.55
2025-07-21T20:24:00Z,55.00,47.00
2025-07-21T20:25:00Z,54.00,47.92
2025-07-21T20:26:00Z,54.69,48.00
2025-07-21T20:27:00Z,53.19,46.93
2025-07-21T20:28:00Z,39.53,65.00
2025-07-21T20:29:00Z,44.15,61.39
2025-07-21T20:30:00Z,48.65,53.61
2025-07-21T20:31:00Z,70.90,37.00
2025-07-21T20:32:00Z,46.37,60.68
2025-07-21T20:33:00Z,53.68,47.53
2025-07-21T20:34:00Z,56.53,46.14
2025-07-21T20:35:00Z,56.46,43.67
2025-07-21T20:36:00Z,67.71,31.37
2025-07-21T20:37:00Z,62.77,31.37
2025-07-21T20:38:00Z,61.86,43.95
2025-07-21T20:39:00Z,73.77,37.00
2025-07-21T20:40:00Z,55.46,45.72
2025-07-21T20:41:00Z,50.94,52.68
2025-07-21T20:42:00Z,52.19,45.00
2025-07-21T20:43:00Z,53.26,49.00
2025-07-21T20:44:00Z,60.12,52.89
2025-07-21T20:45:00Z,36.56,66.55
2025-07-21T20:46:00Z,23.46,67.55
2025-07-21T20:47:00Z,25.85,73.23
2025-07-21T20:48:00Z,39.01,73.23
2025-07-21T20:49:00Z,43.87,73.23
2025-07-21T20:50:00Z,47.01,50.00
2025-07-21T20:51:00Z,46.38,59.00
2025-07-21T20:52:00Z,23.62,75.56
2025-07-21T20:53:00Z,40.00,57.00
2025-07-21T20:54:00Z,45.84,59.00
2025-07-21T20:55:00Z,63.15,59.00
2025-07-21T20:56:00Z,70.91,49.00
2025-07-21T20:57:00Z,66.80,32.43
2025-07-21T20:58:00Z,68.63,34.00
2025-07-21T20:59:00Z,72.37,30.94
2025-07-21T21:00:00Z,60.00,36.98
2025-07-21T21:01:00Z,65.85,35.08
2025-07-21T21:02:00Z,74.19,30.00
2025-07-21T21:04:00Z,70.90,28.59
2025-07-21T21:05:00Z,72.06,23.08
2025-07-21T21:06:00Z,79.30,21.25
2025-07-21T21:07:00Z,79.83,24.19
2025-07-21T21:08:00Z,89.26,12.19
2025-07-21T21:09:00Z,98.51,3.25
2025-07-21T21:10:00Z,95.56,1.00
2025-07-21T21:11:00Z,98.95,1.00
2025-07-21T21:12:00Z,99.00,1.00
2025-07-21T21:13:00Z,99.00,1.00
2025-07-21T21:14:00Z,99.00,1.00
2025-07-21T21:15:00Z,99.00,1.00
