# event_ticker=KXATPCHALLENGERMATCH-26MAY12ISOSIN
# final_score=7-6(6) 6-3
# score_resolution=6-7 3-6
# match_winner=Kokoro Isomura
# fav_player=Karan (IND) Singh
# dog_player=Kokoro Isomura
# kalshi_date=2026-05-12
timestamp,Kokoro Isomura,Karan (IND) Singh
2026-05-11T21:03:00Z,,61.00
2026-05-11T21:05:00Z,,61.00
2026-05-11T22:14:00Z,,60.00
2026-05-11T23:19:00Z,,60.00
2026-05-12T01:09:00Z,,60.00
2026-05-12T01:24:00Z,42.00,60.00
2026-05-12T01:26:00Z,42.32,60.00
2026-05-12T02:16:00Z,42.32,60.00
2026-05-12T02:39:00Z,43.00,60.00
2026-05-12T03:10:00Z,43.00,60.00
2026-05-12T03:22:00Z,41.00,60.00
2026-05-12T03:38:00Z,42.00,60.00
2026-05-12T04:07:00Z,42.00,60.00
2026-05-12T04:37:00Z,42.00,60.00
2026-05-12T04:43:00Z,40.62,60.00
2026-05-12T04:44:00Z,40.62,60.00
2026-05-12T04:46:00Z,40.62,60.00
2026-05-12T04:57:00Z,40.00,60.00
2026-05-12T04:59:00Z,40.00,61.00
2026-05-12T05:10:00Z,41.00,61.00
2026-05-12T05:13:00Z,41.00,61.00
2026-05-12T05:21:00Z,41.00,60.00
2026-05-12T05:23:00Z,41.00,60.00
2026-05-12T05:27:00Z,41.00,60.00
2026-05-12T05:33:00Z,41.00,60.00
2026-05-12T05:34:00Z,41.00,60.00
2026-05-12T05:36:00Z,41.00,61.90
2026-05-12T05:37:00Z,41.00,61.90
2026-05-12T05:38:00Z,41.00,61.00
2026-05-12T05:39:00Z,41.00,61.00
2026-05-12T05:40:00Z,41.00,61.00
2026-05-12T05:41:00Z,41.00,61.00
2026-05-12T05:43:00Z,41.00,61.00
2026-05-12T05:50:00Z,41.00,61.00
2026-05-12T05:51:00Z,41.00,61.00
2026-05-12T05:55:00Z,41.00,61.00
2026-05-12T05:58:00Z,41.00,61.00
2026-05-12T06:01:00Z,41.00,60.00
2026-05-12T06:03:00Z,41.00,60.00
2026-05-12T06:06:00Z,41.00,60.00
2026-05-12T06:09:00Z,41.00,60.00
2026-05-12T06:10:00Z,40.00,60.62
2026-05-12T06:13:00Z,40.00,60.00
2026-05-12T06:16:00Z,40.00,60.00
2026-05-12T06:20:00Z,40.00,60.00
2026-05-12T06:22:00Z,40.00,60.00
2026-05-12T06:25:00Z,40.00,60.00
2026-05-12T06:26:00Z,41.00,60.00
2026-05-12T06:32:00Z,41.00,60.00
2026-05-12T06:33:00Z,41.00,60.00
2026-05-12T06:35:00Z,41.00,60.00
2026-05-12T06:36:00Z,41.00,60.00
2026-05-12T06:37:00Z,41.00,60.00
2026-05-12T06:38:00Z,41.00,60.00
2026-05-12T06:41:00Z,41.00,61.00
2026-05-12T06:42:00Z,41.00,61.00
2026-05-12T06:43:00Z,41.00,61.00
2026-05-12T06:44:00Z,41.00,61.00
2026-05-12T06:45:00Z,41.00,61.00
2026-05-12T06:47:00Z,40.00,61.00
2026-05-12T06:48:00Z,40.00,61.00
2026-05-12T06:50:00Z,40.00,61.00
2026-05-12T06:55:00Z,40.00,61.00
2026-05-12T06:56:00Z,40.00,61.00
2026-05-12T06:57:00Z,40.00,62.00
