# event_ticker=KXATPCHALLENGERMATCH-26APR21SWETUN
# final_score=6-3 1-6 6-1
# match_winner=Dane Sweeny
# fav_player=Dane Sweeny
# dog_player=Tung-Lin Wu
# kalshi_date=2026-04-21
timestamp,Dane Sweeny,Tung-Lin Wu
2026-04-20T19:04:00Z,42.50,
2026-04-20T19:22:00Z,42.50,58.00
2026-04-20T19:24:00Z,42.50,57.00
2026-04-20T20:04:00Z,43.00,57.00
2026-04-20T20:21:00Z,43.00,58.99
2026-04-20T20:53:00Z,42.00,58.99
2026-04-20T21:05:00Z,42.00,58.00
2026-04-20T21:34:00Z,42.00,58.00
2026-04-20T22:47:00Z,42.00,58.00
2026-04-21T00:01:00Z,44.00,58.00
2026-04-21T01:16:00Z,44.00,58.00
2026-04-21T01:24:00Z,44.00,58.00
2026-04-21T01:37:00Z,44.00,58.00
2026-04-21T01:46:00Z,44.00,58.00
2026-04-21T01:52:00Z,44.00,58.00
2026-04-21T01:53:00Z,44.00,58.00
2026-04-21T02:08:00Z,44.00,58.00
2026-04-21T02:21:00Z,44.00,59.00
2026-04-21T02:23:00Z,44.00,59.00
2026-04-21T03:13:00Z,44.00,59.00
2026-04-21T03:18:00Z,44.00,57.00
2026-04-21T03:23:00Z,44.00,57.00
2026-04-21T03:28:00Z,44.00,57.00
2026-04-21T03:34:00Z,44.00,57.00
2026-04-21T03:37:00Z,44.00,56.00
2026-04-21T03:44:00Z,44.00,57.00
2026-04-21T03:50:00Z,44.00,59.00
2026-04-21T03:57:00Z,44.00,59.00
2026-04-21T03:58:00Z,44.00,59.00
2026-04-21T04:02:00Z,44.00,59.00
2026-04-21T04:10:00Z,41.00,59.00
2026-04-21T04:25:00Z,41.00,59.00
2026-04-21T04:31:00Z,41.00,59.00
2026-04-21T04:33:00Z,41.00,59.00
2026-04-21T04:39:00Z,41.00,59.00
2026-04-21T04:40:00Z,41.00,59.00
2026-04-21T04:47:00Z,41.00,59.24
2026-04-21T04:50:00Z,41.00,59.00
2026-04-21T04:52:00Z,41.00,59.00
2026-04-21T05:00:00Z,41.00,59.00
2026-04-21T05:06:00Z,41.00,56.86
2026-04-21T05:08:00Z,43.45,59.85
