# event_ticker=KXATPCHALLENGERMATCH-26FEB24GAKPIR
# final_score=2-6 6-2 7-6(6)
# score_resolution=6-2 2-6 6-7
# match_winner=Ivan Gakhov
# fav_player=Gabriele Piraino
# dog_player=Ivan Gakhov
# kalshi_date=2026-02-24
timestamp,Gabriele Piraino,Ivan Gakhov
2026-02-24T02:09:00Z,38.07,69.88
2026-02-24T03:20:00Z,38.07,64.00
2026-02-24T04:11:00Z,42.00,64.00
2026-02-24T04:56:00Z,42.00,64.00
2026-02-24T05:45:00Z,42.00,64.00
2026-02-24T06:18:00Z,42.00,64.00
2026-02-24T06:30:00Z,38.00,64.00
2026-02-24T06:48:00Z,40.00,64.00
2026-02-24T06:55:00Z,40.00,64.00
2026-02-24T06:56:00Z,40.00,64.00
2026-02-24T06:57:00Z,40.73,64.00
2026-02-24T06:59:00Z,42.00,64.00
2026-02-24T07:00:00Z,42.00,64.00
2026-02-24T07:01:00Z,42.60,64.00
2026-02-24T08:16:00Z,44.00,64.00
2026-02-24T08:26:00Z,44.00,64.00
2026-02-24T08:37:00Z,36.31,64.00
2026-02-24T08:42:00Z,36.31,65.99
2026-02-24T09:19:00Z,44.00,65.99
2026-02-24T09:36:00Z,44.00,65.99
2026-02-24T10:01:00Z,39.00,65.00
2026-02-24T10:02:00Z,39.00,65.00
2026-02-24T10:07:00Z,39.00,65.00
2026-02-24T10:08:00Z,44.00,65.00
2026-02-24T10:25:00Z,44.00,65.00
2026-02-24T11:06:00Z,39.00,66.00
2026-02-24T11:18:00Z,48.08,66.00
2026-02-24T11:21:00Z,47.58,66.00
2026-02-24T11:27:00Z,55.33,66.00
2026-02-24T11:28:00Z,50.26,57.00
2026-02-24T11:30:00Z,55.59,50.00
2026-02-24T11:31:00Z,55.59,56.00
2026-02-24T11:32:00Z,55.59,60.00
2026-02-24T11:33:00Z,48.00,60.00
2026-02-24T11:34:00Z,51.00,56.00
2026-02-24T11:35:00Z,51.00,55.00
2026-02-24T11:36:00Z,51.00,56.00
2026-02-24T11:37:00Z,54.98,54.51
2026-02-24T11:38:00Z,52.11,49.06
2026-02-24T11:39:00Z,61.77,39.31
2026-02-24T11:40:00Z,64.88,42.12
2026-02-24T11:41:00Z,66.34,43.00
2026-02-24T11:42:00Z,60.28,47.42
2026-02-24T11:43:00Z,56.81,46.64
2026-02-24T11:44:00Z,62.82,41.41
2026-02-24T11:45:00Z,66.55,37.80
2026-02-24T11:46:00Z,66.95,33.81
2026-02-24T11:47:00Z,63.00,45.20
2026-02-24T11:48:00Z,62.28,42.75
2026-02-24T11:49:00Z,66.29,49.25
2026-02-24T11:50:00Z,67.00,40.00
2026-02-24T11:51:00Z,67.00,37.78
2026-02-24T11:52:00Z,66.66,45.00
2026-02-24T11:53:00Z,64.01,45.31
2026-02-24T11:54:00Z,66.16,42.63
2026-02-24T11:55:00Z,68.95,38.86
2026-02-24T11:56:00Z,71.38,30.37
2026-02-24T11:57:00Z,73.04,28.69
2026-02-24T11:58:00Z,76.76,29.00
2026-02-24T11:59:00Z,79.36,27.63
2026-02-24T12:00:00Z,76.01,31.19
2026-02-24T12:01:00Z,74.42,24.82
2026-02-24T12:02:00Z,79.56,24.82
2026-02-24T12:03:00Z,80.74,22.79
2026-02-24T12:04:00Z,79.87,25.84
2026-02-24T12:05:00Z,77.11,28.30
2026-02-24T12:06:00Z,64.86,32.38
2026-02-24T12:07:00Z,68.04,39.48
2026-02-24T12:08:00Z,66.37,39.47
2026-02-24T12:09:00Z,67.54,32.56
2026-02-24T12:10:00Z,72.60,27.39
2026-02-24T12:11:00Z,67.57,35.71
2026-02-24T12:12:00Z,60.83,34.15
2026-02-24T12:13:00Z,55.03,46.77
2026-02-24T12:14:00Z,56.51,47.15
2026-02-24T12:15:00Z,59.62,43.13
2026-02-24T12:16:00Z,57.45,45.23
2026-02-24T12:17:00Z,82.07,38.00
2026-02-24T12:18:00Z,60.70,40.71
2026-02-24T12:19:00Z,54.69,45.98
2026-02-24T12:20:00Z,53.13,46.22
2026-02-24T12:21:00Z,57.29,49.39
2026-02-24T12:22:00Z,52.38,48.95
2026-02-24T12:23:00Z,50.19,49.87
2026-02-24T12:24:00Z,43.29,58.69
