# event_ticker=KXATPCHALLENGERMATCH-26MAR24BLAENG
# final_score=6-2 6-1
# match_winner=Dali Blanch
# fav_player=Dali Blanch
# dog_player=Justin Engel
# kalshi_date=2026-03-24
timestamp,Dali Blanch,Justin Engel
2026-03-23T22:13:00Z,,68.00
2026-03-23T22:15:00Z,,68.00
2026-03-23T22:53:00Z,,69.00
2026-03-23T23:43:00Z,,69.00
2026-03-24T00:28:00Z,,70.00
2026-03-24T01:00:00Z,,70.00
2026-03-24T02:47:00Z,,70.00
2026-03-24T02:59:00Z,,69.00
2026-03-24T04:29:00Z,,70.00
2026-03-24T04:39:00Z,33.00,69.00
2026-03-24T04:54:00Z,33.00,69.00
2026-03-24T05:17:00Z,33.00,70.00
2026-03-24T05:21:00Z,33.00,70.00
2026-03-24T05:25:00Z,33.00,70.00
2026-03-24T05:31:00Z,33.00,69.00
2026-03-24T05:51:00Z,33.00,70.00
2026-03-24T06:07:00Z,33.00,69.00
2026-03-24T06:10:00Z,32.00,69.00
2026-03-24T06:20:00Z,32.00,70.00
2026-03-24T06:56:00Z,32.00,70.00
2026-03-24T07:19:00Z,33.00,69.00
2026-03-24T08:23:00Z,33.00,70.00
2026-03-24T08:58:00Z,33.00,70.00
2026-03-24T09:01:00Z,31.00,70.00
2026-03-24T09:08:00Z,31.00,70.00
2026-03-24T09:12:00Z,31.00,70.00
2026-03-24T09:35:00Z,31.00,69.00
2026-03-24T09:36:00Z,31.00,69.00
2026-03-24T09:37:00Z,31.00,69.81
2026-03-24T09:39:00Z,31.13,69.00
2026-03-24T09:40:00Z,32.67,69.00
2026-03-24T09:41:00Z,34.04,62.93
2026-03-24T09:42:00Z,34.89,64.00
2026-03-24T09:43:00Z,34.89,67.97
2026-03-24T09:44:00Z,30.00,73.00
2026-03-24T09:45:00Z,31.16,68.00
2026-03-24T09:46:00Z,36.00,66.00
2026-03-24T09:47:00Z,32.38,66.00
2026-03-24T09:51:00Z,35.00,66.00
2026-03-24T09:52:00Z,29.93,66.00
2026-03-24T09:53:00Z,28.00,66.00
2026-03-24T09:54:00Z,40.11,63.00
2026-03-24T09:55:00Z,47.10,62.62
2026-03-24T09:56:00Z,53.99,48.00
2026-03-24T09:57:00Z,53.24,48.30
2026-03-24T09:59:00Z,55.00,48.30
2026-03-24T10:00:00Z,47.87,46.27
2026-03-24T10:01:00Z,47.87,41.57
2026-03-24T10:02:00Z,65.57,38.00
2026-03-24T10:03:00Z,69.06,33.58
2026-03-24T10:04:00Z,71.00,29.00
2026-03-24T10:05:00Z,71.00,30.00
2026-03-24T10:06:00Z,73.75,28.00
2026-03-24T10:07:00Z,74.19,27.00
2026-03-24T10:08:00Z,75.10,26.00
2026-03-24T10:09:00Z,75.10,26.00
2026-03-24T10:10:00Z,76.00,25.00
2026-03-24T10:11:00Z,74.00,26.44
2026-03-24T10:12:00Z,82.55,17.83
2026-03-24T10:13:00Z,87.03,13.27
2026-03-24T10:14:00Z,88.32,8.99
2026-03-24T10:15:00Z,91.89,8.14
2026-03-24T10:16:00Z,95.21,4.10
2026-03-24T10:17:00Z,97.00,4.10
2026-03-24T10:18:00Z,98.00,4.10
2026-03-24T10:19:00Z,97.00,3.23
2026-03-24T10:20:00Z,98.05,2.00
2026-03-24T10:21:00Z,96.05,4.36
2026-03-24T10:22:00Z,96.00,2.33
2026-03-24T10:23:00Z,96.05,2.33
2026-03-24T10:24:00Z,98.93,2.00
2026-03-24T10:25:00Z,99.00,2.67
2026-03-24T10:26:00Z,98.86,2.67
2026-03-24T10:27:00Z,98.86,2.00
2026-03-24T10:28:00Z,99.00,1.03
2026-03-24T10:29:00Z,99.00,2.00
2026-03-24T10:31:00Z,99.00,2.41
2026-03-24T10:32:00Z,98.95,2.41
2026-03-24T10:33:00Z,99.00,2.41
2026-03-24T10:34:00Z,99.00,2.41
2026-03-24T10:35:00Z,99.00,1.12
2026-03-24T10:36:00Z,99.00,2.00
2026-03-24T10:37:00Z,99.00,2.00
2026-03-24T10:38:00Z,99.00,1.00
2026-03-24T10:40:00Z,99.00,1.00
2026-03-24T10:42:00Z,99.00,1.00
