# event_ticker=KXATPMATCH-25JUL28GIRMAN
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Adrian Mannarino
# fav_player=Marcos Giron
# dog_player=Adrian Mannarino
# kalshi_date=2025-07-28
timestamp,Marcos Giron,Adrian Mannarino
2025-07-28T12:23:00Z,71.00,
2025-07-28T12:28:00Z,71.00,31.04
2025-07-28T12:42:00Z,70.00,31.04
2025-07-28T12:50:00Z,70.00,31.00
2025-07-28T13:48:00Z,68.00,31.00
2025-07-28T14:00:00Z,68.00,31.00
2025-07-28T14:03:00Z,68.88,31.00
2025-07-28T14:18:00Z,66.00,31.00
2025-07-28T14:21:00Z,66.00,31.00
2025-07-28T14:28:00Z,66.99,31.00
2025-07-28T14:30:00Z,67.00,31.00
2025-07-28T14:32:00Z,67.00,31.00
2025-07-28T14:35:00Z,67.00,31.00
2025-07-28T14:36:00Z,67.00,34.00
2025-07-28T15:08:00Z,68.00,34.00
2025-07-28T15:24:00Z,68.00,34.00
2025-07-28T15:43:00Z,68.00,34.00
2025-07-28T15:46:00Z,68.00,34.00
2025-07-28T15:47:00Z,68.84,34.00
2025-07-28T16:13:00Z,69.00,34.00
2025-07-28T16:25:00Z,69.00,32.00
2025-07-28T16:31:00Z,69.00,32.00
2025-07-28T17:07:00Z,69.00,32.00
2025-07-28T17:28:00Z,69.00,32.00
2025-07-28T17:29:00Z,69.00,30.96
2025-07-28T17:30:00Z,69.00,32.00
2025-07-28T17:42:00Z,69.00,32.00
2025-07-28T17:44:00Z,70.00,32.00
2025-07-28T17:49:00Z,70.00,32.00
2025-07-28T18:20:00Z,70.00,32.00
2025-07-28T18:23:00Z,70.00,31.67
2025-07-28T18:34:00Z,70.00,32.00
2025-07-28T18:46:00Z,70.00,32.00
2025-07-28T18:49:00Z,70.00,32.00
2025-07-28T18:50:00Z,70.00,32.00
2025-07-28T19:02:00Z,70.85,32.00
2025-07-28T19:04:00Z,70.85,33.43
2025-07-28T19:05:00Z,68.00,33.43
2025-07-28T19:06:00Z,68.00,33.47
2025-07-28T19:09:00Z,68.00,34.00
2025-07-28T19:10:00Z,68.00,34.00
2025-07-28T19:12:00Z,68.00,34.00
2025-07-28T19:15:00Z,68.00,34.00
2025-07-28T19:16:00Z,68.00,34.00
