# event_ticker=KXATPMATCH-26APR01TRUMAJ
# final_score=7-6(4) 6-3
# score_resolution=6-7 3-6
# match_winner=Marco Trungelliti
# fav_player=Kamil Majchrzak
# dog_player=Marco Trungelliti
# kalshi_date=2026-04-01
timestamp,Kamil Majchrzak,Marco Trungelliti
2026-03-31T23:36:00Z,68.00,
2026-04-01T00:46:00Z,68.00,33.00
2026-04-01T00:47:00Z,68.00,34.00
2026-04-01T01:16:00Z,67.00,34.00
2026-04-01T01:27:00Z,66.00,34.00
2026-04-01T01:33:00Z,67.00,34.00
2026-04-01T01:55:00Z,67.00,34.00
2026-04-01T02:09:00Z,67.00,34.00
2026-04-01T02:54:00Z,67.00,34.00
2026-04-01T02:55:00Z,67.00,34.00
2026-04-01T03:03:00Z,67.00,34.00
2026-04-01T03:31:00Z,65.00,34.00
2026-04-01T03:35:00Z,67.00,34.00
2026-04-01T03:37:00Z,67.00,34.00
2026-04-01T03:55:00Z,67.00,34.00
2026-04-01T04:00:00Z,67.00,34.00
2026-04-01T04:04:00Z,67.00,34.00
2026-04-01T04:12:00Z,67.00,34.00
2026-04-01T04:16:00Z,67.00,34.00
2026-04-01T04:20:00Z,68.00,34.00
2026-04-01T04:27:00Z,68.00,34.00
2026-04-01T04:43:00Z,68.00,34.00
2026-04-01T04:46:00Z,68.00,34.00
2026-04-01T04:49:00Z,68.00,34.00
2026-04-01T04:53:00Z,67.00,34.00
2026-04-01T04:54:00Z,67.00,35.00
2026-04-01T04:57:00Z,67.00,35.00
2026-04-01T04:58:00Z,67.00,35.00
2026-04-01T05:07:00Z,67.00,35.00
2026-04-01T05:13:00Z,68.00,35.00
2026-04-01T05:14:00Z,68.00,34.00
2026-04-01T05:15:00Z,66.00,35.00
2026-04-01T05:17:00Z,66.00,35.00
2026-04-01T05:31:00Z,68.00,35.00
2026-04-01T05:34:00Z,68.00,35.00
2026-04-01T05:35:00Z,68.00,35.00
2026-04-01T05:40:00Z,68.00,35.00
2026-04-01T05:41:00Z,68.00,34.00
2026-04-01T05:56:00Z,68.00,34.00
2026-04-01T06:01:00Z,68.00,34.00
2026-04-01T06:03:00Z,68.00,34.00
2026-04-01T06:06:00Z,68.00,34.00
2026-04-01T06:09:00Z,68.00,34.00
2026-04-01T06:10:00Z,68.00,34.00
2026-04-01T06:11:00Z,68.00,34.00
2026-04-01T06:13:00Z,68.00,34.00
2026-04-01T06:14:00Z,68.00,34.00
2026-04-01T06:19:00Z,68.00,34.00
2026-04-01T06:23:00Z,68.00,34.00
2026-04-01T06:24:00Z,68.02,34.00
2026-04-01T06:25:00Z,69.00,34.00
2026-04-01T06:27:00Z,69.00,34.00
2026-04-01T06:32:00Z,69.00,34.00
2026-04-01T06:38:00Z,69.00,34.00
