# event_ticker=KXATPMATCH-26FEB11FRINAK
# final_score=6-3 6-4
# match_winner=Taylor Fritz
# fav_player=Taylor Fritz
# dog_player=Brandon Nakashima
# kalshi_date=2026-02-11
timestamp,Taylor Fritz,Brandon Nakashima
2026-02-11T13:28:00Z,60.00,
2026-02-11T13:30:00Z,60.00,
2026-02-11T13:32:00Z,60.00,
2026-02-11T13:36:00Z,60.00,
2026-02-11T13:41:00Z,60.00,
2026-02-11T13:46:00Z,60.00,
2026-02-11T13:47:00Z,60.00,
2026-02-11T13:57:00Z,60.00,
2026-02-11T14:03:00Z,60.00,40.78
2026-02-11T14:08:00Z,60.00,40.78
2026-02-11T14:10:00Z,60.00,40.78
2026-02-11T14:13:00Z,60.00,40.78
2026-02-11T14:19:00Z,60.00,40.78
2026-02-11T14:20:00Z,60.00,42.00
2026-02-11T14:26:00Z,60.00,42.00
2026-02-11T14:30:00Z,60.00,42.00
2026-02-11T14:32:00Z,60.00,42.00
2026-02-11T14:50:00Z,60.00,42.00
2026-02-11T14:51:00Z,60.00,42.00
2026-02-11T14:53:00Z,60.00,42.00
2026-02-11T14:59:00Z,60.00,42.00
2026-02-11T15:19:00Z,60.00,41.00
2026-02-11T15:21:00Z,60.00,41.00
2026-02-11T15:24:00Z,60.00,41.00
2026-02-11T15:28:00Z,60.00,41.00
2026-02-11T15:31:00Z,60.00,41.00
2026-02-11T15:34:00Z,60.00,41.00
2026-02-11T15:35:00Z,60.00,41.00
2026-02-11T15:41:00Z,60.00,41.00
2026-02-11T15:45:00Z,60.00,41.00
2026-02-11T15:47:00Z,60.00,41.00
2026-02-11T15:51:00Z,60.00,41.00
2026-02-11T15:56:00Z,60.00,41.00
2026-02-11T16:04:00Z,60.00,41.00
2026-02-11T16:05:00Z,60.00,41.00
2026-02-11T16:07:00Z,60.00,41.00
2026-02-11T16:12:00Z,60.66,41.00
2026-02-11T16:13:00Z,61.00,41.00
2026-02-11T16:16:00Z,61.00,41.77
2026-02-11T16:17:00Z,60.96,41.77
2026-02-11T16:19:00Z,60.00,41.77
2026-02-11T16:20:00Z,60.00,41.77
2026-02-11T16:27:00Z,61.00,41.77
2026-02-11T16:29:00Z,61.00,41.77
2026-02-11T16:35:00Z,60.00,41.77
2026-02-11T16:36:00Z,60.00,41.77
2026-02-11T16:39:00Z,60.00,41.77
2026-02-11T16:40:00Z,60.00,41.77
2026-02-11T16:46:00Z,60.00,41.77
2026-02-11T16:48:00Z,60.00,41.77
2026-02-11T16:49:00Z,60.00,41.00
2026-02-11T16:51:00Z,60.00,41.00
2026-02-11T16:53:00Z,60.00,41.00
2026-02-11T16:58:00Z,60.00,41.00
2026-02-11T16:59:00Z,60.89,41.00
2026-02-11T17:01:00Z,61.00,41.00
2026-02-11T17:02:00Z,61.00,41.00
2026-02-11T17:04:00Z,60.00,41.00
2026-02-11T17:06:00Z,60.00,41.00
2026-02-11T17:07:00Z,60.00,40.00
2026-02-11T17:10:00Z,60.00,40.00
2026-02-11T17:13:00Z,60.00,40.00
2026-02-11T17:15:00Z,60.00,40.00
2026-02-11T17:16:00Z,60.00,40.00
2026-02-11T17:17:00Z,60.00,40.00
2026-02-11T17:18:00Z,60.00,40.00
2026-02-11T17:19:00Z,60.00,40.00
