# event_ticker=KXATPCHALLENGERMATCH-26MAR24KUKDAL
# final_score=6-1 3-6 7-5
# match_winner=Enrico Dalla Valle
# fav_player=Enrico Dalla Valle
# dog_player=Mikhail Kukushkin
# kalshi_date=2026-03-24
timestamp,Enrico Dalla Valle,Mikhail Kukushkin
2026-03-24T02:48:00Z,45.00,
2026-03-24T04:21:00Z,45.00,
2026-03-24T04:40:00Z,45.00,
2026-03-24T04:52:00Z,45.00,56.00
2026-03-24T04:58:00Z,45.00,56.00
2026-03-24T05:12:00Z,45.00,56.00
2026-03-24T05:22:00Z,45.00,56.00
2026-03-24T05:27:00Z,45.00,56.00
2026-03-24T05:49:00Z,44.00,56.00
2026-03-24T06:04:00Z,45.00,56.00
2026-03-24T06:21:00Z,45.00,56.00
2026-03-24T07:01:00Z,45.00,56.00
2026-03-24T07:32:00Z,45.00,55.00
2026-03-24T08:22:00Z,45.00,55.00
2026-03-24T08:27:00Z,46.00,55.00
2026-03-24T09:09:00Z,44.00,56.00
2026-03-24T09:18:00Z,46.00,56.00
2026-03-24T09:32:00Z,46.00,56.00
2026-03-24T09:57:00Z,47.00,56.00
2026-03-24T10:00:00Z,47.00,55.00
2026-03-24T10:14:00Z,47.00,56.00
2026-03-24T10:18:00Z,47.00,55.00
2026-03-24T10:21:00Z,47.00,55.00
2026-03-24T10:24:00Z,47.00,55.00
2026-03-24T10:27:00Z,47.00,55.60
2026-03-24T10:30:00Z,47.00,53.71
2026-03-24T10:44:00Z,47.00,53.00
2026-03-24T10:56:00Z,47.00,53.00
2026-03-24T11:03:00Z,47.00,53.00
2026-03-24T11:13:00Z,47.00,53.00
2026-03-24T11:18:00Z,47.00,53.00
2026-03-24T11:22:00Z,47.00,53.00
2026-03-24T11:27:00Z,49.00,53.00
2026-03-24T11:33:00Z,49.00,53.00
2026-03-24T11:38:00Z,49.00,53.00
2026-03-24T11:39:00Z,49.00,53.00
2026-03-24T11:40:00Z,49.00,53.00
2026-03-24T11:43:00Z,52.00,53.00
2026-03-24T11:52:00Z,52.00,54.00
2026-03-24T11:57:00Z,52.72,52.00
2026-03-24T12:12:00Z,52.00,52.00
2026-03-24T12:21:00Z,52.00,52.41
2026-03-24T12:23:00Z,51.00,52.41
