# event_ticker=KXATPCHALLENGERMATCH-26APR28ONCWEI
# final_score=6-3 6-2
# match_winner=Gauthier Onclin
# fav_player=Gauthier Onclin
# dog_player=Oscar Weightman
# kalshi_date=2026-04-28
timestamp,Gauthier Onclin,Oscar Weightman
2026-04-28T10:50:00Z,85.00,
2026-04-28T11:52:00Z,85.00,
2026-04-28T13:44:00Z,88.00,
2026-04-28T14:08:00Z,88.00,14.00
2026-04-28T14:48:00Z,88.00,14.00
2026-04-28T16:26:00Z,88.00,14.00
2026-04-28T16:56:00Z,87.00,14.00
2026-04-28T17:38:00Z,87.00,14.00
2026-04-28T17:40:00Z,87.00,14.00
2026-04-28T17:44:00Z,87.00,14.00
2026-04-28T17:51:00Z,87.00,14.00
2026-04-28T17:57:00Z,88.00,14.00
2026-04-28T18:06:00Z,88.00,12.00
2026-04-28T18:07:00Z,88.00,12.00
2026-04-28T18:09:00Z,88.00,14.00
2026-04-28T18:17:00Z,88.00,14.00
2026-04-28T18:25:00Z,88.00,14.00
2026-04-28T18:28:00Z,88.00,14.00
2026-04-28T18:36:00Z,88.00,14.00
2026-04-28T18:49:00Z,88.06,13.79
2026-04-28T19:00:00Z,88.06,14.00
2026-04-28T19:07:00Z,88.06,14.00
2026-04-28T19:14:00Z,88.00,14.00
2026-04-28T19:15:00Z,88.00,13.98
2026-04-28T19:18:00Z,88.00,12.00
2026-04-28T19:24:00Z,88.00,14.00
2026-04-28T19:26:00Z,88.00,12.00
2026-04-28T19:29:00Z,88.00,12.00
2026-04-28T19:34:00Z,88.00,14.00
2026-04-28T19:37:00Z,88.00,14.00
2026-04-28T19:43:00Z,88.00,14.00
2026-04-28T19:48:00Z,88.92,14.00
2026-04-28T19:53:00Z,88.93,14.00
2026-04-28T19:56:00Z,88.93,13.00
2026-04-28T19:57:00Z,88.93,14.00
2026-04-28T20:00:00Z,88.93,13.00
2026-04-28T20:02:00Z,88.93,13.00
2026-04-28T20:05:00Z,89.00,13.00
2026-04-28T20:07:00Z,89.00,13.00
2026-04-28T20:09:00Z,89.00,12.57
2026-04-28T20:10:00Z,89.00,13.00
2026-04-28T20:11:00Z,89.00,13.00
2026-04-28T20:13:00Z,89.00,13.00
2026-04-28T20:14:00Z,89.00,13.00
2026-04-28T20:16:00Z,89.17,11.10
2026-04-28T20:17:00Z,89.95,11.31
2026-04-28T20:18:00Z,89.09,11.38
2026-04-28T20:19:00Z,89.00,11.00
2026-04-28T20:20:00Z,88.57,12.63
2026-04-28T20:21:00Z,88.00,12.99
2026-04-28T20:22:00Z,88.00,13.11
2026-04-28T20:23:00Z,86.44,13.77
2026-04-28T20:24:00Z,86.00,14.99
2026-04-28T20:25:00Z,87.29,12.34
2026-04-28T20:26:00Z,89.00,13.00
2026-04-28T20:28:00Z,86.00,14.92
2026-04-28T20:30:00Z,85.64,17.06
2026-04-28T20:31:00Z,82.00,18.75
2026-04-28T20:32:00Z,85.70,15.00
2026-04-28T20:33:00Z,85.70,13.76
2026-04-28T20:34:00Z,89.01,12.39
2026-04-28T20:35:00Z,90.94,9.00
2026-04-28T20:36:00Z,92.51,7.00
2026-04-28T20:37:00Z,94.23,6.93
2026-04-28T20:38:00Z,95.00,5.77
2026-04-28T20:39:00Z,95.00,6.00
2026-04-28T20:40:00Z,95.00,5.48
2026-04-28T20:41:00Z,95.00,5.77
2026-04-28T20:42:00Z,95.00,6.00
2026-04-28T20:43:00Z,94.00,7.02
2026-04-28T20:44:00Z,92.87,7.73
2026-04-28T20:45:00Z,94.17,7.00
2026-04-28T20:46:00Z,94.00,6.15
2026-04-28T20:47:00Z,95.00,5.99
2026-04-28T20:48:00Z,95.00,6.00
2026-04-28T20:49:00Z,95.00,6.00
2026-04-28T20:50:00Z,94.93,5.73
2026-04-28T20:51:00Z,95.00,6.00
2026-04-28T20:52:00Z,95.00,6.00
2026-04-28T20:53:00Z,95.00,6.00
2026-04-28T20:54:00Z,95.00,6.00
2026-04-28T20:55:00Z,95.00,6.00
2026-04-28T20:56:00Z,94.00,6.22
2026-04-28T20:57:00Z,95.00,5.90
2026-04-28T20:58:00Z,93.03,6.95
2026-04-28T20:59:00Z,93.00,6.99
2026-04-28T21:00:00Z,92.64,9.32
2026-04-28T21:01:00Z,91.79,8.99
2026-04-28T21:02:00Z,93.00,7.99
2026-04-28T21:03:00Z,93.00,8.00
2026-04-28T21:04:00Z,93.98,6.83
2026-04-28T21:05:00Z,94.36,6.64
2026-04-28T21:06:00Z,93.18,5.57
2026-04-28T21:07:00Z,93.18,6.95
2026-04-28T21:08:00Z,93.01,6.96
2026-04-28T21:09:00Z,93.53,6.99
2026-04-28T21:10:00Z,93.98,7.00
2026-04-28T21:11:00Z,93.19,7.37
2026-04-28T21:12:00Z,93.00,7.31
2026-04-28T21:13:00Z,93.02,7.01
2026-04-28T21:14:00Z,93.14,10.13
2026-04-28T21:15:00Z,93.15,8.44
2026-04-28T21:16:00Z,91.49,9.67
2026-04-28T21:17:00Z,91.88,10.67
2026-04-28T21:18:00Z,91.39,7.30
2026-04-28T21:19:00Z,94.82,7.36
2026-04-28T21:20:00Z,94.01,6.01
2026-04-28T21:21:00Z,94.93,5.96
2026-04-28T21:22:00Z,96.39,4.04
2026-04-28T21:23:00Z,97.97,2.82
2026-04-28T21:24:00Z,97.82,2.89
2026-04-28T21:25:00Z,98.00,3.39
2026-04-28T21:26:00Z,98.70,1.98
2026-04-28T21:27:00Z,98.37,1.31
2026-04-28T21:28:00Z,99.00,1.38
2026-04-28T21:29:00Z,99.00,1.18
2026-04-28T21:30:00Z,98.41,1.90
2026-04-28T21:31:00Z,98.41,1.56
2026-04-28T21:32:00Z,99.00,1.00
2026-04-28T21:33:00Z,99.00,1.00
2026-04-28T21:34:00Z,99.00,1.00
2026-04-28T21:35:00Z,99.00,1.00
2026-04-28T21:36:00Z,99.00,1.00
