# event_ticker=KXATPCHALLENGERMATCH-26MAR23DUCHUE
# final_score=5-7 6-4 6-4
# match_winner=James Duckworth
# fav_player=James Duckworth
# dog_player=Marc-Andrea Huesler
# kalshi_date=2026-03-23
timestamp,James Duckworth,Marc-Andrea Huesler
2026-03-23T12:27:00Z,,40.00
2026-03-23T14:37:00Z,,39.00
2026-03-23T15:38:00Z,62.00,39.00
2026-03-23T17:05:00Z,61.00,39.00
2026-03-23T17:56:00Z,61.00,39.00
2026-03-23T18:02:00Z,62.00,39.00
2026-03-23T18:15:00Z,62.00,40.00
2026-03-23T18:44:00Z,62.00,40.00
2026-03-23T19:05:00Z,62.00,40.00
2026-03-23T20:32:00Z,62.00,40.00
2026-03-23T20:42:00Z,62.00,40.00
2026-03-23T21:42:00Z,61.89,40.00
2026-03-23T21:58:00Z,61.89,39.00
2026-03-23T22:16:00Z,62.00,39.00
2026-03-23T22:19:00Z,62.00,39.00
2026-03-23T22:45:00Z,62.00,39.00
2026-03-23T22:49:00Z,62.00,38.00
2026-03-23T22:59:00Z,62.00,38.00
2026-03-23T23:09:00Z,62.00,38.00
2026-03-23T23:10:00Z,62.00,38.00
2026-03-23T23:14:00Z,62.00,38.00
2026-03-23T23:16:00Z,62.00,38.00
2026-03-23T23:20:00Z,62.00,38.00
2026-03-23T23:28:00Z,62.00,38.00
2026-03-23T23:31:00Z,62.00,38.00
2026-03-23T23:33:00Z,62.00,38.00
2026-03-23T23:35:00Z,62.00,38.00
2026-03-23T23:46:00Z,62.00,38.00
2026-03-23T23:47:00Z,62.00,38.00
2026-03-23T23:54:00Z,62.00,38.00
2026-03-23T23:55:00Z,62.00,38.00
2026-03-23T23:58:00Z,62.00,38.00
2026-03-23T23:59:00Z,61.00,38.00
2026-03-24T00:02:00Z,66.08,36.00
2026-03-24T00:04:00Z,65.00,38.00
2026-03-24T00:05:00Z,65.00,38.00
2026-03-24T00:06:00Z,65.00,38.00
2026-03-24T00:07:00Z,65.01,38.00
2026-03-24T00:08:00Z,64.61,38.20
2026-03-24T00:09:00Z,54.82,44.51
2026-03-24T00:10:00Z,61.88,41.00
2026-03-24T00:11:00Z,62.92,41.00
2026-03-24T00:12:00Z,62.94,41.00
2026-03-24T00:13:00Z,65.00,37.00
2026-03-24T00:14:00Z,67.43,33.00
2026-03-24T00:15:00Z,73.60,29.93
2026-03-24T00:16:00Z,70.66,41.65
2026-03-24T00:17:00Z,64.45,38.11
2026-03-24T00:18:00Z,62.00,37.95
2026-03-24T00:19:00Z,65.00,39.00
2026-03-24T00:20:00Z,66.00,39.00
2026-03-24T00:21:00Z,66.00,39.00
2026-03-24T00:22:00Z,64.87,37.00
2026-03-24T00:23:00Z,64.00,37.00
2026-03-24T00:24:00Z,66.13,34.00
2026-03-24T00:25:00Z,62.96,40.00
2026-03-24T00:26:00Z,61.17,42.73
2026-03-24T00:27:00Z,62.80,41.80
2026-03-24T00:28:00Z,53.89,43.38
2026-03-24T00:29:00Z,60.00,39.00
2026-03-24T00:30:00Z,64.00,39.00
2026-03-24T00:31:00Z,64.72,37.64
2026-03-24T00:32:00Z,65.17,37.00
2026-03-24T00:33:00Z,72.98,26.00
2026-03-24T00:34:00Z,71.10,30.47
2026-03-24T00:35:00Z,71.01,31.71
2026-03-24T00:36:00Z,66.29,34.19
2026-03-24T00:37:00Z,69.25,33.05
2026-03-24T00:38:00Z,67.95,29.47
2026-03-24T00:39:00Z,66.79,34.76
2026-03-24T00:40:00Z,68.23,33.00
2026-03-24T00:41:00Z,63.09,37.58
2026-03-24T00:42:00Z,63.58,36.04
2026-03-24T00:43:00Z,64.09,39.38
2026-03-24T00:44:00Z,66.73,35.00
2026-03-24T00:45:00Z,66.00,35.00
2026-03-24T00:46:00Z,65.92,38.58
2026-03-24T00:47:00Z,61.75,40.03
2026-03-24T00:48:00Z,62.10,39.00
2026-03-24T00:49:00Z,66.18,35.83
2026-03-24T00:50:00Z,70.02,35.57
2026-03-24T00:51:00Z,67.39,35.57
2026-03-24T00:52:00Z,76.32,30.00
2026-03-24T00:53:00Z,68.56,32.11
2026-03-24T00:54:00Z,67.36,36.42
