# event_ticker=KXATPCHALLENGERMATCH-26APR08SOTNAP
# final_score=6-1 7-6(8)
# score_resolution=1-6 6-7
# match_winner=Stefano Napolitano
# fav_player=Matias Soto
# dog_player=Stefano Napolitano
# kalshi_date=2026-04-08
timestamp,Matias Soto,Stefano Napolitano
2026-04-08T05:33:00Z,40.00,
2026-04-08T05:41:00Z,39.00,
2026-04-08T05:58:00Z,39.00,69.00
2026-04-08T07:31:00Z,39.00,66.00
2026-04-08T09:04:00Z,37.72,66.00
2026-04-08T09:08:00Z,37.72,64.00
2026-04-08T09:21:00Z,37.72,62.00
2026-04-08T09:22:00Z,41.00,62.00
2026-04-08T09:37:00Z,43.00,62.00
2026-04-08T09:43:00Z,43.00,58.00
2026-04-08T10:40:00Z,43.00,59.00
2026-04-08T10:47:00Z,43.00,59.00
2026-04-08T11:16:00Z,43.00,59.00
2026-04-08T11:19:00Z,41.00,59.00
2026-04-08T11:50:00Z,41.00,59.00
2026-04-08T12:49:00Z,41.00,59.00
2026-04-08T12:53:00Z,41.00,59.00
2026-04-08T13:06:00Z,41.00,59.00
2026-04-08T13:13:00Z,41.00,59.00
2026-04-08T13:25:00Z,41.00,60.99
2026-04-08T13:36:00Z,41.00,61.00
2026-04-08T14:46:00Z,41.00,61.00
2026-04-08T15:16:00Z,41.00,61.00
2026-04-08T15:26:00Z,41.00,61.00
2026-04-08T15:27:00Z,41.00,61.00
2026-04-08T15:33:00Z,41.00,61.00
2026-04-08T15:41:00Z,41.00,61.00
2026-04-08T16:03:00Z,41.00,61.00
2026-04-08T16:07:00Z,41.00,61.00
2026-04-08T16:20:00Z,41.00,61.00
2026-04-08T16:23:00Z,41.00,61.00
2026-04-08T16:24:00Z,41.00,61.00
2026-04-08T16:28:00Z,41.00,61.00
2026-04-08T16:38:00Z,41.00,61.00
2026-04-08T16:48:00Z,41.00,61.00
2026-04-08T16:50:00Z,41.00,61.00
2026-04-08T16:51:00Z,41.00,61.00
2026-04-08T16:52:00Z,41.00,61.00
2026-04-08T16:55:00Z,41.00,61.00
2026-04-08T16:57:00Z,41.00,61.00
2026-04-08T16:59:00Z,41.00,61.00
2026-04-08T17:03:00Z,41.00,61.00
2026-04-08T17:04:00Z,41.00,61.00
2026-04-08T17:07:00Z,41.00,61.00
2026-04-08T17:09:00Z,41.00,61.00
2026-04-08T17:10:00Z,41.00,61.00
2026-04-08T17:11:00Z,41.00,61.00
2026-04-08T17:12:00Z,40.30,60.51
2026-04-08T17:13:00Z,32.07,67.00
2026-04-08T17:14:00Z,32.00,67.00
2026-04-08T17:15:00Z,28.31,71.00
2026-04-08T17:16:00Z,32.00,68.76
2026-04-08T17:17:00Z,25.68,79.93
2026-04-08T17:18:00Z,19.90,79.93
2026-04-08T17:19:00Z,17.00,82.13
2026-04-08T17:20:00Z,16.96,83.23
2026-04-08T17:21:00Z,16.51,83.23
2026-04-08T17:22:00Z,17.00,83.23
2026-04-08T17:23:00Z,17.00,85.00
2026-04-08T17:24:00Z,17.00,84.00
2026-04-08T17:25:00Z,17.61,83.00
2026-04-08T17:26:00Z,21.11,80.43
2026-04-08T17:27:00Z,19.69,81.09
2026-04-08T17:28:00Z,17.00,82.90
2026-04-08T17:29:00Z,19.12,82.00
2026-04-08T17:30:00Z,21.95,80.64
2026-04-08T17:31:00Z,17.43,82.63
2026-04-08T17:32:00Z,15.79,85.54
2026-04-08T17:33:00Z,13.66,86.40
2026-04-08T17:34:00Z,11.92,87.98
2026-04-08T17:35:00Z,12.00,88.00
2026-04-08T17:36:00Z,12.49,87.00
2026-04-08T17:37:00Z,13.44,87.00
2026-04-08T17:38:00Z,12.00,88.00
2026-04-08T17:39:00Z,12.00,87.00
2026-04-08T17:40:00Z,13.00,88.00
2026-04-08T17:41:00Z,11.59,88.94
2026-04-08T17:42:00Z,12.79,89.90
2026-04-08T17:43:00Z,13.50,87.37
2026-04-08T17:44:00Z,14.82,86.00
2026-04-08T17:45:00Z,13.93,87.31
2026-04-08T17:46:00Z,13.06,86.20
2026-04-08T17:47:00Z,18.42,84.47
2026-04-08T17:48:00Z,24.06,79.10
2026-04-08T17:49:00Z,29.84,72.65
2026-04-08T17:50:00Z,25.19,75.17
2026-04-08T17:51:00Z,25.74,75.38
2026-04-08T17:52:00Z,31.39,70.24
2026-04-08T17:53:00Z,31.24,70.00
2026-04-08T17:54:00Z,31.42,70.86
2026-04-08T17:55:00Z,37.16,65.15
2026-04-08T17:56:00Z,37.68,62.82
2026-04-08T17:57:00Z,39.72,62.43
2026-04-08T17:58:00Z,40.32,62.72
2026-04-08T17:59:00Z,36.11,63.58
2026-04-08T18:00:00Z,37.42,63.57
2026-04-08T18:01:00Z,34.47,67.11
2026-04-08T18:02:00Z,33.02,68.40
2026-04-08T18:03:00Z,36.48,65.11
2026-04-08T18:04:00Z,36.42,64.06
2026-04-08T18:05:00Z,37.00,64.00
2026-04-08T18:06:00Z,35.59,65.40
2026-04-08T18:07:00Z,34.11,65.63
2026-04-08T18:08:00Z,36.25,65.57
2026-04-08T18:09:00Z,39.89,61.56
2026-04-08T18:10:00Z,38.71,61.69
2026-04-08T18:11:00Z,34.39,66.18
2026-04-08T18:12:00Z,35.74,65.82
2026-04-08T18:13:00Z,37.93,62.59
2026-04-08T18:14:00Z,38.96,61.78
2026-04-08T18:15:00Z,39.67,62.01
2026-04-08T18:16:00Z,38.60,62.93
2026-04-08T18:17:00Z,37.03,63.00
2026-04-08T18:18:00Z,37.98,63.00
2026-04-08T18:19:00Z,40.43,60.96
2026-04-08T18:20:00Z,39.68,62.64
2026-04-08T18:21:00Z,30.28,70.37
2026-04-08T18:22:00Z,20.47,79.01
2026-04-08T18:23:00Z,21.06,80.00
2026-04-08T18:24:00Z,20.53,80.08
2026-04-08T18:25:00Z,16.29,82.39
2026-04-08T18:26:00Z,14.60,86.04
2026-04-08T18:27:00Z,14.74,85.46
2026-04-08T18:28:00Z,17.65,83.97
2026-04-08T18:29:00Z,16.53,86.99
2026-04-08T18:30:00Z,9.13,90.60
2026-04-08T18:31:00Z,11.93,86.49
2026-04-08T18:32:00Z,18.48,81.97
2026-04-08T18:33:00Z,18.95,81.43
2026-04-08T18:34:00Z,14.91,85.89
2026-04-08T18:35:00Z,14.51,86.12
2026-04-08T18:36:00Z,17.23,84.86
2026-04-08T18:37:00Z,12.57,87.80
2026-04-08T18:38:00Z,13.08,84.82
2026-04-08T18:39:00Z,21.12,80.73
