# event_ticker=KXATPCHALLENGERMATCH-26MAR28MEDSAC
# final_score=7-5 6-1
# match_winner=Hamad Medjedovic
# fav_player=Hamad Medjedovic
# dog_player=Vitaliy Sachko
# kalshi_date=2026-03-28
timestamp,Hamad Medjedovic,Vitaliy Sachko
2026-03-28T01:19:00Z,77.00,25.00
2026-03-28T01:22:00Z,77.00,25.00
2026-03-28T01:48:00Z,77.00,26.00
2026-03-28T01:49:00Z,76.00,26.00
2026-03-28T02:03:00Z,76.00,26.00
2026-03-28T02:06:00Z,76.00,26.00
2026-03-28T02:16:00Z,76.00,26.00
2026-03-28T02:17:00Z,76.00,26.00
2026-03-28T02:22:00Z,76.00,26.00
2026-03-28T02:28:00Z,76.00,26.00
2026-03-28T02:59:00Z,76.00,26.00
2026-03-28T03:06:00Z,76.00,25.00
2026-03-28T03:07:00Z,76.00,25.00
2026-03-28T03:14:00Z,77.00,25.00
2026-03-28T03:33:00Z,77.00,25.00
2026-03-28T04:05:00Z,77.95,25.00
2026-03-28T04:06:00Z,78.00,25.00
2026-03-28T04:31:00Z,76.00,25.00
2026-03-28T04:49:00Z,78.00,25.00
2026-03-28T04:56:00Z,78.00,25.00
2026-03-28T04:58:00Z,76.00,25.00
2026-03-28T05:00:00Z,78.00,25.00
2026-03-28T05:16:00Z,78.00,24.00
2026-03-28T05:17:00Z,78.00,24.00
2026-03-28T05:18:00Z,78.00,24.00
2026-03-28T05:19:00Z,78.00,24.00
2026-03-28T05:23:00Z,78.00,24.00
2026-03-28T05:31:00Z,76.00,24.00
2026-03-28T05:36:00Z,77.89,24.00
2026-03-28T05:51:00Z,78.00,24.00
2026-03-28T05:52:00Z,78.00,24.00
2026-03-28T05:57:00Z,78.00,24.00
2026-03-28T06:07:00Z,78.00,24.00
2026-03-28T06:18:00Z,78.00,24.00
2026-03-28T06:21:00Z,78.00,24.00
2026-03-28T06:22:00Z,78.00,25.00
2026-03-28T06:36:00Z,77.79,25.00
2026-03-28T06:39:00Z,78.00,25.00
2026-03-28T06:40:00Z,78.00,25.00
2026-03-28T06:57:00Z,78.00,25.00
2026-03-28T06:59:00Z,78.00,25.00
2026-03-28T07:02:00Z,78.00,25.00
2026-03-28T07:06:00Z,78.00,25.00
2026-03-28T07:07:00Z,78.00,25.00
2026-03-28T07:08:00Z,78.00,25.00
2026-03-28T07:09:00Z,78.75,24.00
